,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
58966,110,0.16,2.0,0.2,0.02,2.0,13,0.34869911472710663
66618,120,0.32,0.0,0.2,2.0,0.0,15,0.12509491162709047
56333,100,1.28,0.02,0.2,2.0,2.0,11,0.36886422659707147
27221,60,1.28,0.0,2.0,0.0,0.0,13,0.19525644426163632
9360,40,0.32,0.0,2.0,0.2,0.02,5,0.23062733496648044
35224,70,1.28,0.2,0.2,0.2,0.0,3,0.1714675019051094
35594,70,1.28,2.0,0.02,2.0,0.0,15,0.31272703590996254
31963,70,0.32,2.0,0.02,0.02,0.2,5,0.4145133889542526
12067,40,0.64,0.2,2.0,0.2,2.0,15,0.3734375680065482
40892,80,0.64,2.0,0.02,0.0,0.02,13,0.19642386997781033
34841,70,1.28,0.02,2.0,0.0,0.02,7,0.268396078209216
43363,90,0.16,0.0,2.0,0.0,0.2,13,0.26805757287727805
26331,60,0.64,0.2,2.0,0.0,0.02,11,0.19314370989559496
51857,100,0.16,2.0,2.0,0.0,0.0,5,0.24864101232511
14027,40,1.28,2.0,0.02,0.0,2.0,15,0.44006753762836437
39573,80,0.64,0.0,0.02,0.02,0.02,7,0.18671757219454
29535,70,0.16,0.02,2.0,0.2,2.0,7,0.36686523959785966
43834,90,0.16,0.02,2.0,0.02,0.2,3,0.3121060473243888
8154,40,0.16,0.2,0.0,2.0,0.0,15,0.1824183967497025
11306,40,0.64,0.02,0.0,2.0,2.0,5,0.3744706133379457
45575,90,0.32,0.02,0.2,2.0,0.2,13,0.31519308287867814
34260,70,1.28,0.0,0.02,2.0,0.2,7,0.3444595482575154
71489,120,1.28,2.0,0.2,0.02,0.0,13,0.30679070786338675
54641,100,0.64,0.02,2.0,2.0,0.02,15,0.411255806819538
1190,30,0.16,0.2,0.2,0.2,0.2,3,0.3637802639457586
56367,100,1.28,0.02,2.0,0.02,0.0,9,0.1824171937211038
36353,80,0.16,0.02,0.0,0.2,0.02,7,0.19146837388266008
27638,60,1.28,0.02,0.2,2.0,0.0,7,0.16088723254984677
6957,30,1.28,2.0,0.2,0.0,0.02,15,0.3116338091375889
51540,100,0.16,2.0,0.0,0.0,0.2,15,0.1971177128625987
