,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
22284,60,0.16,0.02,0.2,2.0,2.0,9,0.3386111409207985
60814,110,0.32,2.0,0.2,2.0,2.0,13,0.33421406769362205
13075,40,1.28,0.02,0.0,0.2,2.0,15,0.37962997190243375
46676,90,0.64,0.0,0.0,2.0,0.0,3,0.11420013262922438
10839,40,0.64,0.0,0.0,2.0,0.0,9,0.21856671340872055
30,30,0.16,0.0,0.0,0.02,0.0,7,0.15130137662496368
14110,40,1.28,2.0,0.02,2.0,2.0,13,0.3509195714290371
10010,40,0.32,0.2,0.02,0.02,0.2,3,0.34272252290147476
58525,110,0.16,0.2,0.2,0.2,0.0,13,0.14438883637700065
10533,40,0.32,2.0,0.2,0.0,0.0,13,0.17023177779363383
21770,60,0.16,0.0,0.2,0.02,0.2,3,0.2509062932858542
52916,100,0.32,0.2,0.0,0.02,2.0,9,0.27057009329883597
59425,110,0.32,0.0,0.2,0.2,0.02,7,0.16724379609285167
57331,100,1.28,2.0,2.0,2.0,0.2,5,0.3552276814521163
67091,120,0.32,0.02,2.0,0.0,0.0,9,0.16628872695851984
9798,40,0.32,0.02,2.0,0.02,2.0,13,0.35064086712235376
34313,70,1.28,0.0,0.2,0.02,0.02,15,0.24784997615701881
35576,70,1.28,2.0,0.02,0.2,0.2,7,0.35849621220056815
43424,90,0.16,0.0,2.0,0.2,2.0,9,0.34401456609283926
23982,60,0.32,0.02,0.2,0.0,0.2,3,0.1930119962545956
48543,90,1.28,0.0,0.02,0.02,0.2,13,0.34993590781479483
30763,70,0.32,0.0,0.2,0.2,0.2,13,0.32348857592911223
34372,70,1.28,0.0,0.2,2.0,0.2,7,0.366019271311269
24683,60,0.32,2.0,0.0,0.02,0.2,5,0.3095527856538225
38874,80,0.32,0.2,2.0,0.0,0.02,9,0.19751250239887175
13033,40,1.28,0.02,0.0,0.02,0.02,15,0.23446691702104244
37839,80,0.32,0.0,0.02,2.0,0.02,11,0.34305093564207045
67387,120,0.32,0.2,0.02,0.2,0.2,13,0.32791692354328655
50456,100,0.16,0.0,0.2,0.2,0.0,3,0.13769470701263137
43406,90,0.16,0.0,2.0,0.2,0.0,15,0.166535067661199
65854,120,0.16,0.2,2.0,2.0,2.0,13,0.3223446477045347
25677,60,0.64,0.02,0.02,0.02,0.0,5,0.23265567993873087
51483,100,0.16,0.2,2.0,0.2,0.2,13,0.28468541139358894
2664,30,0.32,0.02,2.0,2.0,0.0,11,0.1741634461357911
65337,120,0.16,0.02,2.0,0.02,0.02,15,0.15647902602083075
3981,30,0.64,0.0,2.0,0.2,0.0,13,0.20956340367369364
45754,90,0.32,0.2,0.0,0.2,0.0,7,0.1570680070435545
58325,110,0.16,0.2,0.0,2.0,0.0,5,0.1310902550513929
9188,40,0.32,0.0,0.2,0.0,0.0,11,0.15153058366934763
15146,50,0.16,0.02,2.0,0.0,2.0,13,0.33153816733349656
21919,60,0.16,0.0,2.0,0.2,2.0,7,0.34520538447211435
50172,90,1.28,2.0,2.0,2.0,2.0,9,0.3639129755567093
49829,90,1.28,2.0,0.0,2.0,0.2,9,0.36760668331056623
20926,50,1.28,0.2,0.2,2.0,0.02,9,0.32999873523132645
33537,70,0.64,0.2,2.0,0.02,2.0,3,0.3463836693809115
36172,80,0.16,0.0,0.2,2.0,2.0,9,0.32417888152670693
56190,100,1.28,0.02,0.02,0.2,2.0,5,0.36998744690858043
53240,100,0.32,0.2,2.0,0.02,0.02,13,0.16497433763812347
43798,90,0.16,0.02,2.0,0.0,0.0,15,0.176523717925413
22690,60,0.16,0.2,0.2,0.2,0.02,9,0.24920466320828982
46697,90,0.64,0.0,0.0,2.0,2.0,3,0.35242688888178453
64875,120,0.16,0.0,2.0,0.0,2.0,15,0.3131927586687478
64953,120,0.16,0.0,2.0,2.0,2.0,3,0.306022270823597
11338,40,0.64,0.02,0.02,0.0,2.0,13,0.3008328208747001
23796,60,0.32,0.02,0.0,0.02,2.0,9,0.3310275140048406
3818,30,0.64,0.0,0.2,0.0,0.02,9,0.18202692589242714
22980,60,0.16,2.0,0.02,0.0,0.2,15,0.20893273374611607
19099,50,0.64,0.2,0.2,0.2,0.0,9,0.20079103067647575
5981,30,1.28,0.02,0.02,0.02,0.2,9,0.3867094845392779
40686,80,0.64,0.2,2.0,0.02,0.0,7,0.14172636795931817
22787,60,0.16,0.2,2.0,0.02,2.0,7,0.3303662972312805
21851,60,0.16,0.0,2.0,0.0,0.02,11,0.23446002511595693
8265,40,0.16,0.2,0.02,2.0,0.0,13,0.14619395801283355
10762,40,0.64,0.0,0.0,0.0,0.02,9,0.17597210627298443
44814,90,0.32,0.0,0.0,0.0,0.2,3,0.2190887949396844
61293,110,0.64,0.0,2.0,0.02,0.0,5,0.1927180638700261
37777,80,0.32,0.0,0.02,0.02,0.0,13,0.1933858854162694
27263,60,1.28,0.0,2.0,0.02,0.2,13,0.33588279889112094
29997,70,0.16,0.2,2.0,2.0,0.02,7,0.2979018414317329
70905,120,1.28,0.2,0.02,0.0,0.02,7,0.16907597190900692
20701,50,1.28,0.2,0.0,2.0,0.02,7,0.3310386131057816
61619,110,0.64,0.02,0.2,0.0,0.2,13,0.2315672125405715
29535,70,0.16,0.02,2.0,0.2,2.0,7,0.32258893833391833
54450,100,0.64,0.02,0.2,0.0,0.2,11,0.25120262951669015
46043,90,0.32,0.2,2.0,0.0,0.02,11,0.18315905924891396
8898,40,0.16,2.0,2.0,0.02,2.0,5,0.3838502081787165
16723,50,0.32,0.02,0.02,0.02,0.02,3,0.200063768902741
26809,60,0.64,2.0,2.0,0.02,0.02,15,0.26482046718538005
35027,70,1.28,0.2,0.0,0.2,2.0,15,0.3751567067390239
34319,70,1.28,0.0,0.2,0.02,0.2,13,0.36911865403270966
21592,60,0.16,0.0,0.0,2.0,0.0,11,0.14106091268800422
44019,90,0.16,0.2,0.02,0.0,0.0,9,0.16296677598347353
31860,70,0.32,2.0,0.0,0.02,2.0,9,0.3329276153146404
63924,110,1.28,0.2,0.2,2.0,0.0,3,0.24503131294007163
53245,100,0.32,0.2,2.0,0.02,0.2,9,0.34931503772981315
42769,80,1.28,2.0,0.02,2.0,0.02,15,0.33141766308655624
45828,90,0.32,0.2,0.02,0.0,0.2,15,0.18015925874211605
32688,70,0.64,0.0,2.0,2.0,0.02,13,0.3068678356897554
8674,40,0.16,2.0,0.02,0.02,2.0,5,0.3882717192039808
50371,100,0.16,0.0,0.02,0.2,2.0,15,0.34205215545231765
860,30,0.16,0.02,2.0,0.2,0.2,15,0.281267341148137
42538,80,1.28,0.2,2.0,2.0,0.0,15,0.19860533628603164
53460,100,0.32,2.0,0.02,0.02,0.02,5,0.23726690492460545
30855,70,0.32,0.0,2.0,0.02,2.0,15,0.33063635675279485
70845,120,1.28,0.2,0.0,0.2,0.0,13,0.19931121057185708
19311,50,0.64,2.0,0.0,0.02,0.2,13,0.28791532999964514
34726,70,1.28,0.02,0.2,0.0,0.0,15,0.2180348823471376
69625,120,0.64,2.0,0.02,0.2,0.2,9,0.30258532890147927
18011,50,0.64,0.0,0.0,2.0,0.02,3,0.289886424938145
1466,30,0.16,2.0,0.02,0.0,0.02,9,0.1737410043701975
22614,60,0.16,0.2,0.02,2.0,0.2,11,0.28294315863087993
65018,120,0.16,0.02,0.0,0.2,0.0,7,0.14706432432580097
30629,70,0.32,0.0,0.02,0.02,2.0,11,0.2767049074920754
67861,120,0.32,2.0,0.02,2.0,0.2,9,0.24535145097761007
7976,40,0.16,0.02,2.0,0.0,2.0,9,0.3425463972150257
441,30,0.16,0.0,2.0,2.0,2.0,3,0.332838286157841
30796,70,0.32,0.0,0.2,2.0,2.0,9,0.3383261296726077
32023,70,0.32,2.0,0.02,2.0,0.2,13,0.26696956328002924
25355,60,0.64,0.0,0.2,0.02,0.2,5,0.317883697232773
8600,40,0.16,2.0,0.0,2.0,0.0,11,0.3713950333488254
8986,40,0.32,0.0,0.0,0.0,2.0,13,0.34009602934433736
66624,120,0.32,0.0,0.2,2.0,0.02,13,0.36231064792354195
37566,80,0.16,2.0,2.0,0.02,0.2,11,0.36977305118929865
23077,60,0.16,2.0,0.2,0.0,0.0,13,0.2087967083899983
16785,50,0.32,0.02,0.02,2.0,0.02,15,0.24471022481679658
33256,70,0.64,0.2,0.0,2.0,0.2,15,0.32725704732229277
36684,80,0.16,0.02,2.0,0.2,0.0,11,0.21694814707037297
17330,50,0.32,0.2,0.2,0.2,2.0,13,0.30447065431257947
8263,40,0.16,0.2,0.02,2.0,0.0,9,0.17702487323003224
56652,100,1.28,0.2,0.02,2.0,0.02,5,0.3564807930370239
19565,50,0.64,2.0,0.2,0.2,2.0,3,0.3518015159952503
40938,80,0.64,2.0,0.02,0.2,0.0,7,0.3104492549668428
15379,50,0.16,0.2,0.02,0.02,0.02,3,0.2633071767745537
25927,60,0.64,0.02,2.0,0.02,2.0,15,0.3513429534935855
35567,70,1.28,2.0,0.02,0.2,0.02,3,0.28064865030332836
8474,40,0.16,0.2,2.0,0.2,0.2,11,0.25067892674732617
11755,40,0.64,0.2,0.0,2.0,2.0,7,0.35971191919733014
47411,90,0.64,0.02,2.0,0.02,0.02,3,0.21950371733236812
13563,40,1.28,0.2,0.02,0.0,0.02,11,0.19046228520699773
22398,60,0.16,0.02,2.0,2.0,2.0,13,0.3338320355521388
25506,60,0.64,0.0,2.0,0.2,2.0,13,0.3574614118521187
52863,100,0.32,0.02,2.0,2.0,2.0,15,0.33893361674090405
42305,80,1.28,0.2,0.02,0.2,2.0,11,0.37376664965685713
23423,60,0.32,0.0,0.02,0.0,0.2,5,0.22943389190113633
11985,40,0.64,0.2,2.0,0.0,0.0,5,0.2075136254627025
30338,70,0.16,2.0,0.2,2.0,0.2,3,0.30142192885087626
53441,100,0.32,2.0,0.02,0.0,0.2,9,0.1949096050997733
1730,30,0.16,2.0,2.0,0.02,2.0,5,0.3747196277760484
52953,100,0.32,0.2,0.0,2.0,0.0,13,0.17662972392108017
59443,110,0.32,0.0,0.2,0.2,2.0,15,0.3074243086889683
29781,70,0.16,0.2,0.02,2.0,0.2,9,0.32970470742363434
69082,120,0.64,0.2,0.0,2.0,0.0,15,0.1930208116065353
1906,30,0.32,0.0,0.02,0.0,0.0,7,0.1117221958971725
20518,50,1.28,0.02,2.0,0.0,2.0,5,0.3646908865192742
67892,120,0.32,2.0,0.2,0.0,0.2,15,0.22609128444164572
27844,60,1.28,0.2,0.0,0.2,0.02,13,0.22190673147431414
54855,100,0.64,0.2,0.02,2.0,0.0,9,0.1820009972622701
36484,80,0.16,0.02,0.02,2.0,0.0,3,0.14541306071731427
46961,90,0.64,0.0,2.0,0.02,0.0,13,0.1502901286823442
47288,90,0.64,0.02,0.2,0.0,2.0,9,0.33218272493978923
9532,40,0.32,0.02,0.02,0.0,0.02,13,0.17789693350262176
19685,50,0.64,2.0,2.0,2.0,0.0,5,0.3182152855664631
