,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
8493,40,0.16,0.2,2.0,2.0,0.02,7,0.2662393886658776
58812,110,0.16,2.0,0.02,0.0,0.02,13,0.14111374591209958
28985,70,0.16,0.0,0.2,2.0,0.0,13,0.16464647440030986
19235,50,0.64,0.2,2.0,0.2,2.0,15,0.36068995181197067
7967,40,0.16,0.02,2.0,0.0,0.2,5,0.21127988831034522
40587,80,0.64,0.2,0.2,0.02,0.2,5,0.2848959206318153
6083,30,1.28,0.02,0.2,0.02,0.02,3,0.22281415058122653
3561,30,0.32,2.0,2.0,2.0,0.0,13,0.3871503502417291
67412,120,0.32,0.2,0.02,2.0,0.2,7,0.2457942036807737
42241,80,1.28,0.2,0.02,0.0,0.2,9,0.19976173098593963
5514,30,1.28,0.0,0.02,0.0,2.0,13,0.2935136939388272
69699,120,0.64,2.0,0.2,0.02,0.02,3,0.24905938798428268
27951,60,1.28,0.2,0.02,0.2,0.02,3,0.22899332103003062
13633,40,1.28,0.2,0.02,0.2,2.0,11,0.3956151304054028
65468,120,0.16,0.2,0.0,0.2,0.0,11,0.1416214339554428
16098,50,0.16,2.0,2.0,0.2,2.0,13,0.34661048881082634
49697,90,1.28,0.2,2.0,0.2,2.0,11,0.37508956125252013
54792,100,0.64,0.2,0.02,0.0,2.0,9,0.3488307011152693
18503,50,0.64,0.02,0.02,0.0,2.0,7,0.27314479942747355
35553,70,1.28,2.0,0.02,0.02,2.0,3,0.38006444985010285
762,30,0.16,0.02,0.2,2.0,0.0,15,0.185035369682857
48542,90,1.28,0.0,0.02,0.02,0.2,11,0.3702839284123656
58303,110,0.16,0.2,0.0,0.2,0.02,3,0.1612688177174127
11836,40,0.64,0.2,0.02,0.2,0.2,15,0.3320567128865544
14953,50,0.16,0.02,0.02,0.2,0.0,5,0.16562237863036183
23992,60,0.32,0.02,0.2,0.0,2.0,9,0.33031207195350015
36032,80,0.16,0.0,0.02,0.2,2.0,9,0.32215792565090956
30616,70,0.32,0.0,0.02,0.02,0.02,13,0.20387041220677585
5342,30,0.64,2.0,2.0,0.2,2.0,5,0.3455255876652811
19647,50,0.64,2.0,2.0,0.02,0.2,13,0.28496860333889
34223,70,1.28,0.0,0.02,0.2,0.02,3,0.26419072181242437
36277,80,0.16,0.0,2.0,2.0,0.2,9,0.3115030605666797
17134,50,0.32,0.2,0.0,2.0,2.0,13,0.32025544108104076
