,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
27451,60,1.28,0.02,0.02,0.0,0.02,11,0.17107845465024765
44150,90,0.16,0.2,0.2,0.0,2.0,5,0.21213445773502373
24456,60,0.32,0.2,0.2,0.02,0.02,13,0.2046211133872511
58554,110,0.16,0.2,0.2,2.0,0.0,15,0.15040884624601297
48472,90,1.28,0.0,0.0,2.0,0.0,11,0.10739254767577563
69636,120,0.64,2.0,0.02,2.0,0.0,3,0.37001088621454364
59027,110,0.16,2.0,2.0,0.0,0.0,9,0.1373402346360624
28099,60,1.28,0.2,0.2,2.0,0.2,5,0.36390454154411483
5607,30,1.28,0.0,0.2,0.0,0.02,3,0.23622061846114664
43546,90,0.16,0.02,0.0,2.0,0.0,15,0.16764746451224452
59089,110,0.16,2.0,2.0,0.2,0.02,7,0.41617637397169693
7096,30,1.28,2.0,2.0,0.02,0.02,13,0.39757586922866883
9913,40,0.32,0.2,0.0,0.2,0.0,5,0.19836927955982836
3694,30,0.64,0.0,0.0,2.0,2.0,13,0.3560233867339941
58169,110,0.16,0.02,2.0,0.02,0.02,15,0.16699253536114492
23844,60,0.32,0.02,0.0,2.0,0.2,7,0.36349035235573857
66863,120,0.32,0.02,0.0,2.0,2.0,15,0.3407991127945472
32946,70,0.64,0.02,0.2,0.0,0.2,11,0.19817005164801502
55027,100,0.64,0.2,2.0,0.02,0.02,3,0.2650772514687618
57939,110,0.16,0.02,0.02,0.02,0.02,3,0.14909443733169017
13766,40,1.28,0.2,0.2,2.0,0.2,11,0.36204021184865826
35527,70,1.28,2.0,0.02,0.0,2.0,7,0.3465737694490056
69273,120,0.64,0.2,0.2,0.2,0.0,5,0.1833896223315857
48421,90,1.28,0.0,0.0,0.02,0.02,7,0.32085236913464704
67893,120,0.32,2.0,0.2,0.0,2.0,3,0.3094798398771481
16858,50,0.32,0.02,0.2,0.2,0.0,7,0.17224100993208094
59930,110,0.32,0.02,2.0,0.0,0.02,9,0.15867123820331042
26282,60,0.64,0.2,0.2,0.2,0.2,11,0.3632419712273537
30433,70,0.16,2.0,2.0,0.2,2.0,11,0.3714321217475441
21955,60,0.16,0.02,0.0,0.0,0.0,9,0.10671832807537725
51951,100,0.16,2.0,2.0,2.0,0.02,11,0.38461369495788034
34792,70,1.28,0.02,0.2,0.2,0.2,7,0.3613657353729431
47464,90,0.64,0.02,2.0,2.0,0.0,11,0.1180384830097983
53426,100,0.32,2.0,0.02,0.0,0.0,7,0.15099040461482366
16045,50,0.16,2.0,2.0,0.02,0.0,5,0.16354626853474996
