,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
12675,40,1.28,0.0,0.02,0.0,0.2,13,0.24508039898004902
8441,40,0.16,0.2,2.0,0.02,0.02,15,0.13929134476272537
49638,90,1.28,0.2,2.0,0.0,2.0,5,0.3748800116287079
65118,120,0.16,0.02,0.02,0.02,0.2,11,0.2940344404226268
23167,60,0.16,2.0,0.2,2.0,0.02,11,0.3504400866853854
38668,80,0.32,0.2,0.02,0.02,0.0,3,0.16804807691739637
64134,110,1.28,2.0,0.0,0.2,0.2,3,0.36288825313912737
59290,110,0.32,0.0,0.02,0.02,0.2,3,0.28439275481541604
52920,100,0.32,0.2,0.0,0.2,0.0,3,0.14124547625146638
21041,50,1.28,0.2,2.0,2.0,0.02,15,0.345955931375349
39206,80,0.32,2.0,0.2,0.0,0.0,15,0.1508534612117561
70117,120,1.28,0.0,0.2,0.0,0.0,13,0.08698363747756153
48449,90,1.28,0.0,0.0,0.2,0.02,7,0.3094391945460599
68425,120,0.64,0.0,0.2,2.0,2.0,3,0.3523104724484138
67577,120,0.32,0.2,2.0,0.02,0.02,15,0.18904779597592833
37158,80,0.16,0.2,2.0,2.0,0.0,7,0.18796647597028912
57490,110,0.16,0.0,0.02,0.02,0.0,15,0.15424111987830336
31164,70,0.32,0.02,0.2,0.02,0.0,3,0.14987418162745733
42242,80,1.28,0.2,0.02,0.0,0.2,11,0.22213897748592243
7985,40,0.16,0.02,2.0,0.02,0.0,13,0.16078537423608558
13145,40,1.28,0.02,0.02,0.02,0.02,15,0.29306677931776115
41475,80,1.28,0.0,0.2,0.02,0.02,3,0.3453768229863913
29481,70,0.16,0.02,2.0,0.0,2.0,11,0.3637725699536785
71170,120,1.28,0.2,2.0,0.02,2.0,5,0.37713504293054884
16532,50,0.32,0.0,2.0,0.2,0.02,13,0.2407531310729938
59224,110,0.32,0.0,0.0,2.0,0.0,11,0.18203242223516797
37866,80,0.32,0.0,0.2,0.0,0.02,9,0.1708734108895733
16410,50,0.32,0.0,0.2,0.2,0.0,7,0.1525153448094474
66796,120,0.32,0.02,0.0,0.02,0.2,7,0.304467210468483
39262,80,0.32,2.0,0.2,0.2,0.0,15,0.3302289742654962
37089,80,0.16,0.2,2.0,0.0,0.2,9,0.2232005796564709
31374,70,0.32,0.2,0.0,0.0,0.2,3,0.1707202731738941
10700,40,0.32,2.0,2.0,0.2,0.0,11,0.2648601457610473
522,30,0.16,0.02,0.0,0.2,0.2,11,0.29986714735820214
53489,100,0.32,2.0,0.02,0.2,0.02,7,0.33625923021374565
55511,100,0.64,2.0,2.0,0.2,0.2,5,0.2981849570993556
40708,80,0.64,0.2,2.0,0.02,2.0,9,0.3162751813278447
14745,50,0.16,0.0,2.0,0.2,0.2,9,0.30895716237776855
28803,70,0.16,0.0,0.02,0.0,0.2,13,0.15647458955975133
42780,80,1.28,2.0,0.02,2.0,2.0,9,0.362729580395939
55462,100,0.64,2.0,2.0,0.0,2.0,5,0.3465976021527225
49511,90,1.28,0.2,0.2,0.0,0.02,3,0.23679670916901902
29371,70,0.16,0.02,0.2,0.0,2.0,15,0.2538075091652922
46276,90,0.32,2.0,0.02,0.0,0.2,15,0.19508509561062454
24711,60,0.32,2.0,0.0,0.2,0.2,5,0.2973663743071281
39194,80,0.32,2.0,0.02,2.0,2.0,5,0.319570201859569
61132,110,0.64,0.0,0.02,2.0,0.02,5,0.2418776599613967
34317,70,1.28,0.0,0.2,0.02,0.2,9,0.37097979663084274
21065,50,1.28,2.0,0.0,0.0,0.02,7,0.22525899913227412
27708,60,1.28,0.02,2.0,0.02,0.2,7,0.3624222481473208
53760,100,0.64,0.0,0.0,0.0,0.0,3,0.15428966339145922
40500,80,0.64,0.2,0.02,0.2,0.02,13,0.3358268680575073
60334,110,0.32,0.2,0.2,0.2,2.0,5,0.3211669847594367
65264,120,0.16,0.02,0.2,0.2,2.0,9,0.3164205201314854
51441,100,0.16,0.2,2.0,0.02,0.0,13,0.17232451988022657
16645,50,0.32,0.02,0.0,0.2,0.02,15,0.24061524984341012
46663,90,0.64,0.0,0.0,0.2,0.2,5,0.2681468477204027
8901,40,0.16,2.0,2.0,0.02,2.0,11,0.3791931175178712
33927,70,0.64,2.0,0.2,2.0,0.2,13,0.3274036276452216
57402,110,0.16,0.0,0.0,0.2,0.0,7,0.19034257133676333
66954,120,0.32,0.02,0.02,2.0,0.0,15,0.1816375446404363
59253,110,0.32,0.0,0.02,0.0,0.0,13,0.18164080291259782
42715,80,1.28,2.0,0.02,0.02,0.2,5,0.39124977921914966
8481,40,0.16,0.2,2.0,0.2,2.0,11,0.3594405272725243
70196,120,1.28,0.0,0.2,2.0,0.0,3,0.11622150703759139
35465,70,1.28,2.0,0.0,0.2,0.2,9,0.36771085062472314
68797,120,0.64,0.02,0.2,0.02,0.0,5,0.16634392069779705
53156,100,0.32,0.2,0.2,0.2,0.02,13,0.29114770646004917
17544,50,0.32,2.0,0.0,0.2,0.2,7,0.2839533357793009
44225,90,0.16,0.2,0.2,2.0,0.02,15,0.2595429984322585
63996,110,1.28,0.2,2.0,0.02,0.2,7,0.3715039415216949
5444,30,1.28,0.0,0.0,0.2,0.02,13,0.31351009588627127
50280,100,0.16,0.0,0.0,2.0,0.2,15,0.3143702681301725
21667,60,0.16,0.0,0.02,0.02,2.0,7,0.3281178634984977
12852,40,1.28,0.0,0.2,2.0,0.0,3,0.16498941563866046
14912,50,0.16,0.02,0.02,0.0,0.2,7,0.1807108935080362
3366,30,0.32,2.0,0.2,0.0,0.0,15,0.17885602831495484
380,30,0.16,0.0,2.0,0.02,0.2,7,0.24867811465683828
34509,70,1.28,0.02,0.0,0.0,0.02,15,0.17149251771265445
14364,50,0.16,0.0,0.0,0.02,0.0,3,0.19604225347130622
54716,100,0.64,0.2,0.0,0.2,0.0,11,0.21363175438864812
29396,70,0.16,0.02,0.2,0.02,2.0,9,0.3010293900920827
11697,40,0.64,0.2,0.0,0.02,2.0,3,0.35858697447915766
62756,110,1.28,0.0,0.0,0.02,0.02,5,0.36026398897177436
32658,70,0.64,0.0,2.0,0.2,0.02,9,0.24848283148159506
14715,50,0.16,0.0,2.0,0.02,0.2,5,0.2827458512533577
37956,80,0.32,0.0,0.2,2.0,0.2,7,0.2780600125080722
31585,70,0.32,0.2,0.2,0.0,0.0,5,0.1938759394682927
40142,80,0.64,0.02,0.2,0.02,0.2,11,0.3570453848377342
8969,40,0.32,0.0,0.0,0.0,0.02,7,0.17154660375069258
2257,30,0.32,0.02,0.0,0.0,0.2,9,0.16749479306984924
42106,80,1.28,0.02,2.0,2.0,2.0,5,0.3642961212328445
18230,50,0.64,0.0,0.2,2.0,0.0,7,0.13587499485722923
34944,70,1.28,0.2,0.0,0.0,0.0,3,0.1461176199275243
41536,80,1.28,0.0,0.2,2.0,0.02,13,0.36091405421270256
18554,50,0.64,0.02,0.02,0.2,0.2,11,0.33382254478405304
8708,40,0.16,2.0,0.02,2.0,0.0,3,0.308863123412918
4178,30,0.64,0.02,0.02,0.02,0.0,15,0.16598227305821175
34562,70,1.28,0.02,0.0,0.2,0.02,9,0.3645165814730946
26252,60,0.64,0.2,0.2,0.02,0.2,7,0.28227093992660085
16646,50,0.32,0.02,0.0,0.2,0.2,3,0.32188533164071653
53437,100,0.32,2.0,0.02,0.0,0.02,15,0.18065161355415368
7868,40,0.16,0.02,0.2,0.02,0.0,3,0.19840301915943992
13816,40,1.28,0.2,2.0,0.02,0.02,13,0.3308507123594914
18363,50,0.64,0.0,2.0,2.0,2.0,7,0.3491573573875484
38018,80,0.32,0.0,2.0,0.02,2.0,5,0.36030141871286964
3505,30,0.32,2.0,2.0,0.02,0.0,13,0.2409322297325365
26791,60,0.64,2.0,2.0,0.0,2.0,7,0.32012077768914554
37897,80,0.32,0.0,0.2,0.02,0.02,15,0.20587592169973193
61796,110,0.64,0.02,2.0,2.0,0.0,3,0.1955262275528342
29495,70,0.16,0.02,2.0,0.02,0.02,11,0.18740168092890525
13226,40,1.28,0.02,0.2,0.0,0.02,9,0.18368985831962448
13733,40,1.28,0.2,0.2,0.2,0.02,15,0.3279273191074561
36867,80,0.16,0.2,0.02,0.0,0.2,13,0.1843109139946417
12271,40,0.64,2.0,0.02,0.2,0.02,3,0.3135174919100323
56586,100,1.28,0.2,0.02,0.0,2.0,13,0.3645140037289252
9327,40,0.32,0.0,2.0,0.02,0.0,9,0.151385922697742
44283,90,0.16,0.2,2.0,0.02,0.2,5,0.28687815638144826
10180,40,0.32,0.2,0.2,2.0,0.2,7,0.30747267906004844
48470,90,1.28,0.0,0.0,2.0,0.0,7,0.21903099479098534
55148,100,0.64,2.0,0.0,0.02,0.2,7,0.3120859389529166
22125,60,0.16,0.02,0.02,0.2,0.0,13,0.15720691210661975
42126,80,1.28,0.2,0.0,0.0,0.2,3,0.24579992801101758
28333,60,1.28,2.0,0.0,2.0,2.0,11,0.3683822591313954
11747,40,0.64,0.2,0.0,2.0,0.2,5,0.33972847220860536
43052,90,0.16,0.0,0.0,0.02,0.2,7,0.3001825691352425
20262,50,1.28,0.02,0.0,2.0,0.2,11,0.36513275010626883
20711,50,1.28,0.2,0.0,2.0,0.2,13,0.37633799663714984
41267,80,1.28,0.0,0.0,0.02,2.0,7,0.3731334257850725
24732,60,0.32,2.0,0.0,2.0,0.02,5,0.2989725698006525
30067,70,0.16,2.0,0.0,0.02,2.0,7,0.37132941365569505
22385,60,0.16,0.02,2.0,2.0,0.02,15,0.2633349097621679
27318,60,1.28,0.0,2.0,2.0,0.2,11,0.38271395613448256
34050,70,1.28,0.0,0.0,0.0,0.0,7,0.09000572685650346
23164,60,0.16,2.0,0.2,2.0,0.02,5,0.4101075222635866
13958,40,1.28,2.0,0.0,0.2,0.2,3,0.3852748710634183
45787,90,0.32,0.2,0.0,2.0,0.02,3,0.2601252625535254
52544,100,0.32,0.02,0.02,0.0,0.2,7,0.17159194117356127
62852,110,1.28,0.0,0.02,0.0,0.2,15,0.2775335298849114
4275,30,0.64,0.02,0.2,0.0,0.2,13,0.16602988519627593
56788,100,1.28,0.2,2.0,0.0,0.0,11,0.19849588744015303
70065,120,1.28,0.0,0.02,0.2,0.02,7,0.3022668805695361
1909,30,0.32,0.0,0.02,0.0,0.0,13,0.18398878850325862
10054,40,0.32,0.2,0.02,2.0,0.0,7,0.15598014471847127
57234,100,1.28,2.0,2.0,0.0,0.0,7,0.26941512878932905
26053,60,0.64,0.2,0.0,0.2,0.02,15,0.3036302208053655
55735,100,1.28,0.0,0.02,0.2,0.2,5,0.3823636307747695
51800,100,0.16,2.0,0.2,0.2,0.0,3,0.1940734567940611
65756,120,0.16,0.2,2.0,0.0,0.02,13,0.17809779737782738
46262,90,0.32,2.0,0.02,0.0,0.0,15,0.17343969381743313
30143,70,0.16,2.0,0.02,0.0,0.2,5,0.2097407775139405
53386,100,0.32,2.0,0.0,0.2,0.2,11,0.28584053177033575
20142,50,1.28,0.0,2.0,2.0,0.02,9,0.3533711497962322
58373,110,0.16,0.2,0.02,0.0,2.0,3,0.21210832436460553
2184,30,0.32,0.0,2.0,0.2,0.0,3,0.2149181281737288
44385,90,0.16,2.0,0.0,0.02,0.0,13,0.18563758749668746
18302,50,0.64,0.0,2.0,0.02,0.2,11,0.34505070263954973
40447,80,0.64,0.2,0.02,0.0,0.2,5,0.1753271808227295
53244,100,0.32,0.2,2.0,0.02,0.2,7,0.2504672097064514
17665,50,0.32,2.0,0.02,0.2,2.0,11,0.29336190547355173
53520,100,0.32,2.0,0.02,2.0,0.02,13,0.31179440006948206
38283,80,0.32,0.02,0.02,2.0,0.02,3,0.33165818114954526
17673,50,0.32,2.0,0.02,2.0,0.0,13,0.4126546089064021
65719,120,0.16,0.2,0.2,2.0,0.0,9,0.17810776272484363
51313,100,0.16,0.2,0.2,0.0,0.2,9,0.1904224219709877
45835,90,0.32,0.2,0.02,0.0,2.0,15,0.297989109818886
26993,60,1.28,0.0,0.02,0.0,0.0,5,0.1758704160340516
9117,40,0.32,0.0,0.02,0.02,0.2,9,0.28488611706340017
12253,40,0.64,2.0,0.02,0.02,0.2,9,0.36332277894518183
35879,80,0.16,0.0,0.0,0.02,0.02,11,0.2258204191373681
17384,50,0.32,0.2,2.0,0.0,2.0,9,0.3207758653060391
60288,110,0.32,0.2,0.2,0.02,0.0,11,0.14744195137172583
38632,80,0.32,0.2,0.0,2.0,0.2,15,0.32537447505873124
16322,50,0.32,0.0,0.02,0.2,2.0,13,0.2976053937261148
27361,60,1.28,0.02,0.0,0.02,0.0,13,0.17588074272481338
15459,50,0.16,0.2,0.2,0.0,0.0,9,0.19757660044410563
67318,120,0.32,0.2,0.02,0.0,0.0,15,0.16776797861700993
48979,90,1.28,0.02,0.02,0.02,0.02,3,0.3334582027450049
68433,120,0.64,0.0,2.0,0.0,0.0,5,0.17550534947952798
66532,120,0.32,0.0,0.2,0.0,0.0,11,0.16681546243016476
22514,60,0.16,0.2,0.02,0.0,0.0,7,0.20481272309734444
53231,100,0.32,0.2,2.0,0.02,0.0,9,0.12982819934550835
24536,60,0.32,0.2,2.0,0.0,0.02,5,0.15377079891629913
18228,50,0.64,0.0,0.2,2.0,0.0,3,0.1533001339911978
62659,110,0.64,2.0,2.0,0.02,2.0,7,0.3660783068958294
40959,80,0.64,2.0,0.02,0.2,2.0,7,0.37004009327354004
239,30,0.16,0.0,0.2,0.0,0.2,5,0.15897836058895773
6682,30,1.28,0.2,2.0,0.2,0.2,11,0.39457971493287847
29793,70,0.16,0.2,0.2,0.0,0.0,5,0.1588874879975759
22531,60,0.16,0.2,0.02,0.0,0.2,13,0.17512431034193604
6718,30,1.28,0.2,2.0,2.0,2.0,13,0.3730024942306073
60034,110,0.32,0.2,0.0,0.0,0.0,7,0.1324103390383089
27059,60,1.28,0.0,0.02,0.2,0.02,11,0.3058322028254669
33419,70,0.64,0.2,0.2,0.02,0.2,5,0.29838772640004346
30516,70,0.32,0.0,0.0,0.02,2.0,9,0.362761915390934
2443,30,0.32,0.02,0.02,2.0,0.02,3,0.2755346378381684
50936,100,0.16,0.02,0.2,2.0,0.0,11,0.17080606791420863
10384,40,0.32,2.0,0.0,0.2,2.0,9,0.34059059772195555
24784,60,0.32,2.0,0.02,0.02,0.0,11,0.25208823194673113
51,30,0.16,0.0,0.0,0.02,2.0,7,0.3152266413674424
39519,80,0.64,0.0,0.0,2.0,0.02,11,0.2566148658061224
16278,50,0.32,0.0,0.02,0.02,0.02,9,0.21127688590704682
3667,30,0.64,0.0,0.0,0.2,2.0,15,0.36507906483230357
50288,100,0.16,0.0,0.02,0.0,0.0,3,0.171170830549987
58689,110,0.16,2.0,0.0,0.0,0.0,5,0.14222916251752474
9272,40,0.32,0.0,0.2,2.0,0.0,11,0.15997302379247863
49075,90,1.28,0.02,0.2,0.0,0.2,13,0.30767706699854425
20171,50,1.28,0.02,0.0,0.0,0.02,11,0.1649459837338645
66488,120,0.32,0.0,0.02,0.2,0.2,7,0.2731702779947873
11700,40,0.64,0.2,0.0,0.02,2.0,9,0.32058186133722716
40412,80,0.64,0.2,0.0,2.0,0.02,5,0.25639145221539866
59284,110,0.32,0.0,0.02,0.02,0.02,5,0.1995347836920624
60047,110,0.32,0.2,0.0,0.0,0.2,5,0.17693245975215827
17377,50,0.32,0.2,2.0,0.0,0.2,9,0.27392233073589584
21384,50,1.28,2.0,0.2,2.0,0.2,15,0.36166871164158176
39542,80,0.64,0.0,0.02,0.0,0.0,15,0.13190470077646513
66364,120,0.32,0.0,0.0,0.2,0.0,11,0.1688839845489861
44158,90,0.16,0.2,0.2,0.02,0.0,7,0.15525757716241012
14179,40,1.28,2.0,0.2,0.2,0.02,11,0.37788556855048344
23270,60,0.16,2.0,2.0,2.0,0.0,7,0.39008114809530914
889,30,0.16,0.02,2.0,2.0,2.0,3,0.34684505044933667
15834,50,0.16,2.0,0.02,0.02,0.2,3,0.3342664831528784
28718,70,0.16,0.0,0.0,0.02,0.2,11,0.27034470427292545
16534,50,0.32,0.0,2.0,0.2,0.2,3,0.28149328494419457
23626,60,0.32,0.0,0.2,2.0,2.0,5,0.31705506965947955
46746,90,0.64,0.0,0.02,0.02,0.2,3,0.3065465641957986
35292,70,1.28,0.2,2.0,0.0,0.02,13,0.302673871457012
43783,90,0.16,0.02,0.2,2.0,0.2,13,0.3742002211221535
50190,100,0.16,0.0,0.0,0.0,0.2,3,0.17253800267998226
13925,40,1.28,2.0,0.0,0.02,0.02,7,0.2610060442097356
34942,70,1.28,0.02,2.0,2.0,2.0,13,0.37256004906873236
40038,80,0.64,0.02,0.02,0.02,2.0,13,0.36156451360057
47463,90,0.64,0.02,2.0,2.0,0.0,9,0.16445016743810553
32718,70,0.64,0.02,0.0,0.0,0.2,3,0.20349679529156284
67169,120,0.32,0.02,2.0,0.2,2.0,11,0.31252484550771714
56509,100,1.28,0.2,0.0,0.2,0.0,13,0.21001425961263376
66116,120,0.16,2.0,0.2,0.02,0.02,5,0.1977785253437171
12532,40,0.64,2.0,2.0,2.0,0.2,7,0.3353777888635334
21042,50,1.28,0.2,2.0,2.0,0.2,3,0.3842199540878228
40729,80,0.64,0.2,2.0,0.2,0.2,9,0.30335911931620185
15656,50,0.16,0.2,2.0,2.0,0.0,11,0.1821709477237744
10517,40,0.32,2.0,0.02,2.0,0.2,9,0.2919375973979952
6781,30,1.28,2.0,0.0,0.2,0.0,13,0.3491904688902015
8402,40,0.16,0.2,2.0,0.0,0.0,7,0.20760659547669008
5803,30,1.28,0.0,2.0,2.0,0.02,3,0.37704386665750433
24132,60,0.32,0.02,2.0,0.02,2.0,9,0.3070074890616288
10229,40,0.32,0.2,2.0,0.02,0.02,7,0.17997130972365777
9032,40,0.32,0.0,0.0,0.2,0.2,7,0.31071383959672155
59972,110,0.32,0.02,2.0,0.02,2.0,9,0.2725082165352078
43109,90,0.16,0.0,0.0,2.0,0.2,9,0.2684145245113352
25558,60,0.64,0.02,0.0,0.0,2.0,5,0.3317839530853624
