,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
15708,50,0.16,2.0,0.0,0.02,0.0,3,0.2222123899179605
70228,120,1.28,0.0,2.0,0.0,0.0,11,0.2524211819609896
7043,30,1.28,2.0,0.2,2.0,0.2,5,0.3603872740491978
10476,40,0.32,2.0,0.02,0.2,0.0,11,0.27694495678980385
69293,120,0.64,0.2,0.2,0.2,2.0,3,0.35936724453764995
2134,30,0.32,0.0,2.0,0.0,0.0,15,0.1658803097049546
63,30,0.16,0.0,0.0,0.2,0.02,3,0.1453023765216997
15693,50,0.16,2.0,0.0,0.0,0.02,15,0.15458164240494804
43964,90,0.16,0.2,0.0,0.2,0.0,11,0.21700029566219298
35483,70,1.28,2.0,0.0,2.0,0.02,3,0.34587567329577346
30739,70,0.32,0.0,0.2,0.02,2.0,7,0.28819145730209444
37137,80,0.16,0.2,2.0,0.2,0.02,7,0.19035983304233617
16540,50,0.32,0.0,2.0,0.2,0.2,15,0.300141720746433
66148,120,0.16,2.0,0.2,0.2,0.02,13,0.3705914050464742
38908,80,0.32,0.2,2.0,0.02,0.2,7,0.2873322422845138
457,30,0.16,0.02,0.0,0.0,0.02,7,0.397035030121527
31780,70,0.32,0.2,2.0,2.0,0.0,3,0.16928206583964095
54627,100,0.64,0.02,2.0,0.2,2.0,15,0.3524663708446213
57375,110,0.16,0.0,0.0,0.02,0.0,9,0.14882587599501254
62051,110,0.64,0.2,0.2,0.0,0.0,9,0.14377100513554153
7985,40,0.16,0.02,2.0,0.02,0.0,13,0.24824980025764984
32230,70,0.32,2.0,2.0,2.0,0.0,7,0.418557552687723
37731,80,0.32,0.0,0.0,2.0,0.2,5,0.33411491220522765
39474,80,0.64,0.0,0.0,0.02,2.0,5,0.3449989976324344
41412,80,1.28,0.0,0.02,2.0,0.0,3,0.10812768247183135
20318,50,1.28,0.02,0.02,0.02,0.2,11,0.36184210782926746
32086,70,0.32,2.0,0.2,0.02,2.0,13,0.31768969204563063
6792,30,1.28,2.0,0.0,0.2,0.2,7,0.3527329302873423
21220,50,1.28,2.0,0.02,0.02,2.0,9,0.35669143780970824
34170,70,1.28,0.0,0.02,0.0,0.02,9,0.18660039377225882
307,30,0.16,0.0,0.2,0.2,2.0,15,0.3132966732225148
36051,80,0.16,0.0,0.02,2.0,0.2,5,0.335004623404203
64129,110,1.28,2.0,0.0,0.2,0.02,7,0.3472436967589364
33112,70,0.64,0.02,2.0,0.2,0.2,7,0.319204082870338
64053,110,1.28,0.2,2.0,2.0,0.2,9,0.3632546100568999
26381,60,0.64,0.2,2.0,0.2,0.0,13,0.19855688193623836
11264,40,0.64,0.02,0.0,0.2,0.02,5,0.27157433222881167
47529,90,0.64,0.2,0.0,0.02,0.02,15,0.2554848091270431
42304,80,1.28,0.2,0.02,0.2,2.0,9,0.3503131813998622
49678,90,1.28,0.2,2.0,0.2,0.0,15,0.2475157019348269
38279,80,0.32,0.02,0.02,2.0,0.0,9,0.1264925687562255
8177,40,0.16,0.2,0.02,0.0,0.0,5,0.23114783180028287
36975,80,0.16,0.2,0.2,0.0,0.2,5,0.1582131363817959
