,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
37422,80,0.16,2.0,0.2,0.0,0.2,3,0.20580754086306208
11787,40,0.64,0.2,0.02,0.0,2.0,15,0.3171811760851623
61756,110,0.64,0.02,2.0,0.02,0.2,7,0.29186317099308684
67067,120,0.32,0.02,0.2,2.0,0.02,3,0.31949479151113175
24405,60,0.32,0.2,0.02,2.0,0.2,9,0.303660525824368
20914,50,1.28,0.2,0.2,0.2,2.0,13,0.34409719374143455
40330,80,0.64,0.2,0.0,0.0,0.02,9,0.15991432272320016
67514,120,0.32,0.2,0.2,2.0,0.0,15,0.16992665518239428
3440,30,0.32,2.0,0.2,0.2,2.0,9,0.3172160471050466
56286,100,1.28,0.02,0.2,0.2,0.0,15,0.15285751133806058
54986,100,0.64,0.2,0.2,2.0,2.0,5,0.3525829512069302
4216,30,0.64,0.02,0.02,0.2,0.2,7,0.31444203039245044
69144,120,0.64,0.2,0.02,0.02,0.02,13,0.31421471351529145
48746,90,1.28,0.0,2.0,0.0,2.0,13,0.3368860845481012
9218,40,0.32,0.0,0.2,0.02,0.0,15,0.1421464633506278
4676,30,0.64,0.2,0.02,2.0,0.0,3,0.1976832174304208
38950,80,0.32,0.2,2.0,2.0,0.0,7,0.18432293833279273
65573,120,0.16,0.2,0.02,0.02,2.0,11,0.33538764275946575
17063,50,0.32,0.2,0.0,0.02,0.02,11,0.21182819812211856
30512,70,0.32,0.0,0.0,0.02,0.2,15,0.32070990358620555
3222,30,0.32,2.0,0.0,2.0,0.0,7,0.3520353662545715
18159,50,0.64,0.0,0.2,0.0,0.2,5,0.2550973066350706
30326,70,0.16,2.0,0.2,2.0,0.0,7,0.3387765507447743
13581,40,1.28,0.2,0.02,0.02,0.0,5,0.19096164928809653
33776,70,0.64,2.0,0.02,0.2,0.02,5,0.381142478741307
16294,50,0.32,0.0,0.02,0.02,2.0,13,0.3658061090315768
31665,70,0.32,0.2,0.2,0.2,2.0,11,0.31233942554924804
49622,90,1.28,0.2,2.0,0.0,0.0,15,0.20062968777885912
46728,90,0.64,0.0,0.02,0.0,2.0,9,0.30457791898922176
58066,110,0.16,0.02,0.2,0.02,2.0,5,0.35565043890564213
39986,80,0.64,0.02,0.02,0.0,0.0,7,0.16880224755355755
8418,40,0.16,0.2,2.0,0.0,0.2,11,0.2701580012251218
15152,50,0.16,0.02,2.0,0.02,0.0,11,0.23779497650740367
59719,110,0.32,0.02,0.02,0.0,2.0,7,0.269434729885854
27108,60,1.28,0.0,0.2,0.0,0.0,11,0.1538629120536239
37592,80,0.16,2.0,2.0,0.2,0.2,7,0.2931479079051679
56683,100,1.28,0.2,0.2,0.0,0.02,11,0.26059113316053684
37654,80,0.32,0.0,0.0,0.0,2.0,5,0.28267748617014377
6390,30,1.28,0.2,0.02,0.0,0.0,15,0.19822404574566369
36711,80,0.16,0.02,2.0,2.0,0.0,9,0.1507981086235412
13861,40,1.28,0.2,2.0,2.0,0.0,5,0.31284610982636474
64574,120,0.16,0.0,0.0,0.2,0.0,15,0.1642685578531191
25410,60,0.64,0.0,0.2,2.0,0.2,3,0.33552578116599213
67568,120,0.32,0.2,2.0,0.02,0.0,11,0.15098315980016788
68817,120,0.64,0.02,0.2,0.02,2.0,3,0.36295633972588653
37687,80,0.32,0.0,0.0,0.02,2.0,15,0.2627743381805221
21225,50,1.28,2.0,0.02,0.2,0.0,5,0.353145885548277
63891,110,1.28,0.2,0.2,0.02,2.0,7,0.33869384562396593
20008,50,1.28,0.0,0.2,0.2,0.2,7,0.32774795249011823
53013,100,0.32,0.2,0.02,0.02,0.02,7,0.21447664595562727
21354,50,1.28,2.0,0.2,0.2,0.2,11,0.37779882541629967
33657,70,0.64,2.0,0.0,0.2,0.0,5,0.32916387140444187
52444,100,0.32,0.02,0.0,0.02,0.0,3,0.17108307473494533
36168,80,0.16,0.0,0.2,2.0,0.2,15,0.29799191270831343
31913,70,0.32,2.0,0.0,2.0,2.0,3,0.32706439967622625
