,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
70390,120,1.28,0.02,0.0,0.02,2.0,13,0.3435295067321517
19444,50,0.64,2.0,0.02,0.2,0.02,13,0.33341207237473247
3527,30,0.32,2.0,2.0,0.02,2.0,15,0.3095684820385072
9526,40,0.32,0.02,0.02,0.0,0.0,15,0.12596229304740095
24043,60,0.32,0.02,0.2,0.2,0.2,13,0.290305852709712
31033,70,0.32,0.02,0.02,0.0,0.02,7,0.1262635096352866
18823,50,0.64,0.2,0.0,0.0,0.02,3,0.20095403476435442
30199,70,0.16,2.0,0.02,0.2,0.2,5,0.33662815967147647
1892,30,0.32,0.0,0.0,2.0,0.2,7,0.3168173809308913
42868,80,1.28,2.0,0.2,2.0,0.0,3,0.3064481098047067
19360,50,0.64,2.0,0.0,2.0,0.02,13,0.29159200604791136
39769,80,0.64,0.0,2.0,0.0,0.02,7,0.1852339933663262
26957,60,1.28,0.0,0.0,0.2,2.0,3,0.33534627636727155
55878,100,1.28,0.0,0.2,2.0,0.2,11,0.3140633240044433
20486,50,1.28,0.02,0.2,2.0,0.2,11,0.33231802877849276
58550,110,0.16,0.2,0.2,2.0,0.0,7,0.12862452758614837
4747,30,0.64,0.2,0.2,0.02,0.2,5,0.21908287122030107
15549,50,0.16,0.2,0.2,2.0,0.02,7,0.22653590939754395
36610,80,0.16,0.02,0.2,2.0,0.2,3,0.3058389447514843
31565,70,0.32,0.2,0.02,2.0,0.02,7,0.28648089682370675
3887,30,0.64,0.0,0.2,0.2,2.0,7,0.3492811396238273
33180,70,0.64,0.2,0.0,0.02,0.0,3,0.13890226897265864
57350,110,0.16,0.0,0.0,0.0,0.0,15,0.12122108251702965
2813,30,0.32,0.2,0.02,0.0,0.02,15,0.11445778988191171
11133,40,0.64,0.0,2.0,0.02,0.2,9,0.3258755527423646
66080,120,0.16,2.0,0.2,0.0,0.0,3,0.11539512144908645
56612,100,1.28,0.2,0.02,0.02,2.0,9,0.34624099462371605
56966,100,1.28,2.0,0.0,0.2,0.2,3,0.34292841201338314
11464,40,0.64,0.02,0.2,0.02,0.02,13,0.19321601578522224
20507,50,1.28,0.02,2.0,0.0,0.02,11,0.262918919153353
69038,120,0.64,0.2,0.0,0.02,0.2,11,0.309590256423351
8174,40,0.16,0.2,0.0,2.0,2.0,13,0.31523571427753655
11569,40,0.64,0.02,2.0,0.02,0.0,13,0.1498356122313527
29570,70,0.16,0.2,0.0,0.0,0.0,7,0.12532531419749152
45968,90,0.32,0.2,0.2,0.02,0.2,15,0.29958752049859244
49736,90,1.28,2.0,0.0,0.0,0.02,5,0.26894367155424587
69135,120,0.64,0.2,0.02,0.02,0.0,9,0.16486796496221498
12663,40,1.28,0.0,0.02,0.0,0.02,3,0.16881718345791558
15326,50,0.16,0.2,0.0,2.0,0.02,9,0.19477476523355755
44359,90,0.16,2.0,0.0,0.0,0.02,3,0.17187767617160393
60441,110,0.32,0.2,2.0,0.2,0.2,9,0.27460355274043985
45527,90,0.32,0.02,0.2,0.02,2.0,15,0.32588358202190976
63740,110,1.28,0.2,0.02,0.0,0.02,13,0.1697704506179188
27591,60,1.28,0.02,0.2,0.02,0.02,11,0.254014165213184
27332,60,1.28,0.02,0.0,0.0,0.0,11,0.16546192691629488
21144,50,1.28,2.0,0.0,2.0,0.0,11,0.30330304953015697
54005,100,0.64,0.0,0.2,0.0,2.0,3,0.27469019819532836
7437,40,0.16,0.0,0.2,0.02,0.2,9,0.27381968877011104
67078,120,0.32,0.02,0.2,2.0,0.2,11,0.3206064723245724
16395,50,0.32,0.0,0.2,0.02,0.2,5,0.2799214858371103
8534,40,0.16,2.0,0.0,0.0,2.0,5,0.241393142362096
68101,120,0.64,0.0,0.0,0.0,0.0,13,0.13810683421518521
38765,80,0.32,0.2,0.2,0.0,0.02,15,0.15794503170067378
41630,80,1.28,0.0,2.0,0.2,2.0,5,0.3405017775221618
7844,40,0.16,0.02,0.2,0.0,0.0,11,0.12387519980560631
9428,40,0.32,0.02,0.0,0.0,0.2,15,0.13279709185802904
66535,120,0.32,0.0,0.2,0.0,0.02,3,0.1802083243965804
40872,80,0.64,2.0,0.0,2.0,0.2,15,0.29355467941751096
41369,80,1.28,0.0,0.02,0.02,0.02,15,0.3377247021522538
15516,50,0.16,0.2,0.2,0.2,0.0,11,0.145449787510022
54547,100,0.64,0.02,2.0,0.0,0.0,9,0.15160548880434532
47543,90,0.64,0.2,0.0,0.02,2.0,15,0.3371542890471546
41968,80,1.28,0.02,0.2,0.2,2.0,9,0.33917160319974343
18070,50,0.64,0.0,0.02,0.02,0.02,9,0.21211824068870475
63413,110,1.28,0.02,0.2,0.0,2.0,3,0.35855074545619176
19624,50,0.64,2.0,2.0,0.0,2.0,9,0.30946344849671376
64548,120,0.16,0.0,0.0,0.02,0.02,5,0.1474571255303706
22068,60,0.16,0.02,0.02,0.0,0.0,11,0.13373344991168365
69666,120,0.64,2.0,0.2,0.0,0.0,7,0.17842213274633914
58308,110,0.16,0.2,0.0,0.2,0.02,13,0.20191797027234598
70450,120,1.28,0.02,0.02,0.0,0.0,7,0.05864299877696942
36835,80,0.16,0.2,0.0,2.0,0.2,5,0.3107233327022556
7622,40,0.16,0.02,0.0,0.0,0.0,15,0.13384564562393222
61410,110,0.64,0.02,0.0,0.02,0.0,15,0.19523755496418196
65043,120,0.16,0.02,0.0,0.2,2.0,15,0.30754855466599296
56324,100,1.28,0.02,0.2,2.0,0.2,7,0.3230412917768134
22880,60,0.16,2.0,0.0,0.02,0.0,11,0.1986370077621801
59025,110,0.16,2.0,2.0,0.0,0.0,5,0.16702612118284038
50670,100,0.16,0.02,0.0,0.02,0.2,11,0.2996962520817688
49306,90,1.28,0.2,0.0,0.0,2.0,13,0.3510002954390629
66049,120,0.16,2.0,0.02,0.2,2.0,11,0.3062730540801896
7079,30,1.28,2.0,2.0,0.0,2.0,7,0.33639683325425185
35512,70,1.28,2.0,0.02,0.0,0.02,5,0.2522131721800614
39684,80,0.64,0.0,0.2,0.02,0.02,5,0.19768721663650177
59088,110,0.16,2.0,2.0,0.2,0.02,5,0.304453393218601
41597,80,1.28,0.0,2.0,0.02,0.2,9,0.34224782715324675
67581,120,0.32,0.2,2.0,0.02,0.2,9,0.29111359087946
13450,40,1.28,0.2,0.0,0.0,0.02,9,0.13260872198241935
49340,90,1.28,0.2,0.0,0.2,0.0,11,0.1775514618849206
58831,110,0.16,2.0,0.02,0.02,0.0,9,0.1984736108358185
8060,40,0.16,0.02,2.0,2.0,2.0,9,0.3134352570312485
57880,110,0.16,0.02,0.0,2.0,0.0,11,0.11721659048114134
53541,100,0.32,2.0,0.2,0.0,0.0,13,0.12817489090956122
51940,100,0.16,2.0,2.0,2.0,0.0,3,0.31756586678127635
45583,90,0.32,0.02,0.2,2.0,2.0,15,0.3132842712827071
46642,90,0.64,0.0,0.0,0.02,2.0,5,0.3376386258815613
38591,80,0.32,0.2,0.0,0.2,0.02,3,0.2659254477757711
1547,30,0.16,2.0,0.02,2.0,0.02,3,0.32213176078818573
8318,40,0.16,0.2,0.2,0.02,0.0,7,0.11359044831706017
28686,70,0.16,0.0,0.0,0.0,0.2,3,0.1382931885444863
49769,90,1.28,2.0,0.0,0.02,0.02,15,0.3303762624168377
5976,30,1.28,0.02,0.02,0.02,0.02,13,0.3002536462112349
16555,50,0.32,0.0,2.0,2.0,0.02,3,0.32105925378263594
17327,50,0.32,0.2,0.2,0.2,2.0,7,0.2969128395085194
8203,40,0.16,0.2,0.02,0.0,2.0,15,0.24480290928813006
16537,50,0.32,0.0,2.0,0.2,0.2,9,0.2787370686298625
2405,30,0.32,0.02,0.02,0.02,2.0,11,0.313044338193696
42159,80,1.28,0.2,0.0,0.02,0.2,13,0.36514331923051363
38292,80,0.32,0.02,0.02,2.0,0.2,7,0.2441551481787361
49710,90,1.28,0.2,2.0,2.0,0.02,9,0.3584376608118413
24378,60,0.32,0.2,0.02,0.2,0.2,11,0.2891029394374612
70699,120,1.28,0.02,2.0,0.0,2.0,15,0.3385252472205977
29489,70,0.16,0.02,2.0,0.02,0.0,13,0.18335931977357006
68449,120,0.64,0.0,2.0,0.0,0.2,9,0.32749785944821597
30934,70,0.32,0.02,0.0,0.0,2.0,5,0.23546534297169958
11568,40,0.64,0.02,2.0,0.02,0.0,11,0.16229957606084705
38199,80,0.32,0.02,0.02,0.0,0.02,3,0.13832602475971517
4409,30,0.64,0.02,2.0,0.02,0.02,15,0.1545365133464407
30018,70,0.16,2.0,0.0,0.0,0.0,7,0.17412192550040922
54630,100,0.64,0.02,2.0,2.0,0.0,7,0.10433226151421454
28269,60,1.28,2.0,0.0,0.02,0.2,9,0.3526570214662371
44175,90,0.16,0.2,0.2,0.02,0.2,13,0.21662859078382027
30482,70,0.32,0.0,0.0,0.0,0.2,11,0.17896214865285243
19070,50,0.64,0.2,0.2,0.02,0.0,7,0.13658459861738848
26942,60,1.28,0.0,0.0,0.2,0.0,15,0.1092066929708864
20276,50,1.28,0.02,0.02,0.0,0.0,11,0.12234117642858967
54142,100,0.64,0.0,2.0,0.02,0.2,11,0.30692918834780347
27028,60,1.28,0.0,0.02,0.02,0.02,5,0.23912724032156024
42742,80,1.28,2.0,0.02,0.2,0.2,3,0.33969468102027645
50493,100,0.16,0.0,0.2,2.0,0.02,7,0.2314297764773683
45999,90,0.32,0.2,0.2,0.2,2.0,7,0.3013813385639189
35200,70,1.28,0.2,0.2,0.02,0.0,11,0.23985955239454518
16355,50,0.32,0.0,0.2,0.0,0.0,9,0.16932873597163783
1040,30,0.16,0.2,0.02,0.02,0.0,11,0.12340485788748426
29008,70,0.16,0.0,2.0,0.0,0.0,3,0.10625388946829534
16563,50,0.32,0.0,2.0,2.0,0.2,5,0.272283518571903
32929,70,0.64,0.02,0.2,0.0,0.0,5,0.12939017024029154
17432,50,0.32,0.2,2.0,0.2,0.2,7,0.33377895610427555
36164,80,0.16,0.0,0.2,2.0,0.2,7,0.34477385330135546
47346,90,0.64,0.02,0.2,0.2,2.0,13,0.33591032560133155
8773,40,0.16,2.0,0.2,0.02,0.02,7,0.21624036892083326
42107,80,1.28,0.02,2.0,2.0,2.0,7,0.3213078392926636
65329,120,0.16,0.02,2.0,0.02,0.0,13,0.13056289891294945
69872,120,0.64,2.0,2.0,2.0,0.02,13,0.31344564436484973
5887,30,1.28,0.02,0.0,0.2,0.02,3,0.27658075790578807
49748,90,1.28,2.0,0.0,0.0,0.2,15,0.23905219472338765
71473,120,1.28,2.0,0.2,0.0,0.2,9,0.33313976901798326
37494,80,0.16,2.0,0.2,2.0,0.0,7,0.3774983978473942
38051,80,0.32,0.0,2.0,0.2,2.0,15,0.2951309993150174
16026,50,0.16,2.0,2.0,0.0,0.02,9,0.25117749262077593
33181,70,0.64,0.2,0.0,0.02,0.0,5,0.1665895078541229
19776,50,1.28,0.0,0.0,0.2,0.02,5,0.3142328797460519
1684,30,0.16,2.0,2.0,0.0,0.0,11,0.21660579619035444
69875,120,0.64,2.0,2.0,2.0,0.2,5,0.3041980565693252
1211,30,0.16,0.2,0.2,2.0,0.02,3,0.18211162554872937
17736,50,0.32,2.0,0.2,0.02,0.02,13,0.2223791809673074
53345,100,0.32,2.0,0.0,0.02,0.0,13,0.18608268384978763
17950,50,0.64,0.0,0.0,0.02,0.0,7,0.1685665396432471
