,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
5227,30,0.64,2.0,0.2,0.2,0.2,13,0.29993940714132006
52275,100,0.32,0.0,0.2,0.2,2.0,15,0.2605379091795095
49681,90,1.28,0.2,2.0,0.2,0.02,7,0.27985852728855004
605,30,0.16,0.02,0.02,0.02,0.2,9,0.18863274600752006
10361,40,0.32,2.0,0.0,0.2,0.0,5,0.2431713918037287
20550,50,1.28,0.02,2.0,0.02,2.0,13,0.2812508953733201
21322,50,1.28,2.0,0.2,0.02,0.2,3,0.34727188800549263
60632,110,0.32,2.0,0.02,0.02,0.02,13,0.2797763607125421
31571,70,0.32,0.2,0.02,2.0,0.2,5,0.23547008218223722
47740,90,0.64,0.2,0.2,0.02,0.0,3,0.17524178760510273
21329,50,1.28,2.0,0.2,0.02,2.0,3,0.29932234806801983
8432,40,0.16,0.2,2.0,0.02,0.0,11,0.33172147796456086
13087,40,1.28,0.02,0.0,2.0,0.02,11,0.3709550602008202
60450,110,0.32,0.2,2.0,0.2,2.0,13,0.2551429758548156
18367,50,0.64,0.0,2.0,2.0,2.0,15,0.2777962927569926
44315,90,0.16,0.2,2.0,0.2,0.2,13,0.2805798748625677
11892,40,0.64,0.2,0.2,0.0,0.2,15,0.15256450528730225
2296,30,0.32,0.02,0.0,0.2,0.0,3,0.14087607871886226
43750,90,0.16,0.02,0.2,0.2,0.2,3,0.24259684716416507
460,30,0.16,0.02,0.0,0.0,0.02,13,0.16743817111289264
15405,50,0.16,0.2,0.02,0.2,0.0,13,0.13008864182620966
7298,40,0.16,0.0,0.02,0.0,0.2,11,0.19238489942876938
62990,110,1.28,0.0,0.2,0.02,0.2,11,0.3341292247736789
44297,90,0.16,0.2,2.0,0.2,0.0,5,0.132544346807518
36263,80,0.16,0.0,2.0,2.0,0.0,9,0.14933426807739347
35500,70,1.28,2.0,0.0,2.0,2.0,9,0.27175859203283015
66395,120,0.32,0.0,0.0,2.0,0.02,3,0.22530114744173543
57303,100,1.28,2.0,2.0,0.2,0.2,5,0.3008206765025392
26776,60,0.64,2.0,2.0,0.0,0.02,5,0.2094166353371234
49707,90,1.28,0.2,2.0,2.0,0.02,3,0.34356961896470023
3548,30,0.32,2.0,2.0,0.2,0.2,15,0.2611632311280552
24756,60,0.32,2.0,0.02,0.0,0.0,11,0.14438597643616613
22353,60,0.16,0.02,2.0,0.2,0.02,7,0.16797016970651413
66829,120,0.32,0.02,0.0,0.2,2.0,3,0.27395809155493045
29865,70,0.16,0.2,0.2,0.2,0.2,9,0.29867848448692536
18771,50,0.64,0.02,2.0,0.2,0.02,11,0.23360711482240498
64442,110,1.28,2.0,2.0,0.02,0.2,3,0.3331022331385056
67427,120,0.32,0.2,0.2,0.0,0.0,9,0.1252571618044407
29162,70,0.16,0.02,0.0,0.02,0.2,3,0.2848048243098285
32110,70,0.32,2.0,0.2,0.2,2.0,5,0.2518968885715312
22903,60,0.16,2.0,0.0,0.02,2.0,15,0.32243425252151564
17655,50,0.32,2.0,0.02,0.2,0.2,5,0.31929995593146715
35520,70,1.28,2.0,0.02,0.0,0.2,7,0.24829563548075165
19750,50,1.28,0.0,0.0,0.02,0.02,9,0.29211662832537644
15540,50,0.16,0.2,0.2,2.0,0.0,3,0.1378550560606983
52972,100,0.32,0.2,0.0,2.0,2.0,9,0.2695517678955861
56144,100,1.28,0.02,0.02,0.02,0.0,11,0.18129302297431915
26119,60,0.64,0.2,0.02,0.0,2.0,7,0.23857109376919677
55067,100,0.64,0.2,2.0,0.2,0.2,13,0.3110254108799174
58,30,0.16,0.0,0.0,0.2,0.0,7,0.16121752614556525
51793,100,0.16,2.0,0.2,0.02,2.0,3,0.304284988868165
3844,30,0.64,0.0,0.2,0.02,0.02,5,0.1480478223270793
59194,110,0.32,0.0,0.0,0.2,0.0,7,0.13480280428341004
67852,120,0.32,2.0,0.02,2.0,0.02,5,0.2960247364097751
997,30,0.16,0.2,0.0,2.0,0.2,9,0.2505273373361441
33324,70,0.64,0.2,0.02,0.2,0.0,11,0.18047777909509277
65089,120,0.16,0.02,0.02,0.0,0.2,9,0.15668121661301812
52993,100,0.32,0.2,0.02,0.0,0.2,9,0.14890031321804514
2439,30,0.32,0.02,0.02,2.0,0.0,9,0.13410603784363379
26339,60,0.64,0.2,2.0,0.0,0.2,13,0.27455447183703585
34961,70,1.28,0.2,0.0,0.0,0.2,9,0.2737007697085905
18056,50,0.64,0.0,0.02,0.0,2.0,9,0.26549698434955865
38325,80,0.32,0.02,0.2,0.0,2.0,3,0.26228393150938856
59722,110,0.32,0.02,0.02,0.0,2.0,13,0.2032488339725651
64611,120,0.16,0.0,0.0,2.0,0.2,5,0.2896092832898868
36131,80,0.16,0.0,0.2,0.2,0.02,11,0.17562084025432734
285,30,0.16,0.0,0.2,0.2,0.0,13,0.1582687129665765
52653,100,0.32,0.02,0.2,0.0,0.02,15,0.1301744259122719
11612,40,0.64,0.02,2.0,0.2,0.2,15,0.3143738497373417
44443,90,0.16,2.0,0.0,2.0,0.02,3,0.2554393292888691
50696,100,0.16,0.02,0.0,0.2,0.2,7,0.29978452008141715
66356,120,0.32,0.0,0.0,0.02,2.0,9,0.25998988446036064
13208,40,1.28,0.02,0.02,2.0,0.2,15,0.2757577505785438
20124,50,1.28,0.0,2.0,0.2,0.2,15,0.3262468372139553
10530,40,0.32,2.0,0.2,0.0,0.0,7,0.1759840993177781
14689,50,0.16,0.0,2.0,0.0,0.2,9,0.18385027068746912
26126,60,0.64,0.2,0.02,0.02,0.0,7,0.1644961003672514
66760,120,0.32,0.02,0.0,0.0,0.02,5,0.13618056842396636
13638,40,1.28,0.2,0.02,2.0,0.0,7,0.23327336921485742
48681,90,1.28,0.0,0.2,0.2,0.2,9,0.3162105393775912
63674,110,1.28,0.2,0.0,0.2,0.0,7,0.1923405797815932
2325,30,0.32,0.02,0.0,2.0,0.0,5,0.12691180957147788
32240,70,0.32,2.0,2.0,2.0,0.02,13,0.25598232944155463
48493,90,1.28,0.0,0.0,2.0,2.0,11,0.27593460685893123
6872,30,1.28,2.0,0.02,0.02,0.02,13,0.3341320216616944
126,30,0.16,0.0,0.02,0.0,0.2,3,0.24745766719959894
