,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
14283,40,1.28,2.0,2.0,0.2,0.0,9,0.32705002789279547
71468,120,1.28,2.0,0.2,0.0,0.02,13,0.256843195749756
15220,50,0.16,0.02,2.0,2.0,0.2,7,0.268127626206165
54726,100,0.64,0.2,0.0,0.2,0.2,3,0.26662959625582433
17766,50,0.32,2.0,0.2,0.2,0.2,3,0.3056664425125415
62707,110,0.64,2.0,2.0,2.0,0.2,5,0.2508070032669401
16861,50,0.32,0.02,0.2,0.2,0.0,13,0.16601686288116818
1463,30,0.16,2.0,0.02,0.0,0.02,3,0.15766769164218064
16593,50,0.32,0.02,0.0,0.0,0.2,9,0.17884751542388033
11411,40,0.64,0.02,0.02,2.0,0.2,5,0.30823387579738715
47276,90,0.64,0.02,0.2,0.0,0.02,13,0.18082033605939013
22712,60,0.16,0.2,0.2,2.0,0.0,11,0.16492845153950955
11414,40,0.64,0.02,0.02,2.0,0.2,11,0.3141032077956288
66311,120,0.32,0.0,0.0,0.0,0.02,3,0.15648837983775526
60898,110,0.32,2.0,2.0,0.2,2.0,13,0.28612686603221815
42073,80,1.28,0.02,2.0,0.2,0.2,9,0.3425885196850919
9135,40,0.32,0.0,0.02,0.2,0.02,3,0.2018624771609483
22564,60,0.16,0.2,0.02,0.02,2.0,9,0.35313894314277056
10954,40,0.64,0.0,0.02,2.0,0.0,15,0.15627077437212933
21865,60,0.16,0.0,2.0,0.0,2.0,11,0.30483568635617286
31637,70,0.32,0.2,0.2,0.02,2.0,11,0.2857237778811597
49675,90,1.28,0.2,2.0,0.2,0.0,9,0.27352469065208324
19510,50,0.64,2.0,0.2,0.0,2.0,5,0.35595356996339017
10860,40,0.64,0.0,0.0,2.0,2.0,9,0.3126178531575826
67444,120,0.32,0.2,0.2,0.0,0.2,15,0.19547682620902912
69588,120,0.64,2.0,0.02,0.02,0.02,5,0.23933974135310798
39814,80,0.64,0.0,2.0,0.02,2.0,13,0.32524068673176826
54155,100,0.64,0.0,2.0,0.2,0.0,9,0.2102988178803093
6315,30,1.28,0.2,0.0,0.02,0.2,5,0.29180384575973994
39807,80,0.64,0.0,2.0,0.02,0.2,13,0.2771678436947013
20159,50,1.28,0.0,2.0,2.0,2.0,15,0.29941254953230456
26612,60,0.64,2.0,0.02,0.2,0.02,13,0.29788232416803406
984,30,0.16,0.2,0.0,2.0,0.0,11,0.16494843984401678
32834,70,0.64,0.02,0.02,0.0,0.2,11,0.18567195645820345
34678,70,1.28,0.02,0.02,0.2,0.2,3,0.3199575649053589
49062,90,1.28,0.02,0.2,0.0,0.0,15,0.1872827884593996
45195,90,0.32,0.0,2.0,0.2,0.0,9,0.19353898311401874
2356,30,0.32,0.02,0.02,0.0,0.0,11,0.10741749467531
30405,70,0.16,2.0,2.0,0.02,2.0,11,0.3262932703216418
50507,100,0.16,0.0,0.2,2.0,2.0,7,0.29833132186676614
68368,120,0.64,0.0,0.2,0.02,0.2,15,0.2643256780859099
29214,70,0.16,0.02,0.0,2.0,0.02,9,0.27020854768755065
56486,100,1.28,0.2,0.0,0.02,0.02,9,0.2451956370624547
39656,80,0.64,0.0,0.2,0.0,0.02,5,0.1798568948693359
23726,60,0.32,0.0,2.0,2.0,0.02,9,0.27681703761600196
60788,110,0.32,2.0,0.2,2.0,0.0,3,0.2935988143808879
408,30,0.16,0.0,2.0,0.2,0.2,7,0.2603397880870651
155,30,0.16,0.0,0.02,0.02,0.2,5,0.21272591416961575
63477,110,1.28,0.02,0.2,2.0,0.0,5,0.25232580488301176
42069,80,1.28,0.02,2.0,0.2,0.02,15,0.3205455978407567
68570,120,0.64,0.02,0.0,0.0,2.0,13,0.284699869603006
57357,110,0.16,0.0,0.0,0.0,0.02,15,0.19158073803194295
54064,100,0.64,0.0,0.2,0.2,2.0,9,0.3182252972084591
64923,120,0.16,0.0,2.0,0.2,0.2,13,0.2906525053789693
25617,60,0.64,0.02,0.0,0.2,2.0,11,0.31056074590019356
44398,90,0.16,2.0,0.0,0.02,0.2,11,0.3032567342044086
8610,40,0.16,2.0,0.0,2.0,0.2,3,0.2935427252857296
40824,80,0.64,2.0,0.0,0.2,0.0,3,0.32480553781506716
24650,60,0.32,2.0,0.0,0.0,0.02,9,0.18784032502062226
7412,40,0.16,0.0,0.2,0.0,0.2,15,0.19568272580657425
10068,40,0.32,0.2,0.02,2.0,0.2,7,0.2961516790445228
34897,70,1.28,0.02,2.0,0.2,0.02,7,0.32375291121463234
