,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
20887,50,1.28,0.2,0.2,0.02,2.0,15,0.3548875144765608
7629,40,0.16,0.02,0.0,0.0,0.02,15,0.19627156187875222
28242,60,1.28,2.0,0.0,0.0,0.2,11,0.24220463725651095
69198,120,0.64,0.2,0.02,2.0,0.02,9,0.35167279147775077
59713,110,0.32,0.02,0.02,0.0,0.2,9,0.14426192014894382
27848,60,1.28,0.2,0.0,0.2,0.2,7,0.35872521112330896
66398,120,0.32,0.0,0.0,2.0,0.02,9,0.2635270128517857
48946,90,1.28,0.02,0.02,0.0,0.0,7,0.13016640668166593
25322,60,0.64,0.0,0.2,0.0,0.02,9,0.11093785365484507
70527,120,1.28,0.02,0.02,0.2,2.0,7,0.34843472598675673
43290,90,0.16,0.0,0.2,0.2,0.0,7,0.13507166160918216
55201,100,0.64,2.0,0.0,2.0,0.02,15,0.2993871718724506
16637,50,0.32,0.02,0.0,0.2,0.0,13,0.13757157752794175
15307,50,0.16,0.2,0.0,0.2,0.2,13,0.3565905175685291
54583,100,0.64,0.02,2.0,0.02,0.02,11,0.18516310399587801
61953,110,0.64,0.2,0.02,0.0,0.2,9,0.1606609474113748
13635,40,1.28,0.2,0.02,0.2,2.0,15,0.3564497669254827
59553,110,0.32,0.0,2.0,0.2,2.0,11,0.29322811769009793
28975,70,0.16,0.0,0.2,0.2,2.0,7,0.3347284137094275
71647,120,1.28,2.0,2.0,0.2,2.0,7,0.3498811079838422
31416,70,0.32,0.2,0.0,0.2,0.0,3,0.13523946361501032
29695,70,0.16,0.2,0.02,0.0,0.2,5,0.15643315977107627
36739,80,0.16,0.2,0.0,0.0,0.0,9,0.091131758788924
65501,120,0.16,0.2,0.0,2.0,0.02,7,0.34109145724395057
19209,50,0.64,0.2,2.0,0.2,0.0,5,0.16894931984571787
2185,30,0.32,0.0,2.0,0.2,0.0,5,0.16411950950194207
2971,30,0.32,0.2,0.2,0.2,0.0,9,0.1333340742964368
36332,80,0.16,0.02,0.0,0.02,0.2,7,0.27554418065300496
47217,90,0.64,0.02,0.02,0.2,0.02,7,0.24957105852227202
44000,90,0.16,0.2,0.0,2.0,0.02,13,0.25614139127491836
33689,70,0.64,2.0,0.0,2.0,0.0,13,0.2771877097001372
44920,90,0.32,0.0,0.02,0.0,0.02,5,0.1215702695971353
22938,60,0.16,2.0,0.0,2.0,0.0,15,0.3102273193433113
28079,60,1.28,0.2,0.2,0.2,2.0,7,0.3530311248488613
10058,40,0.32,0.2,0.02,2.0,0.0,15,0.1318468280775614
46305,90,0.32,2.0,0.02,0.02,2.0,3,0.26607919459922147
41475,80,1.28,0.0,0.2,0.02,0.02,3,0.23310370777331085
50733,100,0.16,0.02,0.0,2.0,2.0,11,0.3280958157810556
34573,70,1.28,0.02,0.0,0.2,2.0,3,0.3440286223277145
42099,80,1.28,0.02,2.0,2.0,0.2,5,0.37294147914885656
55030,100,0.64,0.2,2.0,0.02,0.02,9,0.17049480862855354
10603,40,0.32,2.0,0.2,0.2,0.2,13,0.2975810821863403
40052,80,0.64,0.02,0.02,0.2,0.02,13,0.23516808150482663
18367,50,0.64,0.0,2.0,2.0,2.0,15,0.33337239931164075
20880,50,1.28,0.2,0.2,0.02,0.2,15,0.34468680666372975
19135,50,0.64,0.2,0.2,2.0,0.02,11,0.3114790557416102
17347,50,0.32,0.2,0.2,2.0,0.2,5,0.2744946321344417
40056,80,0.64,0.02,0.02,0.2,0.2,7,0.2854514889576536
41156,80,0.64,2.0,2.0,0.02,2.0,9,0.3084588818023981
51256,100,0.16,0.2,0.02,0.2,0.2,7,0.3190623832168147
26840,60,0.64,2.0,2.0,0.2,0.2,7,0.3178091014537866
13322,40,1.28,0.02,0.2,2.0,2.0,5,0.33465577646620964
39629,80,0.64,0.0,0.02,2.0,0.02,7,0.3146022576266762
39515,80,0.64,0.0,0.0,2.0,0.02,3,0.2755156049867918
6866,30,1.28,2.0,0.02,0.02,0.0,15,0.3126708560371662
60043,110,0.32,0.2,0.0,0.0,0.02,11,0.14761939567985027
13775,40,1.28,0.2,0.2,2.0,2.0,15,0.33843494008178
39800,80,0.64,0.0,2.0,0.02,0.02,13,0.16222501670813233
55742,100,1.28,0.0,0.02,0.2,2.0,5,0.343489308599115
3911,30,0.64,0.0,0.2,2.0,0.2,13,0.30179138379800396
21635,60,0.16,0.0,0.02,0.0,0.2,13,0.14261905535735195
3287,30,0.32,2.0,0.02,0.02,0.02,11,0.22507952589736735
62685,110,0.64,2.0,2.0,0.2,2.0,3,0.34341137919146114
57929,110,0.16,0.02,0.02,0.0,2.0,11,0.1664458312755894
11494,40,0.64,0.02,0.2,0.2,0.2,3,0.336679770456592
44880,90,0.32,0.0,0.0,0.2,2.0,9,0.28144065859970513
3185,30,0.32,2.0,0.0,0.02,2.0,3,0.35963101248787754
60525,110,0.32,2.0,0.0,0.02,0.2,9,0.32938747867990525
8433,40,0.16,0.2,2.0,0.02,0.0,13,0.0955581471376435
47822,90,0.64,0.2,0.2,2.0,2.0,13,0.33573606276452855
2609,30,0.32,0.02,2.0,0.02,0.0,13,0.12349160024093123
24773,60,0.32,2.0,0.02,0.0,2.0,3,0.2890163726059542
43817,90,0.16,0.02,2.0,0.0,2.0,11,0.2699494543335489
69588,120,0.64,2.0,0.02,0.02,0.02,5,0.3188784006617329
14353,50,0.16,0.0,0.0,0.0,0.2,9,0.12993302990151023
37899,80,0.32,0.0,0.2,0.02,0.2,5,0.32075805451549977
10701,40,0.32,2.0,2.0,0.2,0.0,13,0.28610002466846923
68799,120,0.64,0.02,0.2,0.02,0.0,9,0.15104948594797463
19384,50,0.64,2.0,0.02,0.0,0.02,5,0.1338782238530126
69244,120,0.64,0.2,0.2,0.02,0.0,3,0.1642027332523407
36557,80,0.16,0.02,0.2,0.02,0.2,9,0.2534275127268268
65754,120,0.16,0.2,2.0,0.0,0.02,9,0.15949680848385764
22783,60,0.16,0.2,2.0,0.02,0.2,13,0.2692567417800569
9856,40,0.32,0.2,0.0,0.0,0.0,3,0.1408223254270778
10698,40,0.32,2.0,2.0,0.2,0.0,7,0.20999726760304854
20298,50,1.28,0.02,0.02,0.0,2.0,13,0.37774671887653516
33559,70,0.64,0.2,2.0,0.2,0.2,5,0.3154929483816661
46861,90,0.64,0.0,0.2,0.02,0.2,9,0.2790242645145385
57254,100,1.28,2.0,2.0,0.0,2.0,5,0.34847695653961647
8775,40,0.16,2.0,0.2,0.02,0.02,11,0.1791012439438888
66925,120,0.32,0.02,0.02,0.2,0.0,13,0.1404216380018477
30963,70,0.32,0.02,0.0,0.02,2.0,7,0.3314168349302953
26544,60,0.64,2.0,0.02,0.0,0.0,3,0.12881460354058205
58943,110,0.16,2.0,0.2,0.02,0.0,9,0.19676487973585127
58027,110,0.16,0.02,0.2,0.0,0.02,11,0.12725270174075234
59835,110,0.32,0.02,0.2,0.0,2.0,15,0.2502729955006556
23071,60,0.16,2.0,0.02,2.0,2.0,15,0.324045625645424
4859,30,0.64,0.2,2.0,0.02,0.2,5,0.2628471672065085
47717,90,0.64,0.2,0.2,0.0,0.0,13,0.13263682409475033
51855,100,0.16,2.0,0.2,2.0,2.0,15,0.33983959488883225
31246,70,0.32,0.02,0.2,2.0,2.0,13,0.31961273457113143
111,30,0.16,0.0,0.0,2.0,2.0,15,0.3287222440855484
48966,90,1.28,0.02,0.02,0.0,2.0,5,0.36952938239701416
16797,50,0.32,0.02,0.02,2.0,2.0,11,0.3226912488986563
52036,100,0.32,0.0,0.0,0.2,0.02,13,0.1754284704560506
10403,40,0.32,2.0,0.0,2.0,0.2,5,0.3673217478086922
65222,120,0.16,0.02,0.2,0.02,0.02,9,0.16157335674195666
23601,60,0.32,0.0,0.2,0.2,2.0,11,0.3103517369057385
9374,40,0.32,0.0,2.0,0.2,2.0,5,0.27201493905028784
45902,90,0.32,0.2,0.02,2.0,0.02,9,0.19859810491941202
13597,40,1.28,0.2,0.02,0.02,0.2,9,0.3425535457121988
38367,80,0.32,0.02,0.2,0.2,0.02,3,0.23461680017833259
15354,50,0.16,0.2,0.02,0.0,0.02,9,0.12579159336648998
52124,100,0.32,0.0,0.02,0.02,0.2,7,0.2757267397233864
68003,120,0.32,2.0,2.0,0.0,0.2,13,0.285187807598009
17841,50,0.32,2.0,2.0,0.02,0.0,13,0.19514414970941896
65053,120,0.16,0.02,0.0,2.0,0.02,7,0.2247405886808929
34863,70,1.28,0.02,2.0,0.02,0.0,9,0.18909786429253334
41194,80,0.64,2.0,2.0,2.0,0.0,15,0.3107099598010745
46010,90,0.32,0.2,0.2,2.0,0.0,15,0.12458774930753588
42318,80,1.28,0.2,0.02,2.0,0.02,9,0.360081758501573
43624,90,0.16,0.02,0.02,0.2,0.0,3,0.11567586782231001
24433,60,0.32,0.2,0.2,0.0,0.2,9,0.21098146261715928
28426,60,1.28,2.0,0.02,2.0,0.0,15,0.33969567911708415
25145,60,0.64,0.0,0.0,0.2,0.0,5,0.16173253744253924
41854,80,1.28,0.02,0.02,0.2,2.0,5,0.3603224195615692
17927,50,0.64,0.0,0.0,0.0,0.02,3,0.11510343153753677
2347,30,0.32,0.02,0.0,2.0,2.0,7,0.3049520607065349
7497,40,0.16,0.0,0.2,2.0,2.0,3,0.3322319417272408
29031,70,0.16,0.0,2.0,0.0,2.0,7,0.34246743520373885
26592,60,0.64,2.0,0.02,0.02,0.2,15,0.3669614273014735
10724,40,0.32,2.0,2.0,2.0,0.0,3,0.28197823882853035
60761,110,0.32,2.0,0.2,0.2,0.0,5,0.30080669879317273
34501,70,1.28,0.02,0.0,0.0,0.0,13,0.18246656607416997
60903,110,0.32,2.0,2.0,2.0,0.0,9,0.39879880152795166
29838,70,0.16,0.2,0.2,0.02,0.2,11,0.30004374386632227
8767,40,0.16,2.0,0.2,0.02,0.0,9,0.22096544896182774
38469,80,0.32,0.02,2.0,0.02,2.0,11,0.27707334474258305
16946,50,0.32,0.02,2.0,0.02,0.0,15,0.14608001504187226
40189,80,0.64,0.02,0.2,2.0,0.02,7,0.3621520056226189
5734,30,1.28,0.0,2.0,0.0,2.0,5,0.3530958743699206
27703,60,1.28,0.02,2.0,0.02,0.02,11,0.2476193390516599
37620,80,0.16,2.0,2.0,2.0,0.2,7,0.30749874968959157
3645,30,0.64,0.0,0.0,0.2,0.0,13,0.18808087601448986
50364,100,0.16,0.0,0.02,0.2,0.2,15,0.3752356204017152
22464,60,0.16,0.2,0.0,0.2,0.02,5,0.19289118476076159
68030,120,0.32,2.0,2.0,0.02,0.2,11,0.3298810897149828
48700,90,1.28,0.0,0.2,2.0,0.02,5,0.33371743275026206
42350,80,1.28,0.2,0.2,0.0,0.2,3,0.292952088923569
11942,40,0.64,0.2,0.2,0.2,0.2,3,0.4073777316595849
67851,120,0.32,2.0,0.02,2.0,0.02,3,0.31497265244642786
25237,60,0.64,0.0,0.02,0.02,0.02,7,0.19502881975282793
6848,30,1.28,2.0,0.02,0.0,0.2,7,0.31176968946002903
67089,120,0.32,0.02,2.0,0.0,0.0,5,0.1432086497243254
34202,70,1.28,0.0,0.02,0.02,0.2,3,0.37065558779670865
65801,120,0.16,0.2,2.0,0.2,0.0,5,0.11198235148270902
59589,110,0.32,0.02,0.0,0.0,0.0,13,0.10104987022690554
33828,70,0.64,2.0,0.2,0.0,0.0,11,0.1460981110723646
10948,40,0.64,0.0,0.02,2.0,0.0,3,0.1671549439676153
70175,120,1.28,0.0,0.2,0.2,0.02,3,0.30057655053955873
28649,60,1.28,2.0,2.0,2.0,0.0,13,0.35410191711432326
45560,90,0.32,0.02,0.2,2.0,0.0,11,0.11418867649677986
4652,30,0.64,0.2,0.02,0.2,0.0,11,0.12064135058116507
48580,90,1.28,0.0,0.02,2.0,0.0,3,0.12813171504103765
7300,40,0.16,0.0,0.02,0.0,0.2,15,0.16723992646703797
3043,30,0.32,0.2,2.0,0.0,0.2,13,0.30892026513516985
21320,50,1.28,2.0,0.2,0.02,0.02,13,0.3637273241923056
20560,50,1.28,0.02,2.0,0.2,0.02,5,0.28040447393996965
38764,80,0.32,0.2,0.2,0.0,0.02,13,0.1127582855609525
33747,70,0.64,2.0,0.02,0.02,0.02,3,0.28766632040577744
66309,120,0.32,0.0,0.0,0.0,0.0,13,0.15460549816152994
50052,90,1.28,2.0,0.2,2.0,0.2,7,0.32888220465986806
63676,110,1.28,0.2,0.0,0.2,0.0,11,0.1776183378433311
66109,120,0.16,2.0,0.2,0.02,0.0,5,0.1601237590113248
56742,100,1.28,0.2,0.2,0.2,0.2,3,0.37369584152321433
23084,60,0.16,2.0,0.2,0.0,0.02,13,0.1424964558924406
53909,100,0.64,0.0,0.02,0.02,0.02,7,0.22914195121445358
45850,90,0.32,0.2,0.02,0.02,0.2,3,0.3582028489645992
45392,90,0.32,0.02,0.02,0.02,0.0,11,0.14510691439577464
10334,40,0.32,2.0,0.0,0.02,0.0,7,0.19982221825737806
