,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
44049,90,0.16,0.2,0.02,0.02,0.0,13,0.14446919829542132
24603,60,0.32,0.2,2.0,0.2,0.2,13,0.30180472046737333
24617,60,0.32,0.2,2.0,2.0,0.0,13,0.129591955627189
27578,60,1.28,0.02,0.2,0.0,2.0,13,0.3915021648854541
66902,120,0.32,0.02,0.02,0.02,0.02,9,0.236426010860915
68656,120,0.64,0.02,0.02,0.0,0.0,3,0.13424090219474255
56070,100,1.28,0.02,0.0,0.2,0.2,3,0.4360704371743829
42635,80,1.28,2.0,0.0,0.2,0.2,13,0.4351814991047697
28878,70,0.16,0.0,0.02,2.0,0.02,9,0.25196348060790696
4721,30,0.64,0.2,0.2,0.0,0.2,9,0.1939707728177682
62813,110,1.28,0.0,0.0,2.0,0.02,7,0.37526510282950043
53597,100,0.32,2.0,0.2,0.2,0.0,13,0.3432121267513336
65731,120,0.16,0.2,0.2,2.0,0.2,5,0.3617837148058356
59214,110,0.32,0.0,0.0,0.2,2.0,5,0.3476689998805034
22994,60,0.16,2.0,0.02,0.02,0.0,15,0.1723631793331946
50297,100,0.16,0.0,0.02,0.0,0.02,7,0.15913487916696115
20409,50,1.28,0.02,0.2,0.0,2.0,11,0.4347787699045713
25198,60,0.64,0.0,0.0,2.0,2.0,13,0.388354136398882
68306,120,0.64,0.0,0.02,2.0,0.2,3,0.3033090881673577
55513,100,0.64,2.0,2.0,0.2,0.2,9,0.42409977143421096
47574,90,0.64,0.2,0.0,2.0,0.0,7,0.17758898619082042
51785,100,0.16,2.0,0.2,0.02,0.02,15,0.19307090379786904
70642,120,1.28,0.02,0.2,0.2,2.0,13,0.4170659003299733
1090,30,0.16,0.2,0.02,0.2,2.0,13,0.3858926918619565
1847,30,0.32,0.0,0.0,0.02,2.0,15,0.4543016367223726
47046,90,0.64,0.02,0.0,0.0,0.0,15,0.16009233361764924
66116,120,0.16,2.0,0.2,0.02,0.02,5,0.19834730132039638
58018,110,0.16,0.02,0.2,0.0,0.0,7,0.15566727993067703
22828,60,0.16,0.2,2.0,2.0,0.02,5,0.3531158202617679
56208,100,1.28,0.02,0.02,2.0,0.02,13,0.4112442819520144
69728,120,0.64,2.0,0.2,0.2,0.02,5,0.196890040449131
36955,80,0.16,0.2,0.02,2.0,2.0,7,0.39032568146528124
54157,100,0.64,0.0,2.0,0.2,0.0,13,0.15278936533135534
49145,90,1.28,0.02,0.2,2.0,0.0,13,0.2672682330008318
55619,100,1.28,0.0,0.0,0.2,0.02,11,0.2873072331656765
23238,60,0.16,2.0,2.0,0.02,2.0,13,0.4115436491489177
22104,60,0.16,0.02,0.02,0.02,0.02,13,0.15353031296219635
2985,30,0.32,0.2,0.2,0.2,0.2,9,0.471501800929771
42174,80,1.28,0.2,0.0,0.2,0.0,15,0.21347744909951716
4516,30,0.64,0.2,0.0,0.02,0.02,5,0.16594996065833897
23103,60,0.16,2.0,0.2,0.02,0.0,9,0.18605798274829058
