,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
7563,40,0.16,0.0,2.0,0.2,0.0,9,0.17203470410469376
4776,30,0.64,0.2,0.2,0.2,0.2,7,0.28652492732543233
33806,70,0.64,2.0,0.02,2.0,0.02,9,0.39633243796000284
44813,90,0.32,0.0,0.0,0.0,0.02,15,0.11948549177073908
54048,100,0.64,0.0,0.2,0.2,0.02,5,0.31743296520529246
50841,100,0.16,0.02,0.02,2.0,2.0,3,0.3702485413508884
69596,120,0.64,2.0,0.02,0.02,0.2,7,0.3376480301548034
3237,30,0.32,2.0,0.0,2.0,0.2,9,0.3397879552014864
19410,50,0.64,2.0,0.02,0.02,0.0,15,0.319011494377516
66360,120,0.32,0.0,0.0,0.2,0.0,3,0.13188893588467596
53933,100,0.64,0.0,0.02,0.2,0.0,13,0.14785128341738193
59283,110,0.32,0.0,0.02,0.02,0.02,3,0.18715072492293572
69799,120,0.64,2.0,2.0,0.0,2.0,7,0.3544240840571541
24777,60,0.32,2.0,0.02,0.0,2.0,11,0.4012777278147481
27546,60,1.28,0.02,0.02,2.0,2.0,5,0.3717487040843128
49058,90,1.28,0.02,0.2,0.0,0.0,7,0.12950599649076405
37382,80,0.16,2.0,0.02,2.0,0.0,7,0.3442398885652692
52858,100,0.32,0.02,2.0,2.0,2.0,5,0.361663830898627
48208,90,0.64,2.0,0.2,0.02,0.2,15,0.3345028551953183
9271,40,0.32,0.0,0.2,2.0,0.0,9,0.144258839659363
39433,80,0.64,0.0,0.0,0.0,0.02,7,0.13858783170971967
16286,50,0.32,0.0,0.02,0.02,0.2,11,0.3989974837305883
9792,40,0.32,0.02,2.0,0.02,0.2,15,0.28700556861679294
2392,30,0.32,0.02,0.02,0.02,0.02,13,0.17235054483540563
6191,30,1.28,0.02,2.0,0.02,0.0,9,0.18129785161143
12403,40,0.64,2.0,0.2,0.2,2.0,15,0.3483791081261927
37085,80,0.16,0.2,2.0,0.0,0.02,15,0.1455359489351838
44586,90,0.16,2.0,0.2,0.0,0.02,9,0.13286980643176768
33164,70,0.64,0.2,0.0,0.0,0.02,13,0.15119606175211547
49690,90,1.28,0.2,2.0,0.2,0.2,11,0.3692980191851858
278,30,0.16,0.0,0.2,0.02,2.0,13,0.36232536082227723
13152,40,1.28,0.02,0.02,0.02,0.2,15,0.37746637055460275
69963,120,1.28,0.0,0.0,0.2,0.2,13,0.34805050304789414
35932,80,0.16,0.0,0.0,2.0,0.02,5,0.2539577351768699
9469,40,0.32,0.02,0.0,0.2,0.0,13,0.14940093861065373
2496,30,0.32,0.02,0.2,0.02,0.0,11,0.21669003370919065
1068,30,0.16,0.2,0.02,0.2,0.0,11,0.19860877325912382
40246,80,0.64,0.02,2.0,0.02,0.02,9,0.2052546245245982
54119,100,0.64,0.0,2.0,0.0,2.0,7,0.3510693355519195
17350,50,0.32,0.2,0.2,2.0,0.2,11,0.34927960690063997
25912,60,0.64,0.02,2.0,0.02,0.02,13,0.21772763926851454
3046,30,0.32,0.2,2.0,0.0,2.0,5,0.36925224963818437
43915,90,0.16,0.2,0.0,0.0,0.02,11,0.13017997177507262
23053,60,0.16,2.0,0.02,2.0,0.02,7,0.3871527279308371
29938,70,0.16,0.2,2.0,0.02,0.0,15,0.17063934478314458
30218,70,0.16,2.0,0.02,2.0,0.0,15,0.3387697848615181
9479,40,0.32,0.02,0.0,0.2,0.2,5,0.3274415988141341
13591,40,1.28,0.2,0.02,0.02,0.02,11,0.34747130364727136
66860,120,0.32,0.02,0.0,2.0,2.0,9,0.34868560734372794
62662,110,0.64,2.0,2.0,0.02,2.0,13,0.3528119046325492
25929,60,0.64,0.02,2.0,0.2,0.0,5,0.21687035283845293
12164,40,0.64,2.0,0.0,0.2,0.02,13,0.32562259376513364
27146,60,1.28,0.0,0.2,0.02,0.2,3,0.36575055735538575
49380,90,1.28,0.2,0.0,2.0,0.2,7,0.36406308157772616
50899,100,0.16,0.02,0.2,0.02,2.0,7,0.41528788292927576
10186,40,0.32,0.2,0.2,2.0,2.0,5,0.36109640865011444
53922,100,0.64,0.0,0.02,0.02,2.0,5,0.38589814168804726
62091,110,0.64,0.2,0.2,0.02,0.2,5,0.37968216871817456
3640,30,0.64,0.0,0.0,0.2,0.0,3,0.1951841709644499
26165,60,0.64,0.2,0.02,0.2,0.02,15,0.3152933900955033
61135,110,0.64,0.0,0.02,2.0,0.02,11,0.41812957735496914
53903,100,0.64,0.0,0.02,0.02,0.0,9,0.18001380735143702
29902,70,0.16,0.2,0.2,2.0,2.0,13,0.3525842286961711
63458,110,1.28,0.02,0.2,0.2,0.02,9,0.3369581325910402
28864,70,0.16,0.0,0.02,0.2,2.0,9,0.35381642150835546
41023,80,0.64,2.0,0.2,0.02,0.0,9,0.28780694304373755
35432,70,1.28,2.0,0.0,0.02,0.02,13,0.3501636713196698
65108,120,0.16,0.02,0.02,0.02,0.02,5,0.18392273183949948
33598,70,0.64,0.2,2.0,2.0,2.0,13,0.35883315074162264
14057,40,1.28,2.0,0.02,0.2,0.0,5,0.31556371181575804
32503,70,0.64,0.0,0.2,0.0,2.0,7,0.33546161236515754
62239,110,0.64,0.2,2.0,0.2,2.0,7,0.35406905978311354
37194,80,0.16,2.0,0.0,0.0,0.02,9,0.1305829071012173
33733,70,0.64,2.0,0.02,0.0,2.0,3,0.27972944939462335
28559,60,1.28,2.0,0.2,2.0,2.0,15,0.3683667819404677
8658,40,0.16,2.0,0.02,0.02,0.0,15,0.24139610931931865
48500,90,1.28,0.0,0.02,0.0,0.0,11,0.13839788002712652
50930,100,0.16,0.02,0.2,0.2,2.0,13,0.3490988841839256
35862,80,0.16,0.0,0.0,0.0,2.0,5,0.24401283035955898
63046,110,1.28,0.0,0.2,2.0,0.2,11,0.3520013308950597
31764,70,0.32,0.2,2.0,0.2,0.02,13,0.3219379493983323
45936,90,0.32,0.2,0.2,0.0,0.2,7,0.16344568289668973
37896,80,0.32,0.0,0.2,0.02,0.02,13,0.20829381572692818
53556,100,0.32,2.0,0.2,0.0,0.2,15,0.1709154149246454
34795,70,1.28,0.02,0.2,0.2,0.2,13,0.36885236739333205
54225,100,0.64,0.02,0.0,0.0,0.2,9,0.19888227367430655
37023,80,0.16,0.2,0.2,0.2,0.02,3,0.21382084253075662
44901,90,0.32,0.0,0.0,2.0,0.2,9,0.31379237149920036
71589,120,1.28,2.0,2.0,0.0,2.0,3,0.3744759441823365
51070,100,0.16,0.02,2.0,2.0,2.0,13,0.3574355841334383
49689,90,1.28,0.2,2.0,0.2,0.2,9,0.38762925696491457
3688,30,0.64,0.0,0.0,2.0,0.2,15,0.35377968874633425
69264,120,0.64,0.2,0.2,0.02,0.2,15,0.3748734544058264
24538,60,0.32,0.2,2.0,0.0,0.02,9,0.1547975399452801
62313,110,0.64,2.0,0.0,0.02,0.02,15,0.2894781409876479
20447,50,1.28,0.02,0.2,0.2,0.02,3,0.35435176390865836
61288,110,0.64,0.0,2.0,0.0,2.0,9,0.3545639626824363
58783,110,0.16,2.0,0.0,2.0,0.02,11,0.34136089119959084
36649,80,0.16,0.02,2.0,0.0,2.0,11,0.42466455686525156
40058,80,0.64,0.02,0.02,0.2,0.2,11,0.41014292958763593
8706,40,0.16,2.0,0.02,0.2,2.0,13,0.35675370616649715
12556,40,1.28,0.0,0.0,0.0,0.02,13,0.21610691776297156
58686,110,0.16,0.2,2.0,2.0,2.0,13,0.354086019596842
28889,70,0.16,0.0,0.02,2.0,2.0,3,0.3552817243799926
33502,70,0.64,0.2,2.0,0.0,0.2,3,0.3094204254492413
14719,50,0.16,0.0,2.0,0.02,0.2,13,0.3203202521814732
22501,60,0.16,0.2,0.0,2.0,0.2,9,0.3573547918808044
21734,60,0.16,0.0,0.2,0.0,0.0,15,0.15357109507468167
7917,40,0.16,0.02,0.2,0.2,2.0,3,0.3541946748349564
68456,120,0.64,0.0,2.0,0.0,2.0,9,0.3425169737905841
38509,80,0.32,0.02,2.0,2.0,0.02,7,0.28377979727902336
49865,90,1.28,2.0,0.02,0.0,2.0,11,0.3805460221843225
35775,70,1.28,2.0,2.0,0.02,0.2,13,0.38401510799962196
32580,70,0.64,0.0,0.2,2.0,0.2,7,0.36547169186736334
66064,120,0.16,2.0,0.02,2.0,0.02,13,0.3468469186659659
18655,50,0.64,0.02,0.2,0.2,0.02,3,0.24048898022440535
33575,70,0.64,0.2,2.0,2.0,0.0,9,0.15654779322584006
6046,30,1.28,0.02,0.02,2.0,2.0,13,0.3556778516621865
8942,40,0.16,2.0,2.0,2.0,0.02,9,0.3771311764520781
34507,70,1.28,0.02,0.0,0.0,0.02,11,0.1571158843593084
49547,90,1.28,0.2,0.2,0.02,0.2,5,0.3885199850946624
44836,90,0.32,0.0,0.0,0.02,0.02,5,0.18612547218649822
11408,40,0.64,0.02,0.02,2.0,0.02,13,0.3175429319562792
32685,70,0.64,0.0,2.0,2.0,0.02,7,0.2986839835358023
61679,110,0.64,0.02,0.2,0.2,2.0,7,0.37080871413777655
39751,80,0.64,0.0,0.2,2.0,0.2,13,0.3832457335888387
46546,90,0.32,2.0,2.0,0.2,0.02,9,0.28564186194458563
19767,50,1.28,0.0,0.0,0.02,2.0,15,0.37061725523835304
10713,40,0.32,2.0,2.0,0.2,0.2,9,0.3211222354308451
868,30,0.16,0.02,2.0,2.0,0.0,3,0.15482386244332366
43296,90,0.16,0.0,0.2,0.2,0.02,5,0.1640129045208566
43230,90,0.16,0.0,0.02,2.0,2.0,13,0.3468930772842183
39758,80,0.64,0.0,0.2,2.0,2.0,13,0.34806145834127494
16878,50,0.32,0.02,0.2,0.2,2.0,5,0.373949788296978
34556,70,1.28,0.02,0.0,0.2,0.0,11,0.1443592410749854
6742,30,1.28,2.0,0.0,0.0,2.0,5,0.3723102347358516
35170,70,1.28,0.2,0.2,0.0,0.0,7,0.180445757871404
51635,100,0.16,2.0,0.02,0.0,0.0,9,0.1174126447425661
37737,80,0.32,0.0,0.0,2.0,2.0,3,0.3603478240117282
54637,100,0.64,0.02,2.0,2.0,0.02,7,0.30952665174671273
62232,110,0.64,0.2,2.0,0.2,0.2,7,0.386942505572358
2765,30,0.32,0.2,0.0,0.2,2.0,3,0.375904629155016
20848,50,1.28,0.2,0.2,0.0,0.2,7,0.3047537832024823
1173,30,0.16,0.2,0.2,0.02,2.0,11,0.3986923985508773
59456,110,0.32,0.0,0.2,2.0,0.02,13,0.31117327675332584
33091,70,0.64,0.02,2.0,0.02,2.0,7,0.36878105656544996
59646,110,0.32,0.02,0.0,0.2,0.0,15,0.1675143662786727
24007,60,0.32,0.02,0.2,0.02,0.02,11,0.2003930805843615
11842,40,0.64,0.2,0.02,0.2,2.0,13,0.36240686879129713
61730,110,0.64,0.02,2.0,0.0,0.2,11,0.4001211926267253
47957,90,0.64,2.0,0.0,0.0,2.0,3,0.3431425992064635
11134,40,0.64,0.0,2.0,0.02,0.2,11,0.34461627096291186
11570,40,0.64,0.02,2.0,0.02,0.0,15,0.15707268586414924
