,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
36574,80,0.16,0.02,0.2,0.2,0.0,15,0.1617930230554962
59329,110,0.32,0.0,0.02,0.2,2.0,11,0.3218270723557687
71082,120,1.28,0.2,0.2,0.2,0.2,11,0.4075070257044071
62762,110,1.28,0.0,0.0,0.02,0.2,3,0.3739607233140521
26458,60,0.64,2.0,0.0,0.0,2.0,13,0.32437552907228134
60880,110,0.32,2.0,2.0,0.2,0.02,5,0.29590501843687644
17316,50,0.32,0.2,0.2,0.2,0.02,13,0.2448132300173993
70736,120,1.28,0.02,2.0,0.2,0.02,5,0.37632094328874616
64760,120,0.16,0.0,0.2,0.0,2.0,9,0.20912828068106337
62497,110,0.64,2.0,0.2,0.0,0.0,5,0.17411504758770444
15883,50,0.16,2.0,0.02,2.0,0.02,3,0.36300373338427866
9424,40,0.32,0.02,0.0,0.0,0.2,7,0.17646595898759945
45726,90,0.32,0.2,0.0,0.02,0.0,7,0.14635763380415184
63107,110,1.28,0.0,2.0,0.02,2.0,7,0.3445377212759048
10306,40,0.32,2.0,0.0,0.0,0.0,7,0.15171828578390797
4757,30,0.64,0.2,0.2,0.02,2.0,11,0.3707824102198043
33091,70,0.64,0.02,2.0,0.02,2.0,7,0.336935602212941
40781,80,0.64,2.0,0.0,0.0,0.02,15,0.23789266138723256
28217,60,1.28,0.2,2.0,2.0,2.0,3,0.3462447781982424
68344,120,0.64,0.0,0.2,0.0,2.0,9,0.37778623773069525
35991,80,0.16,0.0,0.02,0.02,0.02,11,0.15958765673153025
14219,40,1.28,2.0,0.2,2.0,2.0,7,0.34231388571207033
8197,40,0.16,0.2,0.02,0.0,2.0,3,0.20943802167369885
48663,90,1.28,0.0,0.2,0.02,2.0,15,0.36124885364961035
24681,60,0.32,2.0,0.0,0.02,0.02,15,0.22915283397372013
46123,90,0.32,0.2,2.0,2.0,0.02,3,0.275772856129361
35642,70,1.28,2.0,0.2,0.0,2.0,13,0.34810528207906033
20719,50,1.28,0.2,0.0,2.0,2.0,15,0.34071922659117604
9009,40,0.32,0.0,0.0,0.02,2.0,3,0.3087158782467181
69039,120,0.64,0.2,0.0,0.02,0.2,13,0.3416182665305206
63120,110,1.28,0.0,2.0,0.2,0.02,5,0.3627620983992544
14097,40,1.28,2.0,0.02,2.0,0.02,15,0.386667986153945
59627,110,0.32,0.02,0.0,0.02,0.2,5,0.35110362549884716
39127,80,0.32,2.0,0.02,0.02,0.02,11,0.23500100287300066
43983,90,0.16,0.2,0.0,0.2,2.0,7,0.3478323415779147
64030,110,1.28,0.2,2.0,0.2,2.0,5,0.34445970606146203
21568,60,0.16,0.0,0.0,0.2,0.02,5,0.17966173422961362
48844,90,1.28,0.02,0.0,0.0,0.02,13,0.18552812393850365
55126,100,0.64,2.0,0.0,0.0,2.0,5,0.32708577343577666
3640,30,0.64,0.0,0.0,0.2,0.0,3,0.15832848046811013
8752,40,0.16,2.0,0.2,0.0,0.2,7,0.1880678520853296
45359,90,0.32,0.02,0.0,2.0,2.0,15,0.3485948871713727
25203,60,0.64,0.0,0.02,0.0,0.0,9,0.11072046113141272
54361,100,0.64,0.02,0.02,0.02,0.02,15,0.23944606671547808
8304,40,0.16,0.2,0.2,0.0,0.2,7,0.21480336087452045
1750,30,0.16,2.0,2.0,0.2,0.2,3,0.33544059906537266
50622,100,0.16,0.0,2.0,2.0,2.0,13,0.34610829787515207
763,30,0.16,0.02,0.2,2.0,0.02,3,0.20583976391188857
969,30,0.16,0.2,0.0,0.2,0.2,9,0.25443452567704156
65978,120,0.16,2.0,0.02,0.0,0.02,9,0.12147037451831236
53167,100,0.32,0.2,0.2,0.2,2.0,7,0.312616284313922
