,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
67100,120,0.32,0.02,2.0,0.0,0.02,13,0.19555081616430733
33277,70,0.64,0.2,0.02,0.0,0.02,15,0.1727350064148494
27527,60,1.28,0.02,0.02,2.0,0.0,9,0.16639960455168096
17027,50,0.32,0.2,0.0,0.0,0.0,9,0.17006091746931068
35718,70,1.28,2.0,0.2,2.0,0.2,11,0.3389982589394422
46118,90,0.32,0.2,2.0,2.0,0.0,7,0.20182512197723282
23156,60,0.16,2.0,0.2,2.0,0.0,3,0.28312283348012307
43500,90,0.16,0.02,0.0,0.02,0.2,7,0.2640655878145868
13833,40,1.28,0.2,2.0,0.2,0.0,5,0.20949347099782817
52116,100,0.32,0.0,0.02,0.02,0.02,5,0.22557752123218436
11769,40,0.64,0.2,0.02,0.0,0.02,7,0.18099440126726868
71288,120,1.28,2.0,0.0,0.2,0.0,3,0.3219576611862364
30790,70,0.32,0.0,0.2,2.0,0.2,11,0.36549147664560877
19192,50,0.64,0.2,2.0,0.02,0.02,13,0.23994409581411663
29906,70,0.16,0.2,2.0,0.0,0.0,7,0.19083177204749824
31746,70,0.32,0.2,2.0,0.02,2.0,5,0.3086924576913745
31108,70,0.32,0.02,0.02,2.0,0.0,3,0.14395213090440317
616,30,0.16,0.02,0.02,0.2,0.0,3,0.19542456659158047
18800,50,0.64,0.02,2.0,2.0,0.02,13,0.34752940875417276
58300,110,0.16,0.2,0.0,0.2,0.0,11,0.1602308555640667
33237,70,0.64,0.2,0.0,2.0,0.0,5,0.20026495258034455
59752,110,0.32,0.02,0.02,0.2,0.0,3,0.16511795976775112
38599,80,0.32,0.2,0.0,0.2,0.2,5,0.26557722621004975
40,30,0.16,0.0,0.0,0.02,0.02,13,0.21062441174311905
7781,40,0.16,0.02,0.02,0.02,2.0,11,0.2649043572193134
6439,30,1.28,0.2,0.02,0.02,2.0,15,0.34483382574409494
7302,40,0.16,0.0,0.02,0.0,2.0,5,0.20338928984251348
35057,70,1.28,0.2,0.02,0.0,0.0,5,0.19298431852863596
68066,120,0.32,2.0,2.0,0.2,2.0,13,0.2836045310288614
57143,100,1.28,2.0,0.2,0.0,2.0,7,0.3417944274753076
55976,100,1.28,0.0,2.0,2.0,0.0,11,0.2686739159470273
62411,110,0.64,2.0,0.02,0.0,2.0,15,0.36294114866206756
51394,100,0.16,0.2,0.2,2.0,0.2,3,0.3193041977512003
57593,110,0.16,0.0,0.2,0.0,2.0,11,0.26093626676012505
69263,120,0.64,0.2,0.2,0.02,0.2,13,0.3469392865403198
7552,40,0.16,0.0,2.0,0.02,0.2,15,0.24656026496538394
65509,120,0.16,0.2,0.0,2.0,0.2,9,0.2915471119618878
66673,120,0.32,0.0,2.0,0.02,0.0,13,0.23541057445210192
37625,80,0.16,2.0,2.0,2.0,2.0,3,0.2866748599860922
5511,30,1.28,0.0,0.02,0.0,2.0,7,0.347000478778853
42043,80,1.28,0.02,2.0,0.02,0.2,5,0.33183276024373326
13355,40,1.28,0.02,2.0,0.0,2.0,15,0.30499450555824714
25175,60,0.64,0.0,0.0,2.0,0.0,9,0.16653175958421426
34549,70,1.28,0.02,0.0,0.02,2.0,11,0.31791759497369415
1063,30,0.16,0.2,0.02,0.02,2.0,15,0.313444316050765
29445,70,0.16,0.02,0.2,2.0,0.2,9,0.27403994049495856
33305,70,0.64,0.2,0.02,0.02,0.02,15,0.22352559676568118
70902,120,1.28,0.2,0.02,0.0,0.0,15,0.16499449936162425
13497,40,1.28,0.2,0.0,0.2,0.0,5,0.20415374896195096
66476,120,0.32,0.0,0.02,0.2,0.0,11,0.17632810154504622
44238,90,0.16,0.2,0.2,2.0,2.0,13,0.2863121551366983
51717,100,0.16,2.0,0.02,2.0,0.0,5,0.3434241542775829
39390,80,0.32,2.0,2.0,0.2,2.0,5,0.2717153401970303
56706,100,1.28,0.2,0.2,0.02,0.0,15,0.2035555168594368
54310,100,0.64,0.02,0.0,2.0,0.2,11,0.34987606099857405
44834,90,0.32,0.0,0.0,0.02,0.0,15,0.19360739457927884
39391,80,0.32,2.0,2.0,0.2,2.0,7,0.2643269143328832
62497,110,0.64,2.0,0.2,0.0,0.0,5,0.19256306413836266
30626,70,0.32,0.0,0.02,0.02,2.0,5,0.3334561709899898
12735,40,1.28,0.0,0.02,0.2,2.0,7,0.3053645626470773
58019,110,0.16,0.02,0.2,0.0,0.0,9,0.20869071922690569
27878,60,1.28,0.2,0.0,2.0,0.2,11,0.30761992120349957
44158,90,0.16,0.2,0.2,0.02,0.0,7,0.1891430874207816
55723,100,1.28,0.0,0.02,0.2,0.0,9,0.14889223319757622
49449,90,1.28,0.2,0.02,0.2,0.0,5,0.20790467144651706
5781,30,1.28,0.0,2.0,0.2,0.02,15,0.2707568898610022
46873,90,0.64,0.0,0.2,0.2,0.0,5,0.22377612797702992
26131,60,0.64,0.2,0.02,0.02,0.02,3,0.26006808758764743
18492,50,0.64,0.02,0.02,0.0,0.02,13,0.1910107620219033
18090,50,0.64,0.0,0.02,0.2,0.0,7,0.17591286312518373
24654,60,0.32,2.0,0.0,0.0,0.2,3,0.15247141650423884
67364,120,0.32,0.2,0.02,0.02,2.0,9,0.3237947633621231
22910,60,0.16,2.0,0.0,0.2,0.0,15,0.21011449704279092
