,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,n_neighbors,AUPR
23520,60,0.32,0.0,0.2,0.0,0.0,3,0.1470797322345224
45647,90,0.32,0.02,2.0,0.2,0.02,3,0.2855345191689718
26662,60,0.64,2.0,0.2,0.0,0.0,15,0.21834841743615832
24867,60,0.32,2.0,0.2,0.0,0.0,9,0.2609095471460842
63543,110,1.28,0.02,2.0,0.02,0.02,11,0.32965433331413424
18438,50,0.64,0.02,0.0,0.2,0.2,3,0.343449713240245
47116,90,0.64,0.02,0.0,0.2,0.2,15,0.2797469543387084
4181,30,0.64,0.02,0.02,0.02,0.02,7,0.169621785856291
19868,50,1.28,0.0,0.02,0.02,0.2,7,0.3965568368846927
56267,100,1.28,0.02,0.2,0.02,0.2,5,0.36644383926684526
25923,60,0.64,0.02,2.0,0.02,2.0,7,0.356994496900712
56265,100,1.28,0.02,0.2,0.02,0.02,15,0.3084447649184672
25231,60,0.64,0.0,0.02,0.02,0.0,9,0.2340164296794947
63826,110,1.28,0.2,0.02,2.0,0.2,3,0.34229885904166135
25379,60,0.64,0.0,0.2,0.2,0.02,11,0.2785101367269156
40084,80,0.64,0.02,0.02,2.0,0.2,7,0.3322636761405688
12331,40,0.64,2.0,0.2,0.0,0.02,11,0.15553765712458217
46355,90,0.32,2.0,0.02,2.0,0.2,5,0.2988420933038044
9676,40,0.32,0.02,0.2,0.02,0.2,7,0.27545799316192215
30543,70,0.32,0.0,0.0,0.2,2.0,7,0.3130246583398254
20625,50,1.28,0.2,0.0,0.0,0.2,9,0.25176855878212534
63707,110,1.28,0.2,0.0,2.0,0.02,3,0.34877661717458
55420,100,0.64,2.0,0.2,2.0,0.02,5,0.32988661990099705
11965,40,0.64,0.2,0.2,2.0,0.02,7,0.28084587954215445
54424,100,0.64,0.02,0.02,2.0,0.2,15,0.3317462790431894
1340,30,0.16,0.2,2.0,2.0,2.0,9,0.3412037572993968
16578,50,0.32,0.02,0.0,0.0,0.0,7,0.1164439933434053
69351,120,0.64,0.2,2.0,0.0,2.0,7,0.34848917680456926
60972,110,0.64,0.0,0.0,0.02,0.2,7,0.2628508393260995
41702,80,1.28,0.02,0.0,0.02,0.02,9,0.3019468315076364
16393,50,0.32,0.0,0.2,0.02,0.02,15,0.18635583229173097
65775,120,0.16,0.2,2.0,0.02,0.0,9,0.13522719765296912
18154,50,0.64,0.0,0.2,0.0,0.02,9,0.16149028827829248
37059,80,0.16,0.2,0.2,2.0,0.2,5,0.34674510698365546
