,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,445.58967707359056
1,10.0,0.16,0.0,0.0,0.0,0.02,449.05612370730034
2,10.0,0.16,0.0,0.0,0.0,0.2,439.3614511430114
3,10.0,0.16,0.0,0.0,0.0,2.0,438.99181639591836
4,10.0,0.16,0.0,0.0,0.02,0.0,445.21835948277914
5,10.0,0.16,0.0,0.0,0.02,0.02,448.3105756573416
6,10.0,0.16,0.0,0.0,0.02,0.2,435.44968369556364
7,10.0,0.16,0.0,0.0,0.02,2.0,426.3642997809304
8,10.0,0.16,0.0,0.0,0.2,0.0,443.3465221815477
9,10.0,0.16,0.0,0.0,0.2,0.02,449.2067190443133
10,10.0,0.16,0.0,0.0,0.2,0.2,430.19964231971085
11,10.0,0.16,0.0,0.0,0.2,2.0,436.9569402455021
12,10.0,0.16,0.0,0.0,2.0,0.0,435.27303109990163
13,10.0,0.16,0.0,0.0,2.0,0.02,453.3996118308774
14,10.0,0.16,0.0,0.0,2.0,0.2,448.22082232070017
15,10.0,0.16,0.0,0.0,2.0,2.0,447.6610953082825
16,10.0,0.16,0.0,0.02,0.0,0.0,432.66835886637733
17,10.0,0.16,0.0,0.02,0.0,0.02,437.64756611816915
18,10.0,0.16,0.0,0.02,0.0,0.2,428.56336840288077
19,10.0,0.16,0.0,0.02,0.0,2.0,433.7757787115605
20,10.0,0.16,0.0,0.02,0.02,0.0,442.5570144531328
21,10.0,0.16,0.0,0.02,0.02,0.02,434.81904595211154
22,10.0,0.16,0.0,0.02,0.02,0.2,466.3086271523114
23,10.0,0.16,0.0,0.02,0.02,2.0,450.1419441609733
24,10.0,0.16,0.0,0.02,0.2,0.0,435.2517280034602
25,10.0,0.16,0.0,0.02,0.2,0.02,443.63983725661797
26,10.0,0.16,0.0,0.02,0.2,0.2,455.3533550735865
27,10.0,0.16,0.0,0.02,0.2,2.0,434.5850547285564
28,10.0,0.16,0.0,0.02,2.0,0.0,458.0986607109342
29,10.0,0.16,0.0,0.02,2.0,0.02,434.02815926575516
30,10.0,0.16,0.0,0.02,2.0,0.2,452.6409590903901
31,10.0,0.16,0.0,0.02,2.0,2.0,435.6997656983216
32,10.0,0.16,0.0,0.2,0.0,0.0,450.5071104997097
33,10.0,0.16,0.0,0.2,0.0,0.02,446.9240118702484
34,10.0,0.16,0.0,0.2,0.0,0.2,450.12926152652335
35,10.0,0.16,0.0,0.2,0.0,2.0,442.774603404808
36,10.0,0.16,0.0,0.2,0.02,0.0,445.957306664684
37,10.0,0.16,0.0,0.2,0.02,0.02,462.1017739632166
38,10.0,0.16,0.0,0.2,0.02,0.2,435.35322137405996
39,10.0,0.16,0.0,0.2,0.02,2.0,451.0970536858149
40,10.0,0.16,0.0,0.2,0.2,0.0,433.8998199184442
41,10.0,0.16,0.0,0.2,0.2,0.02,441.394342736405
42,10.0,0.16,0.0,0.2,0.2,0.2,437.62715051239405
43,10.0,0.16,0.0,0.2,0.2,2.0,444.4798834999556
44,10.0,0.16,0.0,0.2,2.0,0.0,438.89441029053734
45,10.0,0.16,0.0,0.2,2.0,0.02,440.35019420222466
46,10.0,0.16,0.0,0.2,2.0,0.2,437.240111066464
47,10.0,0.16,0.0,0.2,2.0,2.0,441.501630995919
48,10.0,0.16,0.0,2.0,0.0,0.0,448.1639319236174
49,10.0,0.16,0.0,2.0,0.0,0.02,447.08941457561616
50,10.0,0.16,0.0,2.0,0.0,0.2,444.3130499915226
51,10.0,0.16,0.0,2.0,0.0,2.0,449.54631183134916
52,10.0,0.16,0.0,2.0,0.02,0.0,439.70837403836515
53,10.0,0.16,0.0,2.0,0.02,0.02,440.1113987363653
54,10.0,0.16,0.0,2.0,0.02,0.2,440.5913676532112
55,10.0,0.16,0.0,2.0,0.02,2.0,446.24679371753297
56,10.0,0.16,0.0,2.0,0.2,0.0,436.12960534427526
57,10.0,0.16,0.0,2.0,0.2,0.02,434.3903810727967
58,10.0,0.16,0.0,2.0,0.2,0.2,450.2075448025116
59,10.0,0.16,0.0,2.0,0.2,2.0,449.6332265036728
60,10.0,0.16,0.0,2.0,2.0,0.0,459.26629080002436
61,10.0,0.16,0.0,2.0,2.0,0.02,445.51415623969353
62,10.0,0.16,0.0,2.0,2.0,0.2,436.3919469431501
63,10.0,0.16,0.0,2.0,2.0,2.0,444.1543583076162
64,10.0,0.16,0.02,0.0,0.0,0.0,444.631746955442
65,10.0,0.16,0.02,0.0,0.0,0.02,440.0698104170632
66,10.0,0.16,0.02,0.0,0.0,0.2,440.6599327003651
67,10.0,0.16,0.02,0.0,0.0,2.0,442.87341328560166
68,10.0,0.16,0.02,0.0,0.02,0.0,457.34480937780785
69,10.0,0.16,0.02,0.0,0.02,0.02,471.06887282878404
70,10.0,0.16,0.02,0.0,0.02,0.2,436.0175287182306
71,10.0,0.16,0.02,0.0,0.02,2.0,465.21111847246146
72,10.0,0.16,0.02,0.0,0.2,0.0,445.4714992276957
73,10.0,0.16,0.02,0.0,0.2,0.02,441.3317260932389
74,10.0,0.16,0.02,0.0,0.2,0.2,437.183606424432
75,10.0,0.16,0.02,0.0,0.2,2.0,447.10887789816064
76,10.0,0.16,0.02,0.0,2.0,0.0,431.96056785332206
77,10.0,0.16,0.02,0.0,2.0,0.02,448.6796547561677
78,10.0,0.16,0.02,0.0,2.0,0.2,439.2411368608597
79,10.0,0.16,0.02,0.0,2.0,2.0,434.49766305781924
80,10.0,0.16,0.02,0.02,0.0,0.0,452.1702238013172
81,10.0,0.16,0.02,0.02,0.0,0.02,446.7008977184178
82,10.0,0.16,0.02,0.02,0.0,0.2,438.51583156334465
83,10.0,0.16,0.02,0.02,0.0,2.0,429.5585893046916
84,10.0,0.16,0.02,0.02,0.02,0.0,439.689150528988
85,10.0,0.16,0.02,0.02,0.02,0.02,441.06838847599465
86,10.0,0.16,0.02,0.02,0.02,0.2,436.23634660718
87,10.0,0.16,0.02,0.02,0.02,2.0,432.97087663041617
88,10.0,0.16,0.02,0.02,0.2,0.0,442.6159926723749
89,10.0,0.16,0.02,0.02,0.2,0.02,451.93231479178553
90,10.0,0.16,0.02,0.02,0.2,0.2,449.9479307680253
91,10.0,0.16,0.02,0.02,0.2,2.0,441.9862510779413
92,10.0,0.16,0.02,0.02,2.0,0.0,445.48406444352
93,10.0,0.16,0.02,0.02,2.0,0.02,439.65945866980485
94,10.0,0.16,0.02,0.02,2.0,0.2,438.8564580303154
95,10.0,0.16,0.02,0.02,2.0,2.0,435.9437577711978
96,10.0,0.16,0.02,0.2,0.0,0.0,438.8169955331485
97,10.0,0.16,0.02,0.2,0.0,0.02,432.48372602992623
98,10.0,0.16,0.02,0.2,0.0,0.2,446.3986168343129
99,10.0,0.16,0.02,0.2,0.0,2.0,439.659731017878
100,10.0,0.16,0.02,0.2,0.02,0.0,453.5624753066931
101,10.0,0.16,0.02,0.2,0.02,0.02,459.6107038229241
102,10.0,0.16,0.02,0.2,0.02,0.2,450.0001205466747
103,10.0,0.16,0.02,0.2,0.02,2.0,439.14245286171484
104,10.0,0.16,0.02,0.2,0.2,0.0,428.32595829729456
105,10.0,0.16,0.02,0.2,0.2,0.02,463.87917044908585
106,10.0,0.16,0.02,0.2,0.2,0.2,465.28073083978586
107,10.0,0.16,0.02,0.2,0.2,2.0,443.7496035126056
108,10.0,0.16,0.02,0.2,2.0,0.0,437.84614599642265
109,10.0,0.16,0.02,0.2,2.0,0.02,434.40516930693013
110,10.0,0.16,0.02,0.2,2.0,0.2,451.9959188285977
111,10.0,0.16,0.02,0.2,2.0,2.0,428.4493186873525
112,10.0,0.16,0.02,2.0,0.0,0.0,431.52139121812735
113,10.0,0.16,0.02,2.0,0.0,0.02,460.4781153035525
114,10.0,0.16,0.02,2.0,0.0,0.2,442.24766942782264
115,10.0,0.16,0.02,2.0,0.0,2.0,442.71159697227137
116,10.0,0.16,0.02,2.0,0.02,0.0,435.8175034888434
117,10.0,0.16,0.02,2.0,0.02,0.02,446.6896633969298
118,10.0,0.16,0.02,2.0,0.02,0.2,449.4760218635423
