,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,665.6545340860253,0.3368782450545281
1,10.0,0.16,0.0,0.0,0.0,0.02,672.0584526133628,0.3703722473387177
2,10.0,0.16,0.0,0.0,0.0,0.2,682.5484491615758,0.3392558351838531
3,10.0,0.16,0.0,0.0,0.0,2.0,665.6261512250275,0.3464261959450069
4,10.0,0.16,0.0,0.0,0.02,0.0,669.8148516126996,0.3424177312428416
5,10.0,0.16,0.0,0.0,0.02,0.02,664.9738392210004,0.3170481759653543
6,10.0,0.16,0.0,0.0,0.02,0.2,664.3155962660056,0.35580158282921337
7,10.0,0.16,0.0,0.0,0.02,2.0,668.8924339517313,0.3449921973010329
8,10.0,0.16,0.0,0.0,0.2,0.0,679.5621733831836,0.3207113200060753
9,10.0,0.16,0.0,0.0,0.2,0.02,671.2242586948807,0.3529944473476377
10,10.0,0.16,0.0,0.0,0.2,0.2,666.4482397826171,0.3672019518191356
11,10.0,0.16,0.0,0.0,0.2,2.0,671.7990459369952,0.2791876574247444
12,10.0,0.16,0.0,0.0,2.0,0.0,685.628638381603,0.33411774768628744
13,10.0,0.16,0.0,0.0,2.0,0.02,681.8548170300097,0.26238567597987705
14,10.0,0.16,0.0,0.0,2.0,0.2,670.4964118838935,0.33585679191147344
15,10.0,0.16,0.0,0.0,2.0,2.0,683.1969746530725,0.34531055906255914
16,10.0,0.16,0.0,0.02,0.0,0.0,679.1562655825851,0.34388144244441976
17,10.0,0.16,0.0,0.02,0.0,0.02,670.3142074677118,0.3782710859880371
18,10.0,0.16,0.0,0.02,0.0,0.2,688.3944857760232,0.3407280455238001
19,10.0,0.16,0.0,0.02,0.0,2.0,684.9806594397337,0.3471333088835259
20,10.0,0.16,0.0,0.02,0.02,0.0,666.8737627032319,0.3264274080497867
21,10.0,0.16,0.0,0.02,0.02,0.02,680.8675430522969,0.320520551705711
22,10.0,0.16,0.0,0.02,0.02,0.2,668.655679700982,0.3413989242548731
23,10.0,0.16,0.0,0.02,0.02,2.0,676.4980887526281,0.3525571806956579
24,10.0,0.16,0.0,0.02,0.2,0.0,670.4328779992043,0.3676584604144219
25,10.0,0.16,0.0,0.02,0.2,0.02,680.7144195527546,0.3349451102274434
26,10.0,0.16,0.0,0.02,0.2,0.2,664.8341262312825,0.35732791361266186
27,10.0,0.16,0.0,0.02,0.2,2.0,661.1047049757195,0.26038441735283496
28,10.0,0.16,0.0,0.02,2.0,0.0,678.6840361495733,0.3022358442192252
29,10.0,0.16,0.0,0.02,2.0,0.02,687.1956144522717,0.3345319035689452
