,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,595.8024483920117,0.3714998250645094
1,10.0,0.16,0.0,0.0,0.0,0.02,599.6082905498905,0.3626303054234157
2,10.0,0.16,0.0,0.0,0.0,0.2,591.9711770750714,0.3830762454231427
3,10.0,0.16,0.0,0.0,0.0,2.0,584.6031580557377,0.3856563735510039
4,10.0,0.16,0.0,0.0,0.02,0.0,591.4005757754734,0.3875977077293292
5,10.0,0.16,0.0,0.0,0.02,0.02,596.7556977927277,0.38025178250390607
6,10.0,0.16,0.0,0.0,0.02,0.2,589.405754484904,0.3884122456583893
7,10.0,0.16,0.0,0.0,0.02,2.0,588.7754900515619,0.39564468647744394
8,10.0,0.16,0.0,0.0,0.2,0.0,595.4422115619446,0.31310091369596804
9,10.0,0.16,0.0,0.0,0.2,0.02,603.1675355783882,0.3776377519632315
10,10.0,0.16,0.0,0.0,0.2,0.2,592.1579838197106,0.3955325366188155
11,10.0,0.16,0.0,0.0,0.2,2.0,585.9849917519202,0.3806944753962374
12,10.0,0.16,0.0,0.0,2.0,0.0,587.9345103416179,0.4050945852035386
13,10.0,0.16,0.0,0.0,2.0,0.02,597.0149726595128,0.3877114161875733
14,10.0,0.16,0.0,0.0,2.0,0.2,589.2332257757104,0.4035940592401631
15,10.0,0.16,0.0,0.0,2.0,2.0,598.0632919417243,0.4213767540936611
16,10.0,0.16,0.0,0.02,0.0,0.0,591.5831065970626,0.3962489297527439
17,10.0,0.16,0.0,0.02,0.0,0.02,597.3803168228501,0.381427342320956
18,10.0,0.16,0.0,0.02,0.0,0.2,592.563853601783,0.3627905023874853
19,10.0,0.16,0.0,0.02,0.0,2.0,592.6925134107604,0.3957225784583978
20,10.0,0.16,0.0,0.02,0.02,0.0,593.2797401506434,0.38983823625027797
21,10.0,0.16,0.0,0.02,0.02,0.02,586.4596117612283,0.3911073566302264
22,10.0,0.16,0.0,0.02,0.02,0.2,593.2304824674004,0.3956727734904555
23,10.0,0.16,0.0,0.02,0.02,2.0,584.6369646378754,0.3920734756583718
24,10.0,0.16,0.0,0.02,0.2,0.0,588.7328131270599,0.3862931804843107
25,10.0,0.16,0.0,0.02,0.2,0.02,593.6246991169022,0.4012460911248853
26,10.0,0.16,0.0,0.02,0.2,0.2,592.230838032377,0.4027975005585233
27,10.0,0.16,0.0,0.02,0.2,2.0,585.6442209249168,0.3993480582503177
28,10.0,0.16,0.0,0.02,2.0,0.0,595.9194972530421,0.4040814464092455
29,10.0,0.16,0.0,0.02,2.0,0.02,585.2840803813034,0.39483292116121893
30,10.0,0.16,0.0,0.02,2.0,0.2,594.4803285063629,0.39858981431733675
31,10.0,0.16,0.0,0.02,2.0,2.0,597.8740807665247,0.409188889127002
32,10.0,0.16,0.0,0.2,0.0,0.0,593.6902185828454,0.41083424501774496
33,10.0,0.16,0.0,0.2,0.0,0.02,591.91588810067,0.35492368821438314
34,10.0,0.16,0.0,0.2,0.0,0.2,595.5251689546227,0.3985783240503201
35,10.0,0.16,0.0,0.2,0.0,2.0,591.2826821004344,0.4091696398454946
36,10.0,0.16,0.0,0.2,0.02,0.0,584.6981493692168,0.3873867704726841
37,10.0,0.16,0.0,0.2,0.02,0.02,585.7686044773459,0.3762639600910909
38,10.0,0.16,0.0,0.2,0.02,0.2,590.7472334974634,0.40153471808298624
39,10.0,0.16,0.0,0.2,0.02,2.0,585.0506146872102,0.4098723566086302
40,10.0,0.16,0.0,0.2,0.2,0.0,600.6592208556148,0.4144029152883357
41,10.0,0.16,0.0,0.2,0.2,0.02,600.0587095486137,0.3920881806616952
42,10.0,0.16,0.0,0.2,0.2,0.2,602.6383360912304,0.4257103958690564
