,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,467.0901919937911
1,10.0,0.16,0.0,0.0,0.0,0.02,464.22899225936544
2,10.0,0.16,0.0,0.0,0.0,0.2,458.04424463867446
3,10.0,0.16,0.0,0.0,0.0,2.0,455.21146919862485
4,10.0,0.16,0.0,0.0,0.02,0.0,453.088819052275
5,10.0,0.16,0.0,0.0,0.02,0.02,458.71981290402465
6,10.0,0.16,0.0,0.0,0.02,0.2,461.0283809486073
7,10.0,0.16,0.0,0.0,0.02,2.0,462.2803484827902
8,10.0,0.16,0.0,0.0,0.2,0.0,461.92609342094596
9,10.0,0.16,0.0,0.0,0.2,0.02,466.86767295161064
10,10.0,0.16,0.0,0.0,0.2,0.2,466.9611116163716
11,10.0,0.16,0.0,0.0,0.2,2.0,460.6744789772045
12,10.0,0.16,0.0,0.0,2.0,0.0,457.444321464391
13,10.0,0.16,0.0,0.0,2.0,0.02,470.35181839116655
14,10.0,0.16,0.0,0.0,2.0,0.2,459.8100250437937
15,10.0,0.16,0.0,0.0,2.0,2.0,461.3943492246573
16,10.0,0.16,0.0,0.02,0.0,0.0,470.0405658657639
17,10.0,0.16,0.0,0.02,0.0,0.02,451.2452150291268
18,10.0,0.16,0.0,0.02,0.0,0.2,455.4836830884279
19,10.0,0.16,0.0,0.02,0.0,2.0,443.4188418458242
20,10.0,0.16,0.0,0.02,0.02,0.0,452.7381949055574
21,10.0,0.16,0.0,0.02,0.02,0.02,453.2761671495703
22,10.0,0.16,0.0,0.02,0.02,0.2,460.80781901928736
23,10.0,0.16,0.0,0.02,0.02,2.0,466.0919372310832
24,10.0,0.16,0.0,0.02,0.2,0.0,467.57256990871116
25,10.0,0.16,0.0,0.02,0.2,0.02,459.5716919630887
26,10.0,0.16,0.0,0.02,0.2,0.2,467.37443494054367
27,10.0,0.16,0.0,0.02,0.2,2.0,451.3547027816198
28,10.0,0.16,0.0,0.02,2.0,0.0,454.6809137202191
29,10.0,0.16,0.0,0.02,2.0,0.02,449.549338408829
30,10.0,0.16,0.0,0.02,2.0,0.2,459.1564332778128
31,10.0,0.16,0.0,0.02,2.0,2.0,466.55649265634423
32,10.0,0.16,0.0,0.2,0.0,0.0,457.0899242201592
33,10.0,0.16,0.0,0.2,0.0,0.02,478.82485405577415
34,10.0,0.16,0.0,0.2,0.0,0.2,464.2327059446857
35,10.0,0.16,0.0,0.2,0.0,2.0,455.58691484248567
36,10.0,0.16,0.0,0.2,0.02,0.0,459.5486710364113
37,10.0,0.16,0.0,0.2,0.02,0.02,459.7034454013824
38,10.0,0.16,0.0,0.2,0.02,0.2,464.83941715853234
39,10.0,0.16,0.0,0.2,0.02,2.0,466.43236769857583
40,10.0,0.16,0.0,0.2,0.2,0.0,463.33929759355436
41,10.0,0.16,0.0,0.2,0.2,0.02,463.61160481593316
42,10.0,0.16,0.0,0.2,0.2,0.2,462.67859209387774
43,10.0,0.16,0.0,0.2,0.2,2.0,461.579058400856
44,10.0,0.16,0.0,0.2,2.0,0.0,476.2406257793834
45,10.0,0.16,0.0,0.2,2.0,0.02,466.1553188797551
46,10.0,0.16,0.0,0.2,2.0,0.2,460.1261907501954
47,10.0,0.16,0.0,0.2,2.0,2.0,459.1451327485457
48,10.0,0.16,0.0,2.0,0.0,0.0,474.43359869439973
49,10.0,0.16,0.0,2.0,0.0,0.02,471.901163073619
50,10.0,0.16,0.0,2.0,0.0,0.2,451.5395857635553
51,10.0,0.16,0.0,2.0,0.0,2.0,449.0921592672403
52,10.0,0.16,0.0,2.0,0.02,0.0,468.4388154163182
53,10.0,0.16,0.0,2.0,0.02,0.02,462.3843103822053
54,10.0,0.16,0.0,2.0,0.02,0.2,462.7298613580976
55,10.0,0.16,0.0,2.0,0.02,2.0,465.4220774346311
56,10.0,0.16,0.0,2.0,0.2,0.0,460.67545909801436
57,10.0,0.16,0.0,2.0,0.2,0.02,479.9040402523618
58,10.0,0.16,0.0,2.0,0.2,0.2,460.69182616374144
59,10.0,0.16,0.0,2.0,0.2,2.0,455.78626332017336
60,10.0,0.16,0.0,2.0,2.0,0.0,468.75188373910385
61,10.0,0.16,0.0,2.0,2.0,0.02,465.35984738744315
62,10.0,0.16,0.0,2.0,2.0,0.2,463.4913069325393
63,10.0,0.16,0.0,2.0,2.0,2.0,465.7083528344939
64,10.0,0.16,0.02,0.0,0.0,0.0,458.484072282568
65,10.0,0.16,0.02,0.0,0.0,0.02,467.6296174557051
66,10.0,0.16,0.02,0.0,0.0,0.2,454.3399429650245
67,10.0,0.16,0.02,0.0,0.0,2.0,452.99522841935163
68,10.0,0.16,0.02,0.0,0.02,0.0,459.6643361599421
69,10.0,0.16,0.02,0.0,0.02,0.02,456.9777692115719
70,10.0,0.16,0.02,0.0,0.02,0.2,459.68259570388034
71,10.0,0.16,0.02,0.0,0.02,2.0,456.235786393486
72,10.0,0.16,0.02,0.0,0.2,0.0,459.9929714277037
73,10.0,0.16,0.02,0.0,0.2,0.02,449.3130012696006
74,10.0,0.16,0.02,0.0,0.2,0.2,459.3054007100639
75,10.0,0.16,0.02,0.0,0.2,2.0,461.0297763693274
76,10.0,0.16,0.02,0.0,2.0,0.0,469.6178213330557
77,10.0,0.16,0.02,0.0,2.0,0.02,452.5824992653151
78,10.0,0.16,0.02,0.0,2.0,0.2,467.584905139355
79,10.0,0.16,0.02,0.0,2.0,2.0,456.0214190813865
80,10.0,0.16,0.02,0.02,0.0,0.0,463.65253727706863
81,10.0,0.16,0.02,0.02,0.0,0.02,461.8142086194903
82,10.0,0.16,0.02,0.02,0.0,0.2,469.23683114711577
83,10.0,0.16,0.02,0.02,0.0,2.0,455.63774145327596
84,10.0,0.16,0.02,0.02,0.02,0.0,471.8249780323282
85,10.0,0.16,0.02,0.02,0.02,0.02,467.5397680172785
86,10.0,0.16,0.02,0.02,0.02,0.2,454.6166559833232
87,10.0,0.16,0.02,0.02,0.02,2.0,448.13056938784416
88,10.0,0.16,0.02,0.02,0.2,0.0,456.7425475859826
89,10.0,0.16,0.02,0.02,0.2,0.02,460.4210598522606
90,10.0,0.16,0.02,0.02,0.2,0.2,466.61311722745387
91,10.0,0.16,0.02,0.02,0.2,2.0,457.5929073000468
92,10.0,0.16,0.02,0.02,2.0,0.0,461.849022185203
93,10.0,0.16,0.02,0.02,2.0,0.02,453.0566659640605
94,10.0,0.16,0.02,0.02,2.0,0.2,455.5611940370636
95,10.0,0.16,0.02,0.02,2.0,2.0,455.7073037819095
96,10.0,0.16,0.02,0.2,0.0,0.0,450.51780391399535
97,10.0,0.16,0.02,0.2,0.0,0.02,460.57805358463514
98,10.0,0.16,0.02,0.2,0.0,0.2,462.4054608075869
99,10.0,0.16,0.02,0.2,0.0,2.0,473.3675917331392
100,10.0,0.16,0.02,0.2,0.02,0.0,462.21624232027125
101,10.0,0.16,0.02,0.2,0.02,0.02,457.0163230857563
102,10.0,0.16,0.02,0.2,0.02,0.2,457.17918382492826
103,10.0,0.16,0.02,0.2,0.02,2.0,463.54574712279486
104,10.0,0.16,0.02,0.2,0.2,0.0,452.4123822485556
105,10.0,0.16,0.02,0.2,0.2,0.02,456.07878351107314
106,10.0,0.16,0.02,0.2,0.2,0.2,457.8193956405874
107,10.0,0.16,0.02,0.2,0.2,2.0,459.35397954550115
108,10.0,0.16,0.02,0.2,2.0,0.0,455.42816523424864
109,10.0,0.16,0.02,0.2,2.0,0.02,461.38636949934164
110,10.0,0.16,0.02,0.2,2.0,0.2,463.91569858300585
111,10.0,0.16,0.02,0.2,2.0,2.0,455.91670898991316
112,10.0,0.16,0.02,2.0,0.0,0.0,461.3315860590772
113,10.0,0.16,0.02,2.0,0.0,0.02,458.37783253659927
114,10.0,0.16,0.02,2.0,0.0,0.2,476.82303816127035
115,10.0,0.16,0.02,2.0,0.0,2.0,461.6604311776046
116,10.0,0.16,0.02,2.0,0.02,0.0,462.2584405543177
117,10.0,0.16,0.02,2.0,0.02,0.02,464.2034465856647
118,10.0,0.16,0.02,2.0,0.02,0.2,453.6511929170951
119,10.0,0.16,0.02,2.0,0.02,2.0,464.23744057647735
120,10.0,0.16,0.02,2.0,0.2,0.0,460.42780654357733
121,10.0,0.16,0.02,2.0,0.2,0.02,464.3281408289538
122,10.0,0.16,0.02,2.0,0.2,0.2,449.2960491549694
123,10.0,0.16,0.02,2.0,0.2,2.0,455.767560871005
124,10.0,0.16,0.02,2.0,2.0,0.0,471.87688872945677
125,10.0,0.16,0.02,2.0,2.0,0.02,459.8164726934036
126,10.0,0.16,0.02,2.0,2.0,0.2,468.4607023415583
127,10.0,0.16,0.02,2.0,2.0,2.0,460.0064695650217
128,10.0,0.16,0.2,0.0,0.0,0.0,472.1281419597985
129,10.0,0.16,0.2,0.0,0.0,0.02,454.47605231594565
130,10.0,0.16,0.2,0.0,0.0,0.2,455.5992720223482
131,10.0,0.16,0.2,0.0,0.0,2.0,457.2663498410237
132,10.0,0.16,0.2,0.0,0.02,0.0,460.7482450469242
133,10.0,0.16,0.2,0.0,0.02,0.02,467.2677455174045
134,10.0,0.16,0.2,0.0,0.02,0.2,462.897675479611
135,10.0,0.16,0.2,0.0,0.02,2.0,465.5227912641062
136,10.0,0.16,0.2,0.0,0.2,0.0,453.2185824458737
137,10.0,0.16,0.2,0.0,0.2,0.02,457.1658584535241
138,10.0,0.16,0.2,0.0,0.2,0.2,459.8498017476711
139,10.0,0.16,0.2,0.0,0.2,2.0,467.4042047330948
140,10.0,0.16,0.2,0.0,2.0,0.0,457.4856568433661
141,10.0,0.16,0.2,0.0,2.0,0.02,467.203543864179
142,10.0,0.16,0.2,0.0,2.0,0.2,460.4996173799334
143,10.0,0.16,0.2,0.0,2.0,2.0,457.52752531163367
144,10.0,0.16,0.2,0.02,0.0,0.0,469.6996782144114
145,10.0,0.16,0.2,0.02,0.0,0.02,461.0941883114454
146,10.0,0.16,0.2,0.02,0.0,0.2,463.5769524419943
147,10.0,0.16,0.2,0.02,0.0,2.0,449.2185939685698
148,10.0,0.16,0.2,0.02,0.02,0.0,467.83420412278525
149,10.0,0.16,0.2,0.02,0.02,0.02,456.134624567853
150,10.0,0.16,0.2,0.02,0.02,0.2,465.0534808306443
151,10.0,0.16,0.2,0.02,0.02,2.0,466.2296861952252
152,10.0,0.16,0.2,0.02,0.2,0.0,457.74869205356913
153,10.0,0.16,0.2,0.02,0.2,0.02,458.2489552116233
154,10.0,0.16,0.2,0.02,0.2,0.2,462.7614001152157
155,10.0,0.16,0.2,0.02,0.2,2.0,471.07291758210226
156,10.0,0.16,0.2,0.02,2.0,0.0,462.41883961778007
157,10.0,0.16,0.2,0.02,2.0,0.02,455.4083208897007
158,10.0,0.16,0.2,0.02,2.0,0.2,461.62317116590066
159,10.0,0.16,0.2,0.02,2.0,2.0,465.85425910122046
160,10.0,0.16,0.2,0.2,0.0,0.0,461.6274958144992
161,10.0,0.16,0.2,0.2,0.0,0.02,458.577511461404
162,10.0,0.16,0.2,0.2,0.0,0.2,460.5238844877144
163,10.0,0.16,0.2,0.2,0.0,2.0,462.0003836829876
164,10.0,0.16,0.2,0.2,0.02,0.0,456.54591873138463
165,10.0,0.16,0.2,0.2,0.02,0.02,460.1341045323692
166,10.0,0.16,0.2,0.2,0.02,0.2,456.2174963305604
167,10.0,0.16,0.2,0.2,0.02,2.0,454.03906543639147
