,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,349.70083932333284,0.4072650672039653
1,10.0,0.16,0.0,0.0,0.0,0.02,353.39757499107964,0.35954379764862604
2,10.0,0.16,0.0,0.0,0.0,0.2,355.3277346407865,0.3704806418226457
3,10.0,0.16,0.0,0.0,0.0,2.0,358.16306772607163,0.40621353801635257
4,10.0,0.16,0.0,0.0,0.02,0.0,362.0842079584968,0.4114326454422716
5,10.0,0.16,0.0,0.0,0.02,0.02,346.6959278882292,0.3985923513144448
6,10.0,0.16,0.0,0.0,0.02,0.2,349.6731476753605,0.4068566235078711
7,10.0,0.16,0.0,0.0,0.02,2.0,355.4610314203297,0.38535334463884174
8,10.0,0.16,0.0,0.0,0.2,0.0,353.4447465546836,0.4013768757047769
9,10.0,0.16,0.0,0.0,0.2,0.02,365.58760758469816,0.40114216028170296
10,10.0,0.16,0.0,0.0,0.2,0.2,349.9162114733285,0.414685130842961
11,10.0,0.16,0.0,0.0,0.2,2.0,355.73104501074533,0.4343557466288293
12,10.0,0.16,0.0,0.0,2.0,0.0,361.9922175790406,0.4229100530112678
13,10.0,0.16,0.0,0.0,2.0,0.02,359.4742975942988,0.42403215987362
14,10.0,0.16,0.0,0.0,2.0,0.2,343.06502267730724,0.3430371111638659
15,10.0,0.16,0.0,0.0,2.0,2.0,347.6475462649996,0.3913244449714942
16,10.0,0.16,0.0,0.02,0.0,0.0,355.5181369514128,0.3813106967013377
17,10.0,0.16,0.0,0.02,0.0,0.02,355.17855009160684,0.4354432665881705
18,10.0,0.16,0.0,0.02,0.0,0.2,357.1569334945987,0.3885744689222752
19,10.0,0.16,0.0,0.02,0.0,2.0,346.63699667776774,0.4000605613993462
20,10.0,0.16,0.0,0.02,0.02,0.0,344.1042851685597,0.3912556800968821
21,10.0,0.16,0.0,0.02,0.02,0.02,351.8127187203158,0.366197792606597
22,10.0,0.16,0.0,0.02,0.02,0.2,371.5182069486783,0.4304890644725037
23,10.0,0.16,0.0,0.02,0.02,2.0,361.1743252296589,0.4342210248153736
24,10.0,0.16,0.0,0.02,0.2,0.0,367.8688139637225,0.4074881046099736
