,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,251.32512784657382
1,10.0,0.16,0.0,0.0,0.0,0.02,250.89288059255702
2,10.0,0.16,0.0,0.0,0.0,0.2,246.92201425800224
3,10.0,0.16,0.0,0.0,0.0,2.0,259.06527098465614
4,10.0,0.16,0.0,0.0,0.02,0.0,262.17995425069853
5,10.0,0.16,0.0,0.0,0.02,0.02,269.3106914281927
6,10.0,0.16,0.0,0.0,0.02,0.2,257.87318599424253
7,10.0,0.16,0.0,0.0,0.02,2.0,252.07606861759442
8,10.0,0.16,0.0,0.0,0.2,0.0,258.7979392560778
9,10.0,0.16,0.0,0.0,0.2,0.02,258.8816144584279
10,10.0,0.16,0.0,0.0,0.2,0.2,251.16613697804715
11,10.0,0.16,0.0,0.0,0.2,2.0,251.1021673381108
12,10.0,0.16,0.0,0.0,2.0,0.0,262.7853854155088
13,10.0,0.16,0.0,0.0,2.0,0.02,250.8994911079939
14,10.0,0.16,0.0,0.0,2.0,0.2,251.0643552264312
15,10.0,0.16,0.0,0.0,2.0,2.0,252.5023092036112
16,10.0,0.16,0.0,0.02,0.0,0.0,251.6717322506588
17,10.0,0.16,0.0,0.02,0.0,0.02,261.5624607958257
18,10.0,0.16,0.0,0.02,0.0,0.2,267.2612447676012
19,10.0,0.16,0.0,0.02,0.0,2.0,253.19255749229657
20,10.0,0.16,0.0,0.02,0.02,0.0,253.2597810482101
21,10.0,0.16,0.0,0.02,0.02,0.02,262.6252715805141
22,10.0,0.16,0.0,0.02,0.02,0.2,261.17730376762626
23,10.0,0.16,0.0,0.02,0.02,2.0,253.4287171690048
24,10.0,0.16,0.0,0.02,0.2,0.0,251.98647612389868
25,10.0,0.16,0.0,0.02,0.2,0.02,259.05278225138915
26,10.0,0.16,0.0,0.02,0.2,0.2,255.66514440738902
27,10.0,0.16,0.0,0.02,0.2,2.0,254.70283178953446
28,10.0,0.16,0.0,0.02,2.0,0.0,272.26157788791505
29,10.0,0.16,0.0,0.02,2.0,0.02,254.90359087029626
30,10.0,0.16,0.0,0.02,2.0,0.2,250.4902279035015
