,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,367.9660202485092,0.4213546676563597
1,10.0,0.16,0.0,0.0,0.0,0.02,373.89794442492064,0.3956431952521972
2,10.0,0.16,0.0,0.0,0.0,0.2,380.2092187682408,0.4126589146329923
3,10.0,0.16,0.0,0.0,0.0,2.0,374.85743488153366,0.3844219420944502
4,10.0,0.16,0.0,0.0,0.02,0.0,373.8253795907245,0.4001339892677992
5,10.0,0.16,0.0,0.0,0.02,0.02,368.22900499503487,0.413353491710332
6,10.0,0.16,0.0,0.0,0.02,0.2,361.6885202677127,0.4119681948261522
7,10.0,0.16,0.0,0.0,0.02,2.0,372.3298823579464,0.391235356229486
8,10.0,0.16,0.0,0.0,0.2,0.0,367.5365243175446,0.4298505642500133
9,10.0,0.16,0.0,0.0,0.2,0.02,369.2334444547946,0.418197410010559
10,10.0,0.16,0.0,0.0,0.2,0.2,367.3496434405717,0.39171563574009705
11,10.0,0.16,0.0,0.0,0.2,2.0,378.8072273691802,0.4136660609392101
12,10.0,0.16,0.0,0.0,2.0,0.0,380.33881402976095,0.4055200022376568
13,10.0,0.16,0.0,0.0,2.0,0.02,370.48446689254655,0.4231300699501554
14,10.0,0.16,0.0,0.0,2.0,0.2,372.3828670267108,0.4041555209234989
15,10.0,0.16,0.0,0.0,2.0,2.0,376.3381603225415,0.4010843088198031
16,10.0,0.16,0.0,0.02,0.0,0.0,370.6571338028792,0.3955048501849103
17,10.0,0.16,0.0,0.02,0.0,0.02,367.3875557774981,0.3915220540062042
18,10.0,0.16,0.0,0.02,0.0,0.2,372.23582923341314,0.4018701850394101
19,10.0,0.16,0.0,0.02,0.0,2.0,362.4281571967828,0.39030692165326025
20,10.0,0.16,0.0,0.02,0.02,0.0,366.8664473942839,0.4149892432698641
21,10.0,0.16,0.0,0.02,0.02,0.02,363.77554043131937,0.3916795020330772
22,10.0,0.16,0.0,0.02,0.02,0.2,363.78066337419466,0.387584651742383
23,10.0,0.16,0.0,0.02,0.02,2.0,375.5309372864432,0.3776052901683393
24,10.0,0.16,0.0,0.02,0.2,0.0,361.5632072707657,0.4022742865835136
25,10.0,0.16,0.0,0.02,0.2,0.02,370.8291001069565,0.4190153546032113
26,10.0,0.16,0.0,0.02,0.2,0.2,370.6876027400084,0.3715971088293119
27,10.0,0.16,0.0,0.02,0.2,2.0,371.4123723542683,0.3887370429807853
28,10.0,0.16,0.0,0.02,2.0,0.0,370.9067558376045,0.43918624075013823
29,10.0,0.16,0.0,0.02,2.0,0.02,372.8929224271741,0.3845863980125799
30,10.0,0.16,0.0,0.02,2.0,0.2,367.7435195608413,0.40860414251442956
31,10.0,0.16,0.0,0.02,2.0,2.0,367.2455152201898,0.4113107465986985
32,10.0,0.16,0.0,0.2,0.0,0.0,370.0406205097606,0.39993710881324107
33,10.0,0.16,0.0,0.2,0.0,0.02,361.9068349426509,0.40866858845971216
34,10.0,0.16,0.0,0.2,0.0,0.2,376.1608748098217,0.38284806443156144
35,10.0,0.16,0.0,0.2,0.0,2.0,363.2631152889071,0.3623319197652556
36,10.0,0.16,0.0,0.2,0.02,0.0,365.08521523955255,0.4154263825521836
37,10.0,0.16,0.0,0.2,0.02,0.02,383.8209915549829,0.41902554746699616
38,10.0,0.16,0.0,0.2,0.02,0.2,368.77590340321433,0.4169925896846165
39,10.0,0.16,0.0,0.2,0.02,2.0,372.01943847710135,0.3829655827265346
40,10.0,0.16,0.0,0.2,0.2,0.0,368.74377066878037,0.4160134866450921
41,10.0,0.16,0.0,0.2,0.2,0.02,369.4320237819108,0.3736208787738545
42,10.0,0.16,0.0,0.2,0.2,0.2,373.4454728878908,0.3875297116906152
43,10.0,0.16,0.0,0.2,0.2,2.0,371.794610896132,0.4154510254767282
44,10.0,0.16,0.0,0.2,2.0,0.0,376.90110048526185,0.4211685774377163
45,10.0,0.16,0.0,0.2,2.0,0.02,371.4016229074177,0.37560170105701257
46,10.0,0.16,0.0,0.2,2.0,0.2,366.4768272654089,0.3917332689772847
47,10.0,0.16,0.0,0.2,2.0,2.0,368.2207000211478,0.3985265292490259
48,10.0,0.16,0.0,2.0,0.0,0.0,372.7311050197049,0.3799978541451271
49,10.0,0.16,0.0,2.0,0.0,0.02,374.7578312863717,0.41974833379671617
50,10.0,0.16,0.0,2.0,0.0,0.2,366.60822290221984,0.41259202914537796
51,10.0,0.16,0.0,2.0,0.0,2.0,368.8155945869954,0.41285931137439735
52,10.0,0.16,0.0,2.0,0.02,0.0,360.44325569316896,0.4149558232442285
