,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,370.3159237145924
1,10.0,0.16,0.0,0.0,0.0,0.02,381.78454619196856
2,10.0,0.16,0.0,0.0,0.0,0.2,368.64514356616587
3,10.0,0.16,0.0,0.0,0.0,2.0,366.20516193069886
4,10.0,0.16,0.0,0.0,0.02,0.0,372.2057558236945
5,10.0,0.16,0.0,0.0,0.02,0.02,365.6428322819772
6,10.0,0.16,0.0,0.0,0.02,0.2,373.04393484875396
7,10.0,0.16,0.0,0.0,0.02,2.0,375.6015706807434
8,10.0,0.16,0.0,0.0,0.2,0.0,371.0089917971718
9,10.0,0.16,0.0,0.0,0.2,0.02,372.1721174445217
10,10.0,0.16,0.0,0.0,0.2,0.2,375.34732922160003
11,10.0,0.16,0.0,0.0,0.2,2.0,366.5581293368641
12,10.0,0.16,0.0,0.0,2.0,0.0,377.49967320008415
13,10.0,0.16,0.0,0.0,2.0,0.02,381.8067781596544
14,10.0,0.16,0.0,0.0,2.0,0.2,372.85429734081146
15,10.0,0.16,0.0,0.0,2.0,2.0,371.90609110356627
16,10.0,0.16,0.0,0.02,0.0,0.0,377.0260017340692
17,10.0,0.16,0.0,0.02,0.0,0.02,375.4130314969488
18,10.0,0.16,0.0,0.02,0.0,0.2,369.05226527200585
19,10.0,0.16,0.0,0.02,0.0,2.0,376.7209937022757
20,10.0,0.16,0.0,0.02,0.02,0.0,366.2389838470616
21,10.0,0.16,0.0,0.02,0.02,0.02,371.94420427964315
22,10.0,0.16,0.0,0.02,0.02,0.2,382.11032167914635
23,10.0,0.16,0.0,0.02,0.02,2.0,371.97533556353983
24,10.0,0.16,0.0,0.02,0.2,0.0,372.07968139450776
25,10.0,0.16,0.0,0.02,0.2,0.02,387.16553464492483
26,10.0,0.16,0.0,0.02,0.2,0.2,373.245255004365
27,10.0,0.16,0.0,0.02,0.2,2.0,365.66894929535215
28,10.0,0.16,0.0,0.02,2.0,0.0,379.4771620053638
29,10.0,0.16,0.0,0.02,2.0,0.02,387.727991456528
30,10.0,0.16,0.0,0.02,2.0,0.2,373.65923786076485
31,10.0,0.16,0.0,0.02,2.0,2.0,368.7935502515682
32,10.0,0.16,0.0,0.2,0.0,0.0,367.2517000751388
33,10.0,0.16,0.0,0.2,0.0,0.02,368.9978608509728
34,10.0,0.16,0.0,0.2,0.0,0.2,374.79765563275396
35,10.0,0.16,0.0,0.2,0.0,2.0,367.83667167517495
36,10.0,0.16,0.0,0.2,0.02,0.0,378.01232381479036
37,10.0,0.16,0.0,0.2,0.02,0.02,372.1960899710672
38,10.0,0.16,0.0,0.2,0.02,0.2,371.1808189909388
39,10.0,0.16,0.0,0.2,0.02,2.0,363.5214573903018
40,10.0,0.16,0.0,0.2,0.2,0.0,364.6354924338588
41,10.0,0.16,0.0,0.2,0.2,0.02,368.0181851472436
42,10.0,0.16,0.0,0.2,0.2,0.2,364.0454186319313
43,10.0,0.16,0.0,0.2,0.2,2.0,363.37696383225364
44,10.0,0.16,0.0,0.2,2.0,0.0,376.0150420774655
45,10.0,0.16,0.0,0.2,2.0,0.02,373.02614138288635
46,10.0,0.16,0.0,0.2,2.0,0.2,375.90692806217453
47,10.0,0.16,0.0,0.2,2.0,2.0,365.24431368312537
48,10.0,0.16,0.0,2.0,0.0,0.0,376.1901995871162
49,10.0,0.16,0.0,2.0,0.0,0.02,376.1502953742824
50,10.0,0.16,0.0,2.0,0.0,0.2,366.8151419242191
51,10.0,0.16,0.0,2.0,0.0,2.0,369.83099149483047
52,10.0,0.16,0.0,2.0,0.02,0.0,364.2643670587972
53,10.0,0.16,0.0,2.0,0.02,0.02,374.16952826950927
54,10.0,0.16,0.0,2.0,0.02,0.2,383.75148437779967
55,10.0,0.16,0.0,2.0,0.02,2.0,375.6180176843969
56,10.0,0.16,0.0,2.0,0.2,0.0,379.72687695391784
57,10.0,0.16,0.0,2.0,0.2,0.02,380.91001689229216
58,10.0,0.16,0.0,2.0,0.2,0.2,378.2539683812307
59,10.0,0.16,0.0,2.0,0.2,2.0,380.1048488888077
60,10.0,0.16,0.0,2.0,2.0,0.0,386.908786042786
61,10.0,0.16,0.0,2.0,2.0,0.02,367.35844298256796
62,10.0,0.16,0.0,2.0,2.0,0.2,364.4692907373568
63,10.0,0.16,0.0,2.0,2.0,2.0,372.37674080430105
64,10.0,0.16,0.02,0.0,0.0,0.0,385.17565209510917
65,10.0,0.16,0.02,0.0,0.0,0.02,360.1952272720945
66,10.0,0.16,0.02,0.0,0.0,0.2,367.4334758777135
67,10.0,0.16,0.02,0.0,0.0,2.0,364.8077614536936
68,10.0,0.16,0.02,0.0,0.02,0.0,372.56221577255235
69,10.0,0.16,0.02,0.0,0.02,0.02,366.931298636646
70,10.0,0.16,0.02,0.0,0.02,0.2,372.7838665903006
71,10.0,0.16,0.02,0.0,0.02,2.0,380.64543534383597
72,10.0,0.16,0.02,0.0,0.2,0.0,364.5467916902865
73,10.0,0.16,0.02,0.0,0.2,0.02,372.7456404619856
74,10.0,0.16,0.02,0.0,0.2,0.2,366.3966321035544
75,10.0,0.16,0.02,0.0,0.2,2.0,363.4913982014084
76,10.0,0.16,0.02,0.0,2.0,0.0,380.07591087077276
77,10.0,0.16,0.02,0.0,2.0,0.02,368.6435385350043
78,10.0,0.16,0.02,0.0,2.0,0.2,374.26964699768087
79,10.0,0.16,0.02,0.0,2.0,2.0,377.3210904710302
80,10.0,0.16,0.02,0.02,0.0,0.0,368.7974039502314
81,10.0,0.16,0.02,0.02,0.0,0.02,369.85322935239014
82,10.0,0.16,0.02,0.02,0.0,0.2,369.9547153399285
83,10.0,0.16,0.02,0.02,0.0,2.0,371.3436216696716
84,10.0,0.16,0.02,0.02,0.02,0.0,382.8019843128837
85,10.0,0.16,0.02,0.02,0.02,0.02,369.57783672864286
86,10.0,0.16,0.02,0.02,0.02,0.2,377.0114054413645
87,10.0,0.16,0.02,0.02,0.02,2.0,365.77774886647325
88,10.0,0.16,0.02,0.02,0.2,0.0,380.2533536358412
89,10.0,0.16,0.02,0.02,0.2,0.02,378.65624832211694
90,10.0,0.16,0.02,0.02,0.2,0.2,377.22635677145087
91,10.0,0.16,0.02,0.02,0.2,2.0,372.33968884775896
92,10.0,0.16,0.02,0.02,2.0,0.0,410.35824283364684
93,10.0,0.16,0.02,0.02,2.0,0.02,372.41450786024626
94,10.0,0.16,0.02,0.02,2.0,0.2,371.93205150281614
95,10.0,0.16,0.02,0.02,2.0,2.0,369.98645654065234
96,10.0,0.16,0.02,0.2,0.0,0.0,374.87206185669487
