,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,250.7796185637048,0.31886030325990944
1,10.0,0.16,0.0,0.0,0.0,0.02,258.74626861988685,0.3915439187146618
2,10.0,0.16,0.0,0.0,0.0,0.2,255.3945303246254,0.3567844447311281
3,10.0,0.16,0.0,0.0,0.0,2.0,255.11182032407035,0.3897036060414803
4,10.0,0.16,0.0,0.0,0.02,0.0,260.61134101374955,0.3412300648405149
5,10.0,0.16,0.0,0.0,0.02,0.02,252.7349786554819,0.3511777626103152
6,10.0,0.16,0.0,0.0,0.02,0.2,253.83686138637887,0.3854563726144019
7,10.0,0.16,0.0,0.0,0.02,2.0,261.89838534830017,0.3547348862332005
8,10.0,0.16,0.0,0.0,0.2,0.0,256.1361851653044,0.3002770558197857
9,10.0,0.16,0.0,0.0,0.2,0.02,263.12653197934253,0.3325193499070643
10,10.0,0.16,0.0,0.0,0.2,0.2,252.65831328166024,0.3732602914599185
11,10.0,0.16,0.0,0.0,0.2,2.0,247.94283981960768,0.3684291275742457
12,10.0,0.16,0.0,0.0,2.0,0.0,260.15024415277514,0.36894108065537295
13,10.0,0.16,0.0,0.0,2.0,0.02,259.94038508413416,0.3692379028464428
14,10.0,0.16,0.0,0.0,2.0,0.2,246.87079183649024,0.3563834270559885
15,10.0,0.16,0.0,0.0,2.0,2.0,258.30290349300844,0.3632211673988557
16,10.0,0.16,0.0,0.02,0.0,0.0,254.23055693779187,0.3461842442084963
17,10.0,0.16,0.0,0.02,0.0,0.02,244.43222112968868,0.3488612142551232
18,10.0,0.16,0.0,0.02,0.0,0.2,258.3883335495481,0.3445545474808482
19,10.0,0.16,0.0,0.02,0.0,2.0,262.8353596989753,0.3667373445059501
20,10.0,0.16,0.0,0.02,0.02,0.0,256.5450238230308,0.3434776270331205
21,10.0,0.16,0.0,0.02,0.02,0.02,248.34181329731376,0.36209781314165984
22,10.0,0.16,0.0,0.02,0.02,0.2,259.79868981484435,0.3617742684817216
23,10.0,0.16,0.0,0.02,0.02,2.0,263.3008589100368,0.37418098152374796
24,10.0,0.16,0.0,0.02,0.2,0.0,256.4679302048145,0.3228988001419593
25,10.0,0.16,0.0,0.02,0.2,0.02,268.31971391256855,0.36088390654590335
26,10.0,0.16,0.0,0.02,0.2,0.2,263.2178615542045,0.3474146574417271
27,10.0,0.16,0.0,0.02,0.2,2.0,249.9174898608317,0.34247594581636703
28,10.0,0.16,0.0,0.02,2.0,0.0,273.12002705731453,0.3507988511000327
29,10.0,0.16,0.0,0.02,2.0,0.02,259.2972545335886,0.37517385599125697
30,10.0,0.16,0.0,0.02,2.0,0.2,253.0199124472041,0.394006126140218
31,10.0,0.16,0.0,0.02,2.0,2.0,249.95879142649338,0.34826511139284383
32,10.0,0.16,0.0,0.2,0.0,0.0,253.8529707852797,0.37966421668056727
33,10.0,0.16,0.0,0.2,0.0,0.02,255.88185735455966,0.3556913983580877
34,10.0,0.16,0.0,0.2,0.0,0.2,252.4774089496309,0.3834117908495266
35,10.0,0.16,0.0,0.2,0.0,2.0,246.58478800865848,0.4003331307890688
36,10.0,0.16,0.0,0.2,0.02,0.0,255.40580354575118,0.3586978858226229
37,10.0,0.16,0.0,0.2,0.02,0.02,257.1555477600765,0.3197182982918636
38,10.0,0.16,0.0,0.2,0.02,0.2,255.4157557555141,0.3561396628133109
39,10.0,0.16,0.0,0.2,0.02,2.0,247.15659415230374,0.3533634909402137
40,10.0,0.16,0.0,0.2,0.2,0.0,251.9007580747951,0.33998280740584186
41,10.0,0.16,0.0,0.2,0.2,0.02,256.7178397759489,0.3578623495607023
42,10.0,0.16,0.0,0.2,0.2,0.2,254.40505313385415,0.38006653750948416
43,10.0,0.16,0.0,0.2,0.2,2.0,254.43105713334413,0.3834310540575595
44,10.0,0.16,0.0,0.2,2.0,0.0,252.13451778143207,0.3528343515168655
45,10.0,0.16,0.0,0.2,2.0,0.02,260.52829640464057,0.3539357066275672
46,10.0,0.16,0.0,0.2,2.0,0.2,258.77415304492297,0.3695149547810313
47,10.0,0.16,0.0,0.2,2.0,2.0,254.79311386493268,0.3613067175192751
48,10.0,0.16,0.0,2.0,0.0,0.0,251.1854604971088,0.3481006746577692
49,10.0,0.16,0.0,2.0,0.0,0.02,257.3291038040009,0.3613224457913571
50,10.0,0.16,0.0,2.0,0.0,0.2,256.8169575217852,0.3726216421020807
51,10.0,0.16,0.0,2.0,0.0,2.0,261.151509774659,0.3723179310619461
52,10.0,0.16,0.0,2.0,0.02,0.0,250.1350876096322,0.3476712240391234
53,10.0,0.16,0.0,2.0,0.02,0.02,252.6035531769044,0.32171005411082365
54,10.0,0.16,0.0,2.0,0.02,0.2,257.866923033106,0.39570678433357875
55,10.0,0.16,0.0,2.0,0.02,2.0,256.33398669138194,0.3849250768582438
56,10.0,0.16,0.0,2.0,0.2,0.0,264.42002099622056,0.3560596293731988
57,10.0,0.16,0.0,2.0,0.2,0.02,263.958348781287,0.3615447590717107
58,10.0,0.16,0.0,2.0,0.2,0.2,254.97477298282257,0.3773002451414305
59,10.0,0.16,0.0,2.0,0.2,2.0,254.87685488472061,0.3279213731253065
60,10.0,0.16,0.0,2.0,2.0,0.0,266.51322628246606,0.35451353151356124
61,10.0,0.16,0.0,2.0,2.0,0.02,250.5560987921819,0.3495120246003877
62,10.0,0.16,0.0,2.0,2.0,0.2,270.2366327061219,0.3758163712167373
63,10.0,0.16,0.0,2.0,2.0,2.0,253.4929872090353,0.3732072943415292
64,10.0,0.16,0.02,0.0,0.0,0.0,260.6809768009792,0.3527866687456144
65,10.0,0.16,0.02,0.0,0.0,0.02,251.0354984759982,0.36897394228975666
66,10.0,0.16,0.02,0.0,0.0,0.2,265.430259624882,0.3448827178730585
67,10.0,0.16,0.02,0.0,0.0,2.0,257.70317628862085,0.3711861717171272
68,10.0,0.16,0.02,0.0,0.02,0.0,265.32978696419195,0.37390287996388333
69,10.0,0.16,0.02,0.0,0.02,0.02,255.5173635434317,0.3367962967757719
70,10.0,0.16,0.02,0.0,0.02,0.2,251.18526644158973,0.3446062286553305
71,10.0,0.16,0.02,0.0,0.02,2.0,251.49233815965724,0.3624723999461665
72,10.0,0.16,0.02,0.0,0.2,0.0,253.17659494206157,0.3748324024976814
73,10.0,0.16,0.02,0.0,0.2,0.02,255.7502706341524,0.3481611512856705
74,10.0,0.16,0.02,0.0,0.2,0.2,254.1363452976449,0.3457797628999153
75,10.0,0.16,0.02,0.0,0.2,2.0,247.92777211797875,0.3885918252378997
76,10.0,0.16,0.02,0.0,2.0,0.0,257.17004076606963,0.3701901937816182
77,10.0,0.16,0.02,0.0,2.0,0.02,246.00448059023725,0.3455796825043257
78,10.0,0.16,0.02,0.0,2.0,0.2,257.6570097688578,0.3610439722862618
79,10.0,0.16,0.02,0.0,2.0,2.0,257.3838043669324,0.361232935554175
80,10.0,0.16,0.02,0.02,0.0,0.0,255.55418737659,0.3514711954523081
81,10.0,0.16,0.02,0.02,0.0,0.02,254.81026909228905,0.377075165543187
82,10.0,0.16,0.02,0.02,0.0,0.2,261.39070411844415,0.372877977198416
