,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,242.0579539459057
1,10.0,0.16,0.0,0.0,0.0,0.02,244.7422082075205
2,10.0,0.16,0.0,0.0,0.0,0.2,246.87429034739253
3,10.0,0.16,0.0,0.0,0.0,2.0,236.01601400207733
4,10.0,0.16,0.0,0.0,0.02,0.0,245.43814633903682
5,10.0,0.16,0.0,0.0,0.02,0.02,244.45694094887168
6,10.0,0.16,0.0,0.0,0.02,0.2,244.2044159858372
7,10.0,0.16,0.0,0.0,0.02,2.0,237.14006388339385
8,10.0,0.16,0.0,0.0,0.2,0.0,241.67626388054904
9,10.0,0.16,0.0,0.0,0.2,0.02,238.6090549517193
10,10.0,0.16,0.0,0.0,0.2,0.2,248.71251869443446
11,10.0,0.16,0.0,0.0,0.2,2.0,234.76640445809105
12,10.0,0.16,0.0,0.0,2.0,0.0,242.16688339178054
13,10.0,0.16,0.0,0.0,2.0,0.02,238.1206845913905
14,10.0,0.16,0.0,0.0,2.0,0.2,236.1260611734703
15,10.0,0.16,0.0,0.0,2.0,2.0,231.5850233316878
16,10.0,0.16,0.0,0.02,0.0,0.0,242.27064400927952
17,10.0,0.16,0.0,0.02,0.0,0.02,240.01816905092568
18,10.0,0.16,0.0,0.02,0.0,0.2,238.87071724530853
19,10.0,0.16,0.0,0.02,0.0,2.0,229.3667574224517
20,10.0,0.16,0.0,0.02,0.02,0.0,247.4537119799073
21,10.0,0.16,0.0,0.02,0.02,0.02,235.0922492008609
22,10.0,0.16,0.0,0.02,0.02,0.2,236.60907528824188
23,10.0,0.16,0.0,0.02,0.02,2.0,240.75031121687604
24,10.0,0.16,0.0,0.02,0.2,0.0,234.5545486662105
25,10.0,0.16,0.0,0.02,0.2,0.02,242.0731370667356
26,10.0,0.16,0.0,0.02,0.2,0.2,246.5214689015028
27,10.0,0.16,0.0,0.02,0.2,2.0,249.4490794157243
28,10.0,0.16,0.0,0.02,2.0,0.0,242.46742531140202
29,10.0,0.16,0.0,0.02,2.0,0.02,242.20559699392865
30,10.0,0.16,0.0,0.02,2.0,0.2,242.65780049749992
31,10.0,0.16,0.0,0.02,2.0,2.0,238.01623789145933
32,10.0,0.16,0.0,0.2,0.0,0.0,241.3602912315752
33,10.0,0.16,0.0,0.2,0.0,0.02,240.6633939148075
34,10.0,0.16,0.0,0.2,0.0,0.2,246.0099343036161
35,10.0,0.16,0.0,0.2,0.0,2.0,239.373735450836
36,10.0,0.16,0.0,0.2,0.02,0.0,241.4215065658157
37,10.0,0.16,0.0,0.2,0.02,0.02,244.3671884913097
38,10.0,0.16,0.0,0.2,0.02,0.2,239.41061550572442
39,10.0,0.16,0.0,0.2,0.02,2.0,235.2630705349876
40,10.0,0.16,0.0,0.2,0.2,0.0,239.447106078419
41,10.0,0.16,0.0,0.2,0.2,0.02,238.63349743082046
42,10.0,0.16,0.0,0.2,0.2,0.2,239.17956505286384
43,10.0,0.16,0.0,0.2,0.2,2.0,241.2352599454213
44,10.0,0.16,0.0,0.2,2.0,0.0,237.73148318375738
45,10.0,0.16,0.0,0.2,2.0,0.02,248.49893860337585
46,10.0,0.16,0.0,0.2,2.0,0.2,240.3012799857445
47,10.0,0.16,0.0,0.2,2.0,2.0,240.17950141286357
48,10.0,0.16,0.0,2.0,0.0,0.0,246.12808156327003
49,10.0,0.16,0.0,2.0,0.0,0.02,238.51517332344662
50,10.0,0.16,0.0,2.0,0.0,0.2,239.09215072759727
51,10.0,0.16,0.0,2.0,0.0,2.0,232.4840912105177
52,10.0,0.16,0.0,2.0,0.02,0.0,239.23046650900864
53,10.0,0.16,0.0,2.0,0.02,0.02,241.2232914117841
