,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,441.18424435298704
1,10.0,0.16,0.0,0.0,0.0,0.02,441.3557054647033
2,10.0,0.16,0.0,0.0,0.0,0.2,435.47939472698135
3,10.0,0.16,0.0,0.0,0.0,2.0,437.1314100714252
4,10.0,0.16,0.0,0.0,0.02,0.0,463.14426725938455
5,10.0,0.16,0.0,0.0,0.02,0.02,441.13025639553877
6,10.0,0.16,0.0,0.0,0.02,0.2,438.83280100130605
7,10.0,0.16,0.0,0.0,0.02,2.0,429.0212396086251
8,10.0,0.16,0.0,0.0,0.2,0.0,433.8009753224262
9,10.0,0.16,0.0,0.0,0.2,0.02,446.50115706184573
10,10.0,0.16,0.0,0.0,0.2,0.2,456.485131588232
11,10.0,0.16,0.0,0.0,0.2,2.0,432.19452085892686
12,10.0,0.16,0.0,0.0,2.0,0.0,441.1120503947757
13,10.0,0.16,0.0,0.0,2.0,0.02,441.9381598369773
14,10.0,0.16,0.0,0.0,2.0,0.2,430.0240219358502
15,10.0,0.16,0.0,0.0,2.0,2.0,439.2096044506736
16,10.0,0.16,0.0,0.02,0.0,0.0,498.7959460441561
17,10.0,0.16,0.0,0.02,0.0,0.02,450.4333900915467
18,10.0,0.16,0.0,0.02,0.0,0.2,467.6372114795308
19,10.0,0.16,0.0,0.02,0.0,2.0,422.9996895415841
20,10.0,0.16,0.0,0.02,0.02,0.0,436.47520339937006
21,10.0,0.16,0.0,0.02,0.02,0.02,432.5594500148927
22,10.0,0.16,0.0,0.02,0.02,0.2,443.99284822928655
23,10.0,0.16,0.0,0.02,0.02,2.0,432.00867888105034
24,10.0,0.16,0.0,0.02,0.2,0.0,429.31107565526435
25,10.0,0.16,0.0,0.02,0.2,0.02,442.0778680460398
26,10.0,0.16,0.0,0.02,0.2,0.2,446.28244041468764
27,10.0,0.16,0.0,0.02,0.2,2.0,436.36434638551833
28,10.0,0.16,0.0,0.02,2.0,0.0,440.6986089890509
29,10.0,0.16,0.0,0.02,2.0,0.02,432.86431268644463
30,10.0,0.16,0.0,0.02,2.0,0.2,458.05585025741294
31,10.0,0.16,0.0,0.02,2.0,2.0,432.3079331752005
32,10.0,0.16,0.0,0.2,0.0,0.0,434.7008087704905
33,10.0,0.16,0.0,0.2,0.0,0.02,437.3198942469455
34,10.0,0.16,0.0,0.2,0.0,0.2,429.82613308866587
35,10.0,0.16,0.0,0.2,0.0,2.0,431.2270910280718
36,10.0,0.16,0.0,0.2,0.02,0.0,425.6011144926931
37,10.0,0.16,0.0,0.2,0.02,0.02,425.6106473170762
38,10.0,0.16,0.0,0.2,0.02,0.2,436.92252087546575
39,10.0,0.16,0.0,0.2,0.02,2.0,430.74518134057786
40,10.0,0.16,0.0,0.2,0.2,0.0,436.45124122805646
41,10.0,0.16,0.0,0.2,0.2,0.02,439.9608633332586
42,10.0,0.16,0.0,0.2,0.2,0.2,435.9989139443098
43,10.0,0.16,0.0,0.2,0.2,2.0,429.30903232555306
44,10.0,0.16,0.0,0.2,2.0,0.0,442.8576979231415
45,10.0,0.16,0.0,0.2,2.0,0.02,442.5458844162236
46,10.0,0.16,0.0,0.2,2.0,0.2,433.0366872439444
