,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,461.3193179070104,0.3099759255386009
1,10.0,0.16,0.0,0.0,0.0,0.02,438.9309443313183,0.3039780934337307
2,10.0,0.16,0.0,0.0,0.0,0.2,450.45225005055977,0.3235591288350831
3,10.0,0.16,0.0,0.0,0.0,2.0,437.70168809034516,0.3171930577906747
4,10.0,0.16,0.0,0.0,0.02,0.0,436.0601266335872,0.32709901053623963
5,10.0,0.16,0.0,0.0,0.02,0.02,442.66723167218925,0.3317768789060673
6,10.0,0.16,0.0,0.0,0.02,0.2,423.1426073993125,0.32631605427057025
7,10.0,0.16,0.0,0.0,0.02,2.0,447.6616853596952,0.30188353768913545
8,10.0,0.16,0.0,0.0,0.2,0.0,454.8651881637893,0.30970336664440473
9,10.0,0.16,0.0,0.0,0.2,0.02,437.5127513239364,0.3249773253859233
10,10.0,0.16,0.0,0.0,0.2,0.2,446.49429886539764,0.3253234776880506
11,10.0,0.16,0.0,0.0,0.2,2.0,431.70739254381175,0.3195019178063587
12,10.0,0.16,0.0,0.0,2.0,0.0,446.6310820148342,0.3148862140742205
13,10.0,0.16,0.0,0.0,2.0,0.02,431.20315312248886,0.31015818133154194
14,10.0,0.16,0.0,0.0,2.0,0.2,441.8958383450944,0.29950215691054444
15,10.0,0.16,0.0,0.0,2.0,2.0,453.80967759166606,0.3415756201827519
16,10.0,0.16,0.0,0.02,0.0,0.0,435.0575097280317,0.3545198446778205
17,10.0,0.16,0.0,0.02,0.0,0.02,443.4881261218408,0.27414312951551273
18,10.0,0.16,0.0,0.02,0.0,0.2,444.4229393277325,0.3228240145240285
19,10.0,0.16,0.0,0.02,0.0,2.0,431.0730073854151,0.32565404133557685
20,10.0,0.16,0.0,0.02,0.02,0.0,444.53422997018515,0.3224049095193327
21,10.0,0.16,0.0,0.02,0.02,0.02,455.03110689685684,0.30030195242090635
22,10.0,0.16,0.0,0.02,0.02,0.2,444.7860583510237,0.28960639934235605
23,10.0,0.16,0.0,0.02,0.02,2.0,435.6799197201045,0.3254402492457143
24,10.0,0.16,0.0,0.02,0.2,0.0,443.3144498821652,0.29569839633169365
25,10.0,0.16,0.0,0.02,0.2,0.02,450.9556611087195,0.3210239190962283
26,10.0,0.16,0.0,0.02,0.2,0.2,459.6088908845858,0.32329212772319776
27,10.0,0.16,0.0,0.02,0.2,2.0,443.240689129978,0.338127036206956
28,10.0,0.16,0.0,0.02,2.0,0.0,445.8032274548858,0.30318238927921404
29,10.0,0.16,0.0,0.02,2.0,0.02,435.65930360412176,0.2998258951011124
30,10.0,0.16,0.0,0.02,2.0,0.2,445.305078857205,0.32949667012492384
31,10.0,0.16,0.0,0.02,2.0,2.0,438.6565731194482,0.3227529586536669
32,10.0,0.16,0.0,0.2,0.0,0.0,452.3067005340016,0.28616568570585715
33,10.0,0.16,0.0,0.2,0.0,0.02,447.6294098927729,0.3150548813526934
34,10.0,0.16,0.0,0.2,0.0,0.2,449.5348986554284,0.304326937554699
35,10.0,0.16,0.0,0.2,0.0,2.0,434.111214254443,0.33727696900249443
36,10.0,0.16,0.0,0.2,0.02,0.0,453.5916164941368,0.3180823123558537
37,10.0,0.16,0.0,0.2,0.02,0.02,442.5778188416565,0.34112907857428526
38,10.0,0.16,0.0,0.2,0.02,0.2,440.9461986210284,0.32305026386008884
39,10.0,0.16,0.0,0.2,0.02,2.0,439.19927472377486,0.2903687305847117
