,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE
0,10.0,0.16,0.0,0.0,0.0,0.0,442.38164166981363
1,10.0,0.16,0.0,0.0,0.0,0.02,461.4919875842794
2,10.0,0.16,0.0,0.0,0.0,0.2,458.37697678249344
3,10.0,0.16,0.0,0.0,0.0,2.0,445.3539221604966
4,10.0,0.16,0.0,0.0,0.02,0.0,465.38520153792257
5,10.0,0.16,0.0,0.0,0.02,0.02,453.5883634249715
6,10.0,0.16,0.0,0.0,0.02,0.2,453.2782443785542
7,10.0,0.16,0.0,0.0,0.02,2.0,446.5678995365917
8,10.0,0.16,0.0,0.0,0.2,0.0,443.5081967237751
9,10.0,0.16,0.0,0.0,0.2,0.02,455.370401362157
10,10.0,0.16,0.0,0.0,0.2,0.2,454.50411325441684
11,10.0,0.16,0.0,0.0,0.2,2.0,454.7027020413278
12,10.0,0.16,0.0,0.0,2.0,0.0,457.9893067764452
13,10.0,0.16,0.0,0.0,2.0,0.02,435.2977704332612
14,10.0,0.16,0.0,0.0,2.0,0.2,447.62991039614406
15,10.0,0.16,0.0,0.0,2.0,2.0,434.60328040725403
16,10.0,0.16,0.0,0.02,0.0,0.0,441.6408578678299
17,10.0,0.16,0.0,0.02,0.0,0.02,449.987194211542
18,10.0,0.16,0.0,0.02,0.0,0.2,446.99891414088637
19,10.0,0.16,0.0,0.02,0.0,2.0,450.43247011451257
20,10.0,0.16,0.0,0.02,0.02,0.0,450.1657403785153
21,10.0,0.16,0.0,0.02,0.02,0.02,448.0560124282089
22,10.0,0.16,0.0,0.02,0.02,0.2,448.2277217238088
23,10.0,0.16,0.0,0.02,0.02,2.0,450.6853596437668
24,10.0,0.16,0.0,0.02,0.2,0.0,445.6138402681238
25,10.0,0.16,0.0,0.02,0.2,0.02,456.7486436044909
26,10.0,0.16,0.0,0.02,0.2,0.2,455.34862304242057
27,10.0,0.16,0.0,0.02,0.2,2.0,444.84891117503525
28,10.0,0.16,0.0,0.02,2.0,0.0,462.65472675909655
29,10.0,0.16,0.0,0.02,2.0,0.02,440.6537292676372
30,10.0,0.16,0.0,0.02,2.0,0.2,451.20155415889235
31,10.0,0.16,0.0,0.02,2.0,2.0,432.0079885733136
32,10.0,0.16,0.0,0.2,0.0,0.0,447.4750724179167
33,10.0,0.16,0.0,0.2,0.0,0.02,451.4770607806744
34,10.0,0.16,0.0,0.2,0.0,0.2,446.7701495075329
35,10.0,0.16,0.0,0.2,0.0,2.0,435.5572107235642
36,10.0,0.16,0.0,0.2,0.02,0.0,447.484137162799
37,10.0,0.16,0.0,0.2,0.02,0.02,450.0972803146498
38,10.0,0.16,0.0,0.2,0.02,0.2,442.5629673890785
39,10.0,0.16,0.0,0.2,0.02,2.0,451.16462496851074
40,10.0,0.16,0.0,0.2,0.2,0.0,456.3894167446825
41,10.0,0.16,0.0,0.2,0.2,0.02,452.02586736608185
42,10.0,0.16,0.0,0.2,0.2,0.2,470.9427426624492
43,10.0,0.16,0.0,0.2,0.2,2.0,452.86718096887495
44,10.0,0.16,0.0,0.2,2.0,0.0,447.6826322519069
45,10.0,0.16,0.0,0.2,2.0,0.02,439.8140292740226
46,10.0,0.16,0.0,0.2,2.0,0.2,448.09680220373235
47,10.0,0.16,0.0,0.2,2.0,2.0,432.9269772548584
48,10.0,0.16,0.0,2.0,0.0,0.0,451.7876970729308
49,10.0,0.16,0.0,2.0,0.0,0.02,458.3279257619968
