,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,442.38164166981363,0.3636665565232199
1,10.0,0.16,0.0,0.0,0.0,0.02,461.4919875842794,0.35067043182646324
2,10.0,0.16,0.0,0.0,0.0,0.2,458.37697678249344,0.3533756068280123
3,10.0,0.16,0.0,0.0,0.0,2.0,445.3539221604966,0.350444530131997
4,10.0,0.16,0.0,0.0,0.02,0.0,465.38520153792257,0.3247720262781444
5,10.0,0.16,0.0,0.0,0.02,0.02,453.5883634249715,0.3841709307833612
6,10.0,0.16,0.0,0.0,0.02,0.2,453.2782443785542,0.326832094811645
7,10.0,0.16,0.0,0.0,0.02,2.0,446.5678995365917,0.3579180137348432
8,10.0,0.16,0.0,0.0,0.2,0.0,443.5081967237751,0.3566902085391833
9,10.0,0.16,0.0,0.0,0.2,0.02,455.370401362157,0.3690111547632297
10,10.0,0.16,0.0,0.0,0.2,0.2,454.50411325441684,0.35359031248974343
11,10.0,0.16,0.0,0.0,0.2,2.0,454.7027020413278,0.3614113656382645
12,10.0,0.16,0.0,0.0,2.0,0.0,457.9893067764452,0.3431528343236324
13,10.0,0.16,0.0,0.0,2.0,0.02,435.2977704332612,0.3640170144083265
14,10.0,0.16,0.0,0.0,2.0,0.2,447.62991039614406,0.3059884351980325
15,10.0,0.16,0.0,0.0,2.0,2.0,434.60328040725403,0.3694986555786373
16,10.0,0.16,0.0,0.02,0.0,0.0,441.6408578678299,0.327355743697178
17,10.0,0.16,0.0,0.02,0.0,0.02,449.987194211542,0.3677604436975103
18,10.0,0.16,0.0,0.02,0.0,0.2,446.99891414088637,0.3600689042480465
19,10.0,0.16,0.0,0.02,0.0,2.0,450.43247011451257,0.35879815500123
20,10.0,0.16,0.0,0.02,0.02,0.0,450.1657403785153,0.3364872346696061
21,10.0,0.16,0.0,0.02,0.02,0.02,448.0560124282089,0.3489000337636741
22,10.0,0.16,0.0,0.02,0.02,0.2,448.2277217238088,0.3685480979994896
23,10.0,0.16,0.0,0.02,0.02,2.0,450.6853596437668,0.3566539061968311
24,10.0,0.16,0.0,0.02,0.2,0.0,445.6138402681238,0.3690425188743605
25,10.0,0.16,0.0,0.02,0.2,0.02,456.7486436044909,0.3655427028747612
26,10.0,0.16,0.0,0.02,0.2,0.2,455.34862304242057,0.3319403801966892
27,10.0,0.16,0.0,0.02,0.2,2.0,444.84891117503525,0.3993188906007055
28,10.0,0.16,0.0,0.02,2.0,0.0,462.65472675909655,0.3619784418315602
29,10.0,0.16,0.0,0.02,2.0,0.02,440.6537292676372,0.34808455623858503
30,10.0,0.16,0.0,0.02,2.0,0.2,451.20155415889235,0.35379306444161335
31,10.0,0.16,0.0,0.02,2.0,2.0,432.0079885733136,0.3687978226773321
32,10.0,0.16,0.0,0.2,0.0,0.0,447.4750724179167,0.3506011227815025
33,10.0,0.16,0.0,0.2,0.0,0.02,451.4770607806744,0.3475645955136803
34,10.0,0.16,0.0,0.2,0.0,0.2,446.7701495075329,0.3649057616892746
35,10.0,0.16,0.0,0.2,0.0,2.0,435.5572107235642,0.3554135379278869
36,10.0,0.16,0.0,0.2,0.02,0.0,447.484137162799,0.3753588067563384
37,10.0,0.16,0.0,0.2,0.02,0.02,450.0972803146498,0.346810886782132
38,10.0,0.16,0.0,0.2,0.02,0.2,442.5629673890785,0.33567895054546404
39,10.0,0.16,0.0,0.2,0.02,2.0,451.16462496851074,0.3077949209072229
40,10.0,0.16,0.0,0.2,0.2,0.0,456.3894167446825,0.33206425735621853
41,10.0,0.16,0.0,0.2,0.2,0.02,452.02586736608185,0.3357681322009232
42,10.0,0.16,0.0,0.2,0.2,0.2,470.9427426624492,0.3606797305066949
43,10.0,0.16,0.0,0.2,0.2,2.0,452.86718096887495,0.3329961635669982
44,10.0,0.16,0.0,0.2,2.0,0.0,447.6826322519069,0.3313995138834152
45,10.0,0.16,0.0,0.2,2.0,0.02,439.8140292740226,0.377284618593591
46,10.0,0.16,0.0,0.2,2.0,0.2,448.09680220373235,0.3607299510569813
47,10.0,0.16,0.0,0.2,2.0,2.0,432.9269772548584,0.3756947270638338
48,10.0,0.16,0.0,2.0,0.0,0.0,451.7876970729308,0.3529261704992157
49,10.0,0.16,0.0,2.0,0.0,0.02,458.3279257619968,
50,10.0,0.16,0.0,2.0,0.0,0.2,461.3030678965602,0.3273972576856935
51,10.0,0.16,0.0,2.0,0.0,2.0,445.0848575102974,0.36110466692220905
52,10.0,0.16,0.0,2.0,0.02,0.0,440.1965483519365,0.363454714572747
53,10.0,0.16,0.0,2.0,0.02,0.02,466.8453771423174,0.35343404826404295
54,10.0,0.16,0.0,2.0,0.02,0.2,458.2826146763282,0.3731278723320891
55,10.0,0.16,0.0,2.0,0.02,2.0,451.2059033481179,0.37739539328793037
56,10.0,0.16,0.0,2.0,0.2,0.0,452.11429961523834,0.3405285493508275
57,10.0,0.16,0.0,2.0,0.2,0.02,463.6377253792373,0.35354664989219586
58,10.0,0.16,0.0,2.0,0.2,0.2,445.2938831590527,
59,10.0,0.16,0.0,2.0,0.2,2.0,451.618739780678,0.35231189762682963
60,10.0,0.16,0.0,2.0,2.0,0.0,475.36741579279885,0.3513924341288833
61,10.0,0.16,0.0,2.0,2.0,0.02,444.0243962546954,0.34753914535322733
62,10.0,0.16,0.0,2.0,2.0,0.2,460.8168665731642,0.3651717058096003
63,10.0,0.16,0.0,2.0,2.0,2.0,448.90382641837317,0.37004552469985447
64,10.0,0.16,0.02,0.0,0.0,0.0,447.1576134762232,0.35077313455657266
65,10.0,0.16,0.02,0.0,0.0,0.02,458.85642601893625,0.3523196577368761
66,10.0,0.16,0.02,0.0,0.0,0.2,442.71256404254126,0.3376503235666038
67,10.0,0.16,0.02,0.0,0.0,2.0,438.0255764801242,0.35403175674479626
68,10.0,0.16,0.02,0.0,0.02,0.0,443.7414406676737,0.3279301788119909
69,10.0,0.16,0.02,0.0,0.02,0.02,453.4279084583538,0.3497141807388455
