,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,MSE,AUPR
0,10.0,0.16,0.0,0.0,0.0,0.0,421.6275737281217,0.3242861504036816
1,10.0,0.16,0.0,0.0,0.0,0.02,417.7513868773301,0.3386327115174771
2,10.0,0.16,0.0,0.0,0.0,0.2,427.3809859887483,0.34851474730028786
3,10.0,0.16,0.0,0.0,0.0,2.0,415.75033784647115,0.32318635797039
4,10.0,0.16,0.0,0.0,0.02,0.0,426.9412417867371,0.32460420740939483
5,10.0,0.16,0.0,0.0,0.02,0.02,430.3175728111956,0.36382351684443337
6,10.0,0.16,0.0,0.0,0.02,0.2,422.74674838843697,0.3306727432515451
7,10.0,0.16,0.0,0.0,0.02,2.0,425.1612270718738,0.3500835804738919
8,10.0,0.16,0.0,0.0,0.2,0.0,424.1206641073164,0.34048055082798045
9,10.0,0.16,0.0,0.0,0.2,0.02,424.6077898226255,0.35467701979392996
10,10.0,0.16,0.0,0.0,0.2,0.2,429.57713065111085,0.35059638936155985
11,10.0,0.16,0.0,0.0,0.2,2.0,426.9214140345119,0.3588818453992778
12,10.0,0.16,0.0,0.0,2.0,0.0,423.88121805013606,0.3411535428203827
13,10.0,0.16,0.0,0.0,2.0,0.02,428.8615698927762,0.33774793040270645
14,10.0,0.16,0.0,0.0,2.0,0.2,418.63248011061927,0.3618559483969549
15,10.0,0.16,0.0,0.0,2.0,2.0,420.6391844143242,0.3636338860157082
16,10.0,0.16,0.0,0.02,0.0,0.0,429.7017622013005,0.3237172904855142
17,10.0,0.16,0.0,0.02,0.0,0.02,426.13891241566523,0.3351627067894424
18,10.0,0.16,0.0,0.02,0.0,0.2,420.2857409380173,0.35165941253167743
19,10.0,0.16,0.0,0.02,0.0,2.0,434.8814851512312,0.36371081506636216
20,10.0,0.16,0.0,0.02,0.02,0.0,424.21298323159743,0.3304855806229947
21,10.0,0.16,0.0,0.02,0.02,0.02,424.64031105789087,0.3321185849441764
22,10.0,0.16,0.0,0.02,0.02,0.2,420.5731616728138,0.34187409535131513
23,10.0,0.16,0.0,0.02,0.02,2.0,418.2206533363303,0.3215741750344389
24,10.0,0.16,0.0,0.02,0.2,0.0,421.9210533081022,0.3224319225151926
25,10.0,0.16,0.0,0.02,0.2,0.02,421.32329356896753,0.3891818199975823
26,10.0,0.16,0.0,0.02,0.2,0.2,419.7576492834165,0.2993940256955692
27,10.0,0.16,0.0,0.02,0.2,2.0,415.366658599244,0.36072605732334095
28,10.0,0.16,0.0,0.02,2.0,0.0,431.4495408800962,0.28595162677473673
29,10.0,0.16,0.0,0.02,2.0,0.02,427.1187461084945,0.33306364102143154
30,10.0,0.16,0.0,0.02,2.0,0.2,413.8843396471998,0.3494200245163643
31,10.0,0.16,0.0,0.02,2.0,2.0,433.29184993283485,0.3184538986186314
32,10.0,0.16,0.0,0.2,0.0,0.0,420.7732496029928,0.33117850602419086
33,10.0,0.16,0.0,0.2,0.0,0.02,425.17436756804,0.3339872447833629
34,10.0,0.16,0.0,0.2,0.0,0.2,423.4542515890663,0.33124711095986303
35,10.0,0.16,0.0,0.2,0.0,2.0,420.4500516279042,0.3594900912581635
36,10.0,0.16,0.0,0.2,0.02,0.0,424.2216608652884,0.3289606689443612
37,10.0,0.16,0.0,0.2,0.02,0.02,424.05023708602585,0.3218205466096748
38,10.0,0.16,0.0,0.2,0.02,0.2,420.85320539286215,0.3515735585720539
39,10.0,0.16,0.0,0.2,0.02,2.0,418.7935691182299,0.3440428268533808
40,10.0,0.16,0.0,0.2,0.2,0.0,429.25617261214205,0.29328873626296953
41,10.0,0.16,0.0,0.2,0.2,0.02,428.6859852576986,0.3426429928769583
42,10.0,0.16,0.0,0.2,0.2,0.2,422.65474564159587,0.33503937805974837
43,10.0,0.16,0.0,0.2,0.2,2.0,427.47198419273377,0.3409910182258353
44,10.0,0.16,0.0,0.2,2.0,0.0,427.3545227579935,0.34859104055575946
45,10.0,0.16,0.0,0.2,2.0,0.02,425.3845045154506,0.3408428094028074
46,10.0,0.16,0.0,0.2,2.0,0.2,433.0925335522683,0.3351237321292803
47,10.0,0.16,0.0,0.2,2.0,2.0,428.19699772511046,0.3545385269667144
48,10.0,0.16,0.0,2.0,0.0,0.0,426.6814546499908,0.3385775368740428
49,10.0,0.16,0.0,2.0,0.0,0.02,432.93618136754486,0.3239709756166021
