,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
2968,30.0,1.28,0.2,0.02,0.2,0.0,0.401009358487275
8879,90.0,0.64,0.2,0.2,2.0,2.0,0.3036375281297705
714,10.0,0.64,2.0,0.0,0.2,0.2,0.3581913186738894
5697,60.0,0.64,0.02,0.0,0.0,0.02,0.38755903402677233
3815,40.0,0.64,2.0,0.2,0.02,2.0,0.3560975061598602
1533,20.0,0.32,2.0,2.0,2.0,0.02,0.3499095096776607
7415,80.0,0.16,2.0,2.0,0.02,2.0,0.3339580444634583
1953,20.0,1.28,0.2,0.2,0.0,0.02,0.39171637788686703
2744,30.0,0.64,0.2,2.0,0.2,0.0,0.41378964176654565
4355,50.0,0.32,0.0,0.0,0.0,2.0,0.4154950278897891
3272,40.0,0.16,2.0,0.0,0.2,0.0,0.39656511619691426
545,10.0,0.64,0.0,0.2,0.0,0.02,0.41859356856917773
7354,80.0,0.16,0.2,2.0,0.2,0.2,0.37668726860545343
7203,80.0,0.16,0.0,0.2,0.0,2.0,0.41010882985227376
5604,60.0,0.32,2.0,0.2,0.02,0.0,0.3962742585128148
4162,50.0,0.16,0.02,0.0,0.0,0.2,0.43826489140186553
5283,60.0,0.16,0.2,0.2,0.0,2.0,0.4177200808406666
7868,80.0,0.64,0.2,2.0,2.0,0.0,0.42076276354157355
287,10.0,0.32,0.0,0.02,2.0,2.0,0.305423299668325
6171,70.0,0.16,0.0,0.02,0.2,2.0,0.31368721376472153
8857,90.0,0.64,0.2,0.02,0.2,0.02,0.42941571801872813
7742,80.0,0.64,0.0,2.0,2.0,0.2,0.3566381148473538
7196,80.0,0.16,0.0,0.02,2.0,0.0,0.4129137951319514
729,10.0,0.64,2.0,0.02,0.2,0.02,0.38486065393565405
8935,90.0,0.64,2.0,0.2,0.02,2.0,0.34119947977780873
989,10.0,1.28,2.0,0.02,2.0,0.02,0.3562527363605462
4619,50.0,0.64,0.0,0.0,0.2,2.0,0.32437165950848446
5925,60.0,1.28,0.0,0.2,0.02,0.02,0.4330467136384968
1151,20.0,0.16,0.02,2.0,2.0,2.0,0.2614294468518332
6115,60.0,1.28,2.0,0.2,0.0,2.0,0.3912575024919414
5974,60.0,1.28,0.02,0.02,0.02,0.2,0.4105402533078639
