,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
6866,70.0,0.64,2.0,0.02,0.0,0.2,0.4273011357740716
4392,50.0,0.32,0.0,0.2,0.2,0.0,0.42693741271572866
9150,90.0,1.28,0.2,2.0,2.0,0.2,0.37871178419620044
6640,70.0,0.32,2.0,2.0,0.0,0.0,0.4457329047492121
97,10.0,0.16,0.02,0.2,0.0,0.02,0.42064930046930177
1184,20.0,0.16,0.2,0.2,0.0,0.0,0.4240205058712865
3708,40.0,0.64,0.02,2.0,2.0,0.0,0.4289577359571458
8245,90.0,0.16,0.0,2.0,0.02,0.02,0.4355951665597177
7153,70.0,1.28,2.0,2.0,0.0,0.02,0.4329967031037407
2133,30.0,0.16,0.02,0.02,0.02,0.02,0.4259811995027445
4335,50.0,0.16,2.0,0.2,2.0,2.0,0.3064749049052379
4425,50.0,0.32,0.02,0.0,0.2,0.02,0.43343076988615264
1377,20.0,0.32,0.02,0.2,0.0,0.02,0.4235027013791454
2801,30.0,0.64,2.0,2.0,0.0,0.02,0.4300789076058245
9060,90.0,1.28,0.02,0.2,0.02,0.0,0.41319614021399087
2991,30.0,1.28,0.2,0.2,2.0,2.0,0.3402592627144622
6721,70.0,0.64,0.02,0.0,0.0,0.02,0.42426445519760986
3870,40.0,1.28,0.0,0.02,2.0,0.2,0.3997334096549575
779,10.0,1.28,0.0,0.0,0.2,2.0,0.3572348379667277
4698,50.0,0.64,0.02,0.02,0.2,0.2,0.4215703363880795
7849,80.0,0.64,0.2,0.2,0.2,0.02,0.4326280240781598
2574,30.0,0.64,0.0,0.0,2.0,0.2,0.4020273035073928
8587,90.0,0.32,0.2,0.0,0.2,2.0,0.3389598721466739
7796,80.0,0.64,0.02,2.0,0.02,0.0,0.42991090689789274
303,10.0,0.32,0.0,0.2,2.0,2.0,0.34145491944211076
3138,40.0,0.16,0.02,0.0,0.0,0.2,0.4294574382011292
7677,80.0,0.32,2.0,2.0,2.0,0.02,0.3929653990910873
1973,20.0,1.28,0.2,2.0,0.02,0.02,0.4155661847690374
7294,80.0,0.16,0.02,2.0,2.0,0.2,0.3549084726334325
1735,20.0,0.64,2.0,0.0,0.02,2.0,0.3863102784467724
5674,60.0,0.64,0.0,0.2,0.2,0.2,0.41613929863326143
1899,20.0,1.28,0.02,0.2,0.2,2.0,0.3632523200677453
7574,80.0,0.32,0.2,0.02,0.02,0.2,0.4266913075173735
4992,50.0,1.28,0.2,0.0,0.0,0.0,0.45595611831784666
7903,80.0,0.64,2.0,0.02,2.0,2.0,0.3496846957407952
6498,70.0,0.32,0.02,0.2,0.0,0.2,0.44590899327276495
9133,90.0,1.28,0.2,0.2,2.0,0.02,0.42180881741489323
