,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
4260,50.0,0.16,0.2,0.2,0.02,0.0,0.4475303017737353
5560,60.0,0.32,0.2,2.0,0.2,0.0,0.4320425631305119
7651,80.0,0.32,2.0,0.2,0.0,2.0,0.4511458177276112
4209,50.0,0.16,0.02,2.0,0.0,0.02,0.4399496433631535
8567,90.0,0.32,0.02,2.0,0.02,2.0,0.38876773152990607
8623,90.0,0.32,0.2,0.2,2.0,2.0,0.31554761406983295
1916,20.0,1.28,0.02,2.0,2.0,0.0,0.4212014904419083
6695,70.0,0.64,0.0,0.2,0.02,2.0,0.39599398236969374
6850,70.0,0.64,2.0,0.0,0.0,0.2,0.44943247746663173
3515,40.0,0.32,0.2,2.0,0.2,2.0,0.3416756325858315
5892,60.0,1.28,0.0,0.0,0.02,0.0,0.4462311045990178
7361,80.0,0.16,2.0,0.0,0.0,0.02,0.43144257496983857
5438,60.0,0.32,0.0,2.0,2.0,0.2,0.39355644687137026
2435,30.0,0.32,0.2,0.0,0.0,2.0,0.4503919190317451
5339,60.0,0.16,2.0,0.02,0.2,2.0,0.3211298936321528
1605,20.0,0.64,0.02,0.0,0.02,0.02,0.4261473982335143
1445,20.0,0.32,0.2,0.2,0.02,0.02,0.4376069617423316
6120,60.0,1.28,2.0,0.2,0.2,0.0,0.4358036209462178
2790,30.0,0.64,2.0,0.2,0.02,0.2,0.42069664208339047
353,10.0,0.32,0.02,0.2,0.0,0.02,0.4301349519819668
7676,80.0,0.32,2.0,2.0,2.0,0.0,0.40914253217294827
9157,90.0,1.28,2.0,0.0,0.02,0.02,0.44089353579992774
6094,60.0,1.28,2.0,0.0,2.0,0.2,0.3838241819966082
935,10.0,1.28,0.2,0.2,0.02,2.0,0.3603143186644443
1430,20.0,0.32,0.2,0.02,0.02,0.2,0.4498046723406756
5420,60.0,0.32,0.0,0.2,2.0,0.0,0.4307959969493196
5219,60.0,0.16,0.02,0.2,0.0,2.0,0.4434516439444931
6467,70.0,0.32,0.02,0.0,0.0,2.0,0.44440111211484473
3411,40.0,0.32,0.02,0.02,0.0,2.0,0.45340934226606655
464,10.0,0.32,2.0,0.02,0.0,0.0,0.45552520709372735
2968,30.0,1.28,0.2,0.02,0.2,0.0,0.4148272765850152
6562,70.0,0.32,0.2,0.2,0.0,0.2,0.46770605765560236
4794,50.0,0.64,0.2,2.0,0.2,0.2,0.4248482537844761
3231,40.0,0.16,0.2,0.02,2.0,2.0,0.2932226886303355
1242,20.0,0.16,2.0,0.02,0.2,0.2,0.38407134103327445
1131,20.0,0.16,0.02,0.2,0.2,2.0,0.3360449115296444
4411,50.0,0.32,0.0,2.0,0.2,2.0,0.3684596539841683
729,10.0,0.64,2.0,0.02,0.2,0.02,0.4087881464694911
8521,90.0,0.32,0.02,0.0,0.2,0.02,0.4428822409897835
7983,80.0,1.28,0.0,0.2,2.0,2.0,0.33628730585390215
2843,30.0,1.28,0.0,0.02,0.2,2.0,0.36573621106767207
1325,20.0,0.32,0.0,0.2,2.0,0.02,0.43008026293710183
6974,70.0,1.28,0.0,2.0,2.0,0.2,0.398878781245244
9029,90.0,1.28,0.02,0.0,0.02,0.02,0.44002535038015533
8159,80.0,1.28,2.0,0.02,2.0,2.0,0.34208668554703336
624,10.0,0.64,0.02,2.0,0.0,0.0,0.44993330297113243
3239,40.0,0.16,0.2,0.2,0.02,2.0,0.40559614792266235
3001,30.0,1.28,0.2,2.0,0.2,0.02,0.44179955244464064
1115,20.0,0.16,0.02,0.02,0.2,2.0,0.3421704880423766
4136,50.0,0.16,0.0,0.2,0.2,0.0,0.44896926150680017
5083,50.0,1.28,2.0,0.02,0.2,2.0,0.35520043215147273
6289,70.0,0.16,0.2,0.02,0.0,0.02,0.4487304681401678
1523,20.0,0.32,2.0,2.0,0.0,2.0,0.41244169648714163
7695,80.0,0.64,0.0,0.0,2.0,2.0,0.3453580781115466
1357,20.0,0.32,0.02,0.0,2.0,0.02,0.42455634646261686
2585,30.0,0.64,0.0,0.02,0.2,0.02,0.4404391744821054
9114,90.0,1.28,0.2,0.02,0.2,0.2,0.4161952959781632
7152,70.0,1.28,2.0,2.0,0.0,0.0,0.4488534275010611
5698,60.0,0.64,0.02,0.0,0.0,0.2,0.43957178195775337
4631,50.0,0.64,0.0,0.02,0.02,2.0,0.40599530055963234
1892,20.0,1.28,0.02,0.2,0.02,0.0,0.4441293273302541
