,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
3055,30.0,1.28,2.0,0.2,2.0,2.0,0.30782152234785787
5811,60.0,0.64,0.2,2.0,0.0,2.0,0.36559511761843794
1778,20.0,0.64,2.0,2.0,0.0,0.2,0.41129959235710173
2887,30.0,1.28,0.02,0.0,0.02,2.0,0.3602388946840976
7068,70.0,1.28,0.2,0.02,2.0,0.0,0.41955778552520434
1739,20.0,0.64,2.0,0.0,0.2,2.0,0.33180603231258443
4051,40.0,1.28,2.0,0.02,0.0,2.0,0.3935325351446268
3945,40.0,1.28,0.02,0.2,0.2,0.02,0.42072272884089557
1040,20.0,0.16,0.0,0.02,0.0,0.0,0.4265565066772338
4587,50.0,0.32,2.0,0.2,0.2,2.0,0.3111467824761219
8789,90.0,0.64,0.02,0.02,0.02,0.02,0.4228980733139615
4251,50.0,0.16,0.2,0.02,0.2,2.0,0.2993160058340953
2466,30.0,0.32,0.2,0.2,0.0,0.2,0.429188291609226
649,10.0,0.64,0.2,0.0,0.2,0.02,0.37514112340119943
2302,30.0,0.16,2.0,2.0,2.0,0.2,0.3005496102632819
1178,20.0,0.16,0.2,0.02,0.2,0.2,0.37597435963961384
3418,40.0,0.32,0.02,0.02,0.2,0.2,0.3887916280779017
7519,80.0,0.32,0.02,0.02,2.0,2.0,0.29379782964917317
7743,80.0,0.64,0.0,2.0,2.0,2.0,0.319515653350049
272,10.0,0.32,0.0,0.02,0.0,0.0,0.4288828537836451
337,10.0,0.32,0.02,0.02,0.0,0.02,0.4171570193098607
2737,30.0,0.64,0.2,2.0,0.0,0.02,0.4170456478933931
8571,90.0,0.32,0.02,2.0,0.2,2.0,0.33091501031049614
7421,80.0,0.16,2.0,2.0,2.0,0.02,0.32461784114721753
6666,70.0,0.64,0.0,0.0,0.2,0.2,0.403406597139256
8160,80.0,1.28,2.0,0.2,0.0,0.0,0.4209275806436192
4037,40.0,1.28,2.0,0.0,0.02,0.02,0.42043469249817644
568,10.0,0.64,0.0,2.0,0.2,0.0,0.3909055178928428
4859,50.0,0.64,2.0,2.0,0.2,2.0,0.30746758818462977
362,10.0,0.32,0.02,0.2,0.2,0.2,0.36987575320671207
7194,80.0,0.16,0.0,0.02,0.2,0.2,0.3905154429482596
6821,70.0,0.64,0.2,0.2,0.02,0.02,0.4190180546045287
1352,20.0,0.32,0.02,0.0,0.2,0.0,0.4106671506599413
5175,60.0,0.16,0.0,2.0,0.02,2.0,0.3405149996013239
8642,90.0,0.32,2.0,0.0,0.0,0.2,0.41354881110370795
8469,90.0,0.32,0.0,0.02,0.02,0.02,0.4160455740148614
8348,90.0,0.16,0.2,0.02,2.0,0.0,0.41903827215236045
4210,50.0,0.16,0.02,2.0,0.0,0.2,0.4304965291449387
6172,70.0,0.16,0.0,0.02,2.0,0.0,0.4187019033020871
7441,80.0,0.32,0.0,0.02,0.0,0.02,0.44478231287788045
4565,50.0,0.32,2.0,0.02,0.02,0.02,0.4085644808972939
666,10.0,0.64,0.2,0.02,0.2,0.2,0.3894819424741404
1735,20.0,0.64,2.0,0.0,0.02,2.0,0.3580117745947916
5519,60.0,0.32,0.2,0.0,2.0,2.0,0.30565402378720646
8568,90.0,0.32,0.02,2.0,0.2,0.0,0.4301694215599716
1791,20.0,0.64,2.0,2.0,2.0,2.0,0.3218557050995734
6707,70.0,0.64,0.0,2.0,0.0,2.0,0.3313286954554872
6248,70.0,0.16,0.02,0.2,0.2,0.0,0.39565848229278705
7578,80.0,0.32,0.2,0.02,0.2,0.2,0.39471207039588363
7618,80.0,0.32,2.0,0.0,0.0,0.2,0.4243153421348626
7611,80.0,0.32,0.2,2.0,0.2,2.0,0.3166103594016651
