,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
761,10.0,0.64,2.0,2.0,0.2,0.02,0.3795565028737308
4426,50.0,0.32,0.02,0.0,0.2,0.2,0.39457734361313224
3304,40.0,0.16,2.0,0.2,0.2,0.0,0.3909215870482316
4340,50.0,0.16,2.0,2.0,0.02,0.0,0.40640735114822096
221,10.0,0.16,2.0,0.02,2.0,0.02,0.34496229579825755
6608,70.0,0.32,2.0,0.02,0.0,0.0,0.37927162256743474
3542,40.0,0.32,2.0,0.02,0.02,0.2,0.38731332106016114
2758,30.0,0.64,2.0,0.0,0.02,0.2,0.3742450598594827
1344,20.0,0.32,0.02,0.0,0.0,0.0,0.40227837999589666
7398,80.0,0.16,2.0,0.2,0.02,0.2,0.4079771765523028
2970,30.0,1.28,0.2,0.02,0.2,0.2,0.3849397161186949
7331,80.0,0.16,0.2,0.2,0.0,2.0,0.41900011713832647
1946,20.0,1.28,0.2,0.02,0.2,0.2,0.375002735679977
2588,30.0,0.64,0.0,0.02,2.0,0.0,0.4156273386339179
4842,50.0,0.64,2.0,0.2,0.2,0.2,0.36707211425084885
7475,80.0,0.32,0.0,2.0,0.0,2.0,0.3932855499837877
2660,30.0,0.64,0.02,0.2,0.02,0.0,0.39295127933465823
7516,80.0,0.32,0.02,0.02,2.0,0.0,0.4427164877152115
9071,90.0,1.28,0.02,0.2,2.0,2.0,0.3093037499265285
7253,80.0,0.16,0.02,0.02,0.02,0.02,0.42228428183248734
5726,60.0,0.64,0.02,0.02,2.0,0.2,0.3827258450908628
6425,70.0,0.32,0.0,0.02,0.2,0.02,0.421847524258311
4290,50.0,0.16,2.0,0.0,0.0,0.2,0.42645568825211355
2405,30.0,0.32,0.02,0.2,0.02,0.02,0.4312063917345232
887,10.0,1.28,0.02,2.0,0.02,2.0,0.32459705398395
454,10.0,0.32,2.0,0.0,0.02,0.2,0.37842027362794517
4911,50.0,1.28,0.0,0.2,2.0,2.0,0.30953091792130477
5978,60.0,1.28,0.02,0.02,0.2,0.2,0.3893310965193454
7432,80.0,0.32,0.0,0.0,0.2,0.0,0.42419468779850306
2154,30.0,0.16,0.02,0.2,0.2,0.2,0.39195468299814884
7070,70.0,1.28,0.2,0.02,2.0,0.2,0.37495341482584504
6990,70.0,1.28,0.02,0.0,2.0,0.2,0.36890683324089185
1798,20.0,1.28,0.0,0.0,0.02,0.2,0.38591344393840993
1532,20.0,0.32,2.0,2.0,2.0,0.0,0.380993680227433
1695,20.0,0.64,0.2,0.02,2.0,2.0,0.3257333583088962
8923,90.0,0.64,2.0,0.02,0.2,2.0,0.3295864586856034
1805,20.0,1.28,0.0,0.0,2.0,0.02,0.4092457315882468
8270,90.0,0.16,0.02,0.0,2.0,0.2,0.3376186970371687
5006,50.0,1.28,0.2,0.0,2.0,0.2,0.3700120412878397
4961,50.0,1.28,0.02,0.2,0.0,0.02,0.38808037211303326
1739,20.0,0.64,2.0,0.0,0.2,2.0,0.3356820926920087
5096,50.0,1.28,2.0,0.2,0.2,0.0,0.39943675925056527
1233,20.0,0.16,2.0,0.02,0.0,0.02,0.42617913377189265
3786,40.0,0.64,2.0,0.0,0.2,0.2,0.366752675666278
4349,50.0,0.16,2.0,2.0,2.0,0.02,0.34171254728247574
4085,40.0,1.28,2.0,2.0,0.02,0.02,0.3987012362935606
1306,20.0,0.32,0.0,0.02,0.2,0.2,0.37844353943727915
966,10.0,1.28,2.0,0.0,0.02,0.2,0.3638751372032388
7752,80.0,0.64,0.02,0.0,0.2,0.0,0.43544765588095896
3042,30.0,1.28,2.0,0.2,0.0,0.2,0.38250453257514566
480,10.0,0.32,2.0,0.2,0.0,0.0,0.45094120418916406
4196,50.0,0.16,0.02,0.2,0.02,0.0,0.435435641497399
1315,20.0,0.32,0.0,0.2,0.0,2.0,0.4351577966347667
8223,90.0,0.16,0.0,0.02,2.0,2.0,0.2642700331011386
2979,30.0,1.28,0.2,0.2,0.0,2.0,0.38827310897178896
4545,50.0,0.32,2.0,0.0,0.0,0.02,0.38843711732834085
2006,20.0,1.28,2.0,0.02,0.02,0.2,0.36159059931832305
5495,60.0,0.32,0.02,2.0,0.02,2.0,0.3659046721017724
2108,30.0,0.16,0.0,2.0,2.0,0.0,0.4017438114199543
2867,30.0,1.28,0.0,2.0,0.0,2.0,0.3485538983605197
3957,40.0,1.28,0.02,2.0,0.02,0.02,0.4105534321307722
7950,80.0,1.28,0.0,0.0,2.0,0.2,0.3617388310396909
3158,40.0,0.16,0.02,0.02,0.02,0.2,0.4318053359210877
2935,30.0,1.28,0.02,2.0,0.02,2.0,0.32972195894341294
709,10.0,0.64,2.0,0.0,0.02,0.02,0.374298765590713
8450,90.0,0.32,0.0,0.0,0.0,0.2,0.42517905135714473
2756,30.0,0.64,2.0,0.0,0.02,0.0,0.3979691341971758
1230,20.0,0.16,2.0,0.0,2.0,0.2,0.3145910950055359
8922,90.0,0.64,2.0,0.02,0.2,0.2,0.3642789213500611
8800,90.0,0.64,0.02,0.2,0.0,0.0,0.43005697797114634
2307,30.0,0.32,0.0,0.0,0.0,2.0,0.4238856014938275
7769,80.0,0.64,0.02,0.02,0.2,0.02,0.4212713889137241
384,10.0,0.32,0.2,0.0,0.0,0.0,0.39339583122328714
6007,60.0,1.28,0.02,2.0,0.02,2.0,0.33916839519699826
2219,30.0,0.16,0.2,0.2,0.2,2.0,0.3147899100795838
1833,20.0,1.28,0.0,0.2,0.2,0.02,0.4150709178068371
3185,40.0,0.16,0.02,2.0,0.0,0.02,0.42756997615868875
7164,70.0,1.28,2.0,2.0,2.0,0.0,0.39055496522489147
570,10.0,0.64,0.0,2.0,0.2,0.2,0.39184326794116764
2506,30.0,0.32,2.0,0.0,0.2,0.2,0.36009437809198225
7968,80.0,1.28,0.0,0.2,0.0,0.0,0.40027373808200106
6909,70.0,0.64,2.0,2.0,2.0,0.02,0.37143056669666336
2687,30.0,0.64,0.02,2.0,2.0,2.0,0.31964629646152265
3020,30.0,1.28,2.0,0.0,2.0,0.0,0.38900054520042643
4525,50.0,0.32,0.2,0.2,2.0,0.02,0.4224878409267255
3365,40.0,0.32,0.0,0.2,0.02,0.02,0.4353311524617441
8770,90.0,0.64,0.02,0.0,0.0,0.2,0.3742799021398157
3336,40.0,0.32,0.0,0.0,0.2,0.0,0.42186319181848164
434,10.0,0.32,0.2,2.0,0.0,0.2,0.4239834069489205
494,10.0,0.32,2.0,0.2,2.0,0.2,0.3379002275687691
6398,70.0,0.16,2.0,2.0,2.0,0.2,0.3173372754835457
2431,30.0,0.32,0.02,2.0,2.0,2.0,0.29614943791775883
4253,50.0,0.16,0.2,0.02,2.0,0.02,0.39501538869972486
2689,30.0,0.64,0.2,0.0,0.0,0.02,0.36249417973013415
4235,50.0,0.16,0.2,0.0,0.2,2.0,0.3169264782349598
6062,60.0,1.28,0.2,0.2,2.0,0.2,0.38028475625230146
1660,20.0,0.64,0.02,2.0,2.0,0.0,0.4144049212413078
3278,40.0,0.16,2.0,0.0,2.0,0.2,0.29645200625138335
9187,90.0,1.28,2.0,0.2,0.0,2.0,0.36438110223979714
9109,90.0,1.28,0.2,0.02,0.02,0.02,0.4172104613869905
211,10.0,0.16,2.0,0.02,0.0,2.0,0.3909866460755197
5239,60.0,0.16,0.02,2.0,0.02,2.0,0.3739430843353492
5980,60.0,1.28,0.02,0.02,2.0,0.0,0.4162082891101818
5425,60.0,0.32,0.0,2.0,0.0,0.02,0.4371597079280284
8554,90.0,0.32,0.02,0.2,0.2,0.2,0.3986544202502204
9108,90.0,1.28,0.2,0.02,0.02,0.0,0.4380597459426274
6636,70.0,0.32,2.0,0.2,2.0,0.0,0.36385831068137253
3996,40.0,1.28,0.2,0.02,2.0,0.0,0.4420241945445121
1254,20.0,0.16,2.0,0.2,0.02,0.2,0.41534899961090954
8846,90.0,0.64,0.2,0.0,2.0,0.2,0.3637606754317052
7344,80.0,0.16,0.2,2.0,0.0,0.0,0.42803256745858653
5186,60.0,0.16,0.02,0.0,0.0,0.2,0.42460930374725336
3443,40.0,0.32,0.02,2.0,0.0,2.0,0.39948025537996734
9129,90.0,1.28,0.2,0.2,0.2,0.02,0.4156457868577148
3418,40.0,0.32,0.02,0.02,0.2,0.2,0.38460683626805997
8827,90.0,0.64,0.02,2.0,0.2,2.0,0.3193740175967594
4716,50.0,0.64,0.02,0.2,2.0,0.0,0.44421552977182993
4609,50.0,0.64,0.0,0.0,0.0,0.02,0.35593303301032586
5814,60.0,0.64,0.2,2.0,0.02,0.2,0.4086869748311081
1495,20.0,0.32,2.0,0.02,0.02,2.0,0.3474669554160128
4320,50.0,0.16,2.0,0.2,0.0,0.0,0.4259140209281186
5009,50.0,1.28,0.2,0.02,0.0,0.02,0.3677975452877847
2048,30.0,0.16,0.0,0.0,0.0,0.0,0.4476436529937384
821,10.0,1.28,0.0,2.0,0.02,0.02,0.39082630211384844
6184,70.0,0.16,0.0,0.2,0.2,0.0,0.4148522820036274
6105,60.0,1.28,2.0,0.02,0.2,0.02,0.39075111686349173
4867,50.0,1.28,0.0,0.0,0.0,2.0,0.3691265635215652
2841,30.0,1.28,0.0,0.02,0.2,0.02,0.431394570691521
2525,30.0,0.32,2.0,0.02,2.0,0.02,0.35385210620131935
3514,40.0,0.32,0.2,2.0,0.2,0.2,0.3808007683941186
3932,40.0,1.28,0.02,0.02,2.0,0.0,0.42325425671631056
4604,50.0,0.32,2.0,2.0,2.0,0.0,0.37701778277993175
9024,90.0,1.28,0.02,0.0,0.0,0.0,0.4083612154085924
6715,70.0,0.64,0.0,2.0,0.2,2.0,0.3268238774217158
2425,30.0,0.32,0.02,2.0,0.2,0.02,0.43208081175905244
8563,90.0,0.32,0.02,2.0,0.0,2.0,0.4111795625248491
6607,70.0,0.32,2.0,0.0,2.0,2.0,0.3035071452496396
4522,50.0,0.32,0.2,0.2,0.2,0.2,0.3722964344053473
3318,40.0,0.16,2.0,2.0,0.02,0.2,0.40914409851853584
7726,80.0,0.64,0.0,0.2,2.0,0.2,0.37091674453034296
1397,20.0,0.32,0.02,2.0,0.02,0.02,0.4206988507052013
264,10.0,0.32,0.0,0.0,0.2,0.0,0.36714591593981966
6264,70.0,0.16,0.02,2.0,0.2,0.0,0.4124577861024385
645,10.0,0.64,0.2,0.0,0.02,0.02,0.39310111398014763
6130,60.0,1.28,2.0,2.0,0.0,0.2,0.4116182263051789
5405,60.0,0.32,0.0,0.02,2.0,0.02,0.4290687737318887
7964,80.0,1.28,0.0,0.02,2.0,0.0,0.42254830590063636
8179,80.0,1.28,2.0,2.0,0.0,2.0,0.34405475578968286
4181,50.0,0.16,0.02,0.02,0.02,0.02,0.43965741448226875
1675,20.0,0.64,0.2,0.0,0.2,2.0,0.3535613350664359
8535,90.0,0.32,0.02,0.02,0.02,2.0,0.3515273739744754
4012,40.0,1.28,0.2,0.2,2.0,0.0,0.40630363380429013
4267,50.0,0.16,0.2,0.2,0.2,2.0,0.3199203447614445
8737,90.0,0.64,0.0,0.2,0.0,0.02,0.411380193487487
3039,30.0,1.28,2.0,0.02,2.0,2.0,0.31768067805801303
6932,70.0,1.28,0.0,0.02,0.02,0.0,0.4264650484259685
8553,90.0,0.32,0.02,0.2,0.2,0.02,0.4342780390374757
8566,90.0,0.32,0.02,2.0,0.02,0.2,0.41761269385502314
7835,80.0,0.64,0.2,0.02,0.2,2.0,0.33796493802956645
5410,60.0,0.32,0.0,0.2,0.0,0.2,0.416085005308298
1616,20.0,0.64,0.02,0.02,0.0,0.0,0.4228384473924516
6496,70.0,0.32,0.02,0.2,0.0,0.0,0.4351529604841275
5264,60.0,0.16,0.2,0.02,0.0,0.0,0.42820610979682266
8347,90.0,0.16,0.2,0.02,0.2,2.0,0.29118106804900623
7169,80.0,0.16,0.0,0.0,0.0,0.02,0.43209606678807
4841,50.0,0.64,2.0,0.2,0.2,0.02,0.3883857407674871
8661,90.0,0.32,2.0,0.02,0.02,0.02,0.3914359728130304
8679,90.0,0.32,2.0,0.2,0.02,2.0,0.354990739277727
2244,30.0,0.16,2.0,0.0,0.02,0.0,0.41687511548293027
170,10.0,0.16,0.2,0.2,0.2,0.2,0.3620523507545874
2267,30.0,0.16,2.0,0.02,0.2,2.0,0.31072537296590524
8474,90.0,0.32,0.0,0.02,0.2,0.2,0.4029155906549794
7496,80.0,0.32,0.02,0.0,0.2,0.0,0.42439408887087626
1472,20.0,0.32,2.0,0.0,0.0,0.0,0.424015258202146
3761,40.0,0.64,0.2,2.0,0.0,0.02,0.43161826903785755
4977,50.0,1.28,0.02,2.0,0.0,0.02,0.4276762553575658
4180,50.0,0.16,0.02,0.02,0.02,0.0,0.4187308877377316
2487,30.0,0.32,0.2,2.0,0.02,2.0,0.37198524515015313
