,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
5512,60.0,0.32,0.2,0.0,0.2,0.0,0.4054185410695514
2291,30.0,0.16,2.0,2.0,0.0,2.0,0.4013973454921724
6605,70.0,0.32,2.0,0.0,2.0,0.02,0.3620066494799251
5867,60.0,0.64,2.0,0.2,0.2,2.0,0.34107099841447536
13,10.0,0.16,0.0,0.0,2.0,0.02,0.36666519261534597
3502,40.0,0.32,0.2,0.2,2.0,0.2,0.36988957756908597
8754,90.0,0.64,0.0,2.0,0.0,0.2,0.41082900676615774
1075,20.0,0.16,0.0,2.0,0.0,2.0,0.40001366829548046
8191,80.0,1.28,2.0,2.0,2.0,2.0,0.31138183508401207
2095,30.0,0.16,0.0,0.2,2.0,2.0,0.29457854060368566
5129,60.0,0.16,0.0,0.0,0.2,0.02,0.4116807140682836
2703,30.0,0.64,0.2,0.0,2.0,2.0,0.3286497813512675
683,10.0,0.64,0.2,0.2,0.2,2.0,0.3638087048595252
6160,70.0,0.16,0.0,0.02,0.0,0.0,0.4055798396601585
6799,70.0,0.64,0.2,0.0,2.0,2.0,0.3171007226963036
3535,40.0,0.32,2.0,0.0,2.0,2.0,0.31441252354117133
535,10.0,0.64,0.0,0.02,0.02,2.0,0.37086526535100645
552,10.0,0.64,0.0,0.2,0.2,0.0,0.3657681334834111
8885,90.0,0.64,0.2,2.0,0.02,0.02,0.4137889264629462
6029,60.0,1.28,0.2,0.0,2.0,0.02,0.388381026071744
1236,20.0,0.16,2.0,0.02,0.02,0.0,0.3912228087110513
1971,20.0,1.28,0.2,2.0,0.0,2.0,0.3408914066130517
5996,60.0,1.28,0.02,0.2,2.0,0.0,0.39664633024030216
2980,30.0,1.28,0.2,0.2,0.02,0.0,0.38422907787927424
8919,90.0,0.64,2.0,0.02,0.02,2.0,0.37302561546791446
3730,40.0,0.64,0.2,0.02,0.0,0.2,0.3930189021758261
4880,50.0,1.28,0.0,0.02,0.0,0.0,0.37645522485458643
6028,60.0,1.28,0.2,0.0,2.0,0.0,0.4013206633461293
1018,10.0,1.28,2.0,2.0,0.2,0.2,0.32717184544491856
5120,60.0,0.16,0.0,0.0,0.0,0.0,0.39171503912478023
7611,80.0,0.32,0.2,2.0,0.2,2.0,0.3184680173468887
6592,70.0,0.32,2.0,0.0,0.0,0.0,0.39161917805828944
1594,20.0,0.64,0.0,2.0,0.2,0.2,0.3899696966288605
3701,40.0,0.64,0.02,2.0,0.02,0.02,0.41206984011038383
8817,90.0,0.64,0.02,2.0,0.0,0.02,0.40528372629860077
2666,30.0,0.64,0.02,0.2,0.2,0.2,0.3892836743607143
8543,90.0,0.32,0.02,0.02,2.0,2.0,0.3069395007003563
