,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
4838,50.0,0.64,2.0,0.2,0.02,0.2,0.513685542306856
3657,40.0,0.64,0.02,0.0,0.2,0.02,0.5053546601882308
6877,70.0,0.64,2.0,0.02,2.0,0.02,0.4542474579104029
4259,50.0,0.16,0.2,0.2,0.0,2.0,0.5129486112935787
6632,70.0,0.32,2.0,0.2,0.2,0.0,0.48256544539443036
6976,70.0,1.28,0.02,0.0,0.0,0.0,0.541702882191943
7047,70.0,1.28,0.2,0.0,0.02,2.0,0.41222149528108165
7863,80.0,0.64,0.2,2.0,0.02,2.0,0.3829594559272953
6942,70.0,1.28,0.0,0.02,2.0,0.2,0.42336274717838907
3649,40.0,0.64,0.02,0.0,0.0,0.02,0.5154021864202109
8597,90.0,0.32,0.2,0.02,0.02,0.02,0.528154886472714
2277,30.0,0.16,2.0,0.2,0.02,0.02,0.5301926204818298
8950,90.0,0.64,2.0,2.0,0.02,0.2,0.5012111624282873
6425,70.0,0.32,0.0,0.02,0.2,0.02,0.510864414407146
6389,70.0,0.16,2.0,2.0,0.02,0.02,0.5154653605168045
38,10.0,0.16,0.0,0.2,0.02,0.2,0.47792804465099764
5448,60.0,0.32,0.02,0.0,0.2,0.0,0.507104418843525
7715,80.0,0.64,0.0,0.2,0.0,2.0,0.5236629107298374
4316,50.0,0.16,2.0,0.02,2.0,0.0,0.44358240482835687
4002,40.0,1.28,0.2,0.2,0.0,0.2,0.5067416461559935
7139,70.0,1.28,2.0,0.2,0.0,2.0,0.4661167884357591
4427,50.0,0.32,0.02,0.0,0.2,2.0,0.3955365476631612
233,10.0,0.16,2.0,0.2,0.2,0.02,0.40072609505150286
4920,50.0,1.28,0.0,2.0,0.2,0.0,0.5183774845145267
5209,60.0,0.16,0.02,0.02,0.2,0.02,0.5166480960648846
8362,90.0,0.16,0.2,0.2,0.2,0.2,0.46055746371483325
7622,80.0,0.32,2.0,0.0,0.02,0.2,0.5007607465906393
4894,50.0,1.28,0.0,0.02,2.0,0.2,0.4455290966252805
4391,50.0,0.32,0.0,0.2,0.02,2.0,0.44854961740310334
