,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
2723,30.0,0.64,0.2,0.2,0.0,2.0,0.47549564133044064
1693,20.0,0.64,0.2,0.02,2.0,0.02,0.4911437730166922
3302,40.0,0.16,2.0,0.2,0.02,0.2,0.49722121065284264
8192,90.0,0.16,0.0,0.0,0.0,0.0,0.49368538619443436
7952,80.0,1.28,0.0,0.02,0.0,0.0,0.458637506125205
1236,20.0,0.16,2.0,0.02,0.02,0.0,0.4906883834819788
4475,50.0,0.32,0.02,2.0,0.2,2.0,0.41148876000957063
4508,50.0,0.32,0.2,0.02,2.0,0.0,0.4839711465631749
2667,30.0,0.64,0.02,0.2,0.2,2.0,0.4417091888458028
3644,40.0,0.64,0.0,2.0,2.0,0.0,0.4867602740316115
8779,90.0,0.64,0.02,0.0,0.2,2.0,0.427652971114352
6963,70.0,1.28,0.0,2.0,0.0,2.0,0.4260595697306347
1993,20.0,1.28,2.0,0.0,0.2,0.02,0.48652514169158245
3787,40.0,0.64,2.0,0.0,0.2,2.0,0.4177050479639933
2632,30.0,0.64,0.02,0.0,0.2,0.0,0.4965725809329522
5424,60.0,0.32,0.0,2.0,0.0,0.0,0.48663803913362425
6523,70.0,0.32,0.02,2.0,0.2,2.0,0.43217067308549134
6940,70.0,1.28,0.0,0.02,2.0,0.0,0.49814924942769945
4895,50.0,1.28,0.0,0.02,2.0,2.0,0.38822142432043627
7182,80.0,0.16,0.0,0.0,2.0,0.2,0.4132675219858911
1171,20.0,0.16,0.2,0.02,0.0,2.0,0.4679730669131402
545,10.0,0.64,0.0,0.2,0.0,0.02,0.48052425495982526
33,10.0,0.16,0.0,0.2,0.0,0.02,0.4702949425301577
4020,40.0,1.28,0.2,2.0,0.02,0.0,0.4866666127799403
7395,80.0,0.16,2.0,0.2,0.0,2.0,0.48730948971709714
7001,70.0,1.28,0.02,0.02,0.2,0.02,0.5003270302319274
1442,20.0,0.32,0.2,0.2,0.0,0.2,0.47491704704858745
3370,40.0,0.32,0.0,0.2,0.2,0.2,0.46593572770366526
521,10.0,0.64,0.0,0.0,0.2,0.02,0.4761075914021013
5516,60.0,0.32,0.2,0.0,2.0,0.0,0.48388759141798376
4701,50.0,0.64,0.02,0.02,2.0,0.02,0.4976438069855403
2836,30.0,1.28,0.0,0.02,0.02,0.0,0.45628782630935527
1136,20.0,0.16,0.02,2.0,0.0,0.0,0.48719140580959547
9153,90.0,1.28,2.0,0.0,0.0,0.02,0.4331410594061895
3813,40.0,0.64,2.0,0.2,0.02,0.02,0.4789530659409753
5843,60.0,0.64,2.0,0.02,0.0,2.0,0.4383030882673783
1082,20.0,0.16,0.0,2.0,0.2,0.2,0.48427431460860687
7034,70.0,1.28,0.02,2.0,0.2,0.2,0.4807532719542615
5052,50.0,1.28,0.2,2.0,2.0,0.0,0.4843190803997732
4031,40.0,1.28,0.2,2.0,2.0,2.0,0.39393103531402435
3516,40.0,0.32,0.2,2.0,2.0,0.0,0.49096130915754055
8328,90.0,0.16,0.2,0.0,0.2,0.0,0.5012013714510888
6773,70.0,0.64,0.02,2.0,0.02,0.02,0.48956082189889216
5719,60.0,0.64,0.02,0.02,0.02,2.0,0.43088080776880316
