,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
782,10.0,1.28,0.0,0.0,2.0,0.2,0.4361565268783038
2490,30.0,0.32,0.2,2.0,0.2,0.2,0.4433657033146199
4666,50.0,0.64,0.0,2.0,0.2,0.2,0.4307257095111908
4948,50.0,1.28,0.02,0.02,0.02,0.0,0.45501178991848984
3079,40.0,0.16,0.0,0.0,0.02,2.0,0.44046841073453513
8389,90.0,0.16,2.0,0.0,0.02,0.02,0.44954481170315835
7079,70.0,1.28,0.2,0.2,0.02,2.0,0.42196995225223877
4178,50.0,0.16,0.02,0.02,0.0,0.2,0.47156333805086753
4600,50.0,0.32,2.0,2.0,0.2,0.0,0.44216433949485606
2686,30.0,0.64,0.02,2.0,2.0,0.2,0.4108862248227725
6762,70.0,0.64,0.02,0.2,0.2,0.2,0.43899057051493934
7760,80.0,0.64,0.02,0.02,0.0,0.0,0.44611986241236423
7494,80.0,0.32,0.02,0.0,0.02,0.2,0.44935281900504637
8626,90.0,0.32,0.2,2.0,0.0,0.2,0.46727305470226727
3918,40.0,1.28,0.02,0.0,2.0,0.2,0.41792908432544923
6277,70.0,0.16,0.2,0.0,0.02,0.02,0.46589786519806003
5559,60.0,0.32,0.2,2.0,0.02,2.0,0.407353853067297
5668,60.0,0.64,0.0,0.2,0.02,0.0,0.4493134366890511
7039,70.0,1.28,0.02,2.0,2.0,2.0,0.38064759318577374
1895,20.0,1.28,0.02,0.2,0.02,2.0,0.39538449889059923
5079,50.0,1.28,2.0,0.02,0.02,2.0,0.42269254669795825
632,10.0,0.64,0.02,2.0,0.2,0.0,0.44122431713035215
5134,60.0,0.16,0.0,0.0,2.0,0.2,0.39959047456811186
1546,20.0,0.64,0.0,0.0,0.2,0.2,0.43132128586578444
5075,50.0,1.28,2.0,0.02,0.0,2.0,0.4378419359321499
7700,80.0,0.64,0.0,0.02,0.02,0.0,0.4660035690753216
7764,80.0,0.64,0.02,0.02,0.02,0.0,0.4520539867188711
3892,40.0,1.28,0.0,2.0,0.02,0.0,0.43592736034921015
1024,20.0,0.16,0.0,0.0,0.0,0.0,0.45309502979119093
6124,60.0,1.28,2.0,0.2,2.0,0.0,0.42721584692741116
2863,30.0,1.28,0.0,0.2,2.0,2.0,0.37665251139968603
6823,70.0,0.64,0.2,0.2,0.02,2.0,0.43296432794116474
