,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
3725,40.0,0.64,0.2,0.0,2.0,0.02,0.4259001395678194
8252,90.0,0.16,0.0,2.0,2.0,0.0,0.41957984195741643
6369,70.0,0.16,2.0,0.2,0.0,0.02,0.4444598085558139
8225,90.0,0.16,0.0,0.2,0.0,0.02,0.42911309682475707
2753,30.0,0.64,2.0,0.0,0.0,0.02,0.42105231084817996
1059,20.0,0.16,0.0,0.2,0.0,2.0,0.4253539455607378
6101,60.0,1.28,2.0,0.02,0.02,0.02,0.4352244076658821
3055,30.0,1.28,2.0,0.2,2.0,2.0,0.36444547320713605
3092,40.0,0.16,0.0,0.02,0.02,0.0,0.4255580431875831
7283,80.0,0.16,0.02,2.0,0.0,2.0,0.4279666653771419
2721,30.0,0.64,0.2,0.2,0.0,0.02,0.4170633120136881
4957,50.0,1.28,0.02,0.02,2.0,0.02,0.42272139777677686
2835,30.0,1.28,0.0,0.02,0.0,2.0,0.43922416604201653
6011,60.0,1.28,0.02,2.0,0.2,2.0,0.37714821708560053
2391,30.0,0.32,0.02,0.02,0.02,2.0,0.3987532367513804
1010,10.0,1.28,2.0,2.0,0.0,0.2,0.40066059308229834
4376,50.0,0.32,0.0,0.02,0.2,0.0,0.42459420735522013
7658,80.0,0.32,2.0,0.2,0.2,0.2,0.39393043581656156
4317,50.0,0.16,2.0,0.02,2.0,0.02,0.3852438830106788
2262,30.0,0.16,2.0,0.02,0.02,0.2,0.4157859230752138
7422,80.0,0.16,2.0,2.0,2.0,0.2,0.35764086378761695
4325,50.0,0.16,2.0,0.2,0.02,0.02,0.42377400185690905
7165,70.0,1.28,2.0,2.0,2.0,0.02,0.4137918644235412
967,10.0,1.28,2.0,0.0,0.02,2.0,0.37771663760509894
5640,60.0,0.64,0.0,0.0,0.2,0.0,0.413497412685698
7854,80.0,0.64,0.2,0.2,2.0,0.2,0.3955333194243239
5688,60.0,0.64,0.0,2.0,0.2,0.0,0.4230465518158012
6608,70.0,0.32,2.0,0.02,0.0,0.0,0.45715937165909226
7177,80.0,0.16,0.0,0.0,0.2,0.02,0.4281173693807975
5147,60.0,0.16,0.0,0.02,0.2,2.0,0.37166972702256523
8432,90.0,0.16,2.0,2.0,0.0,0.0,0.436329788436475
119,10.0,0.16,0.02,2.0,0.02,2.0,0.38851126522255347
1845,20.0,1.28,0.0,2.0,0.02,0.02,0.40912868966779703
4929,50.0,1.28,0.02,0.0,0.0,0.02,0.4417836815417037
4762,50.0,0.64,0.2,0.02,0.2,0.2,0.4140067345583599
