,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
6785,70.0,0.64,0.2,0.0,0.0,0.02,0.43894542258172387
4766,50.0,0.64,0.2,0.02,2.0,0.2,0.4235830057250254
5372,60.0,0.16,2.0,2.0,2.0,0.0,0.4267302636375611
2451,30.0,0.32,0.2,0.02,0.0,2.0,0.45816429952701626
3021,30.0,1.28,2.0,0.0,2.0,0.02,0.4068084771028858
2822,30.0,1.28,0.0,0.0,0.02,0.2,0.43857157166656524
5814,60.0,0.64,0.2,2.0,0.02,0.2,0.45667666633517917
4808,50.0,0.64,2.0,0.0,0.2,0.0,0.4652695354929529
5761,60.0,0.64,0.2,0.0,0.0,0.02,0.4264977595413633
443,10.0,0.32,0.2,2.0,0.2,2.0,0.38021234129829684
5830,60.0,0.64,2.0,0.0,0.02,0.2,0.4531024759635518
4800,50.0,0.64,2.0,0.0,0.0,0.0,0.42551568735073786
6711,70.0,0.64,0.0,2.0,0.02,2.0,0.38940648605143574
2940,30.0,1.28,0.02,2.0,2.0,0.0,0.45260353906517
70,10.0,0.16,0.02,0.0,0.02,0.2,0.4209420613051894
5623,60.0,0.32,2.0,2.0,0.02,2.0,0.40768994870210695
4485,50.0,0.32,0.2,0.0,0.02,0.02,0.4478295328596817
6702,70.0,0.64,0.0,0.2,2.0,0.2,0.4447885332778518
46,10.0,0.16,0.0,0.2,2.0,0.2,0.413128539446411
6878,70.0,0.64,2.0,0.02,2.0,0.2,0.3665227363726511
5483,60.0,0.32,0.02,0.2,0.2,2.0,0.3694129471537094
4298,50.0,0.16,2.0,0.0,0.2,0.2,0.41785329942762534
9117,90.0,1.28,0.2,0.02,2.0,0.02,0.46157165106698883
3187,40.0,0.16,0.02,2.0,0.0,2.0,0.44486355548583323
2895,30.0,1.28,0.02,0.0,2.0,2.0,0.3614109038865255
2115,30.0,0.16,0.02,0.0,0.0,2.0,0.4636824491328682
3854,40.0,1.28,0.0,0.0,2.0,0.2,0.4063519656744675
541,10.0,0.64,0.0,0.02,2.0,0.02,0.4456645811167203
6855,70.0,0.64,2.0,0.0,0.02,2.0,0.4153436605170115
6116,60.0,1.28,2.0,0.2,0.02,0.0,0.45958588312808824
7998,80.0,1.28,0.0,2.0,2.0,0.2,0.4072506486365844
3092,40.0,0.16,0.0,0.02,0.02,0.0,0.45059986703500304
3129,40.0,0.16,0.0,2.0,0.2,0.02,0.44941247275482976
6715,70.0,0.64,0.0,2.0,0.2,2.0,0.36015846067866514
2040,20.0,1.28,2.0,2.0,0.2,0.0,0.4237506560841316
6909,70.0,0.64,2.0,2.0,2.0,0.02,0.442587442095443
1443,20.0,0.32,0.2,0.2,0.0,2.0,0.4730156323439953
748,10.0,0.64,2.0,0.2,2.0,0.0,0.42872022499636114
235,10.0,0.16,2.0,0.2,0.2,2.0,0.36226765576680525
7379,80.0,0.16,2.0,0.02,0.0,2.0,0.4611236987957702
6864,70.0,0.64,2.0,0.02,0.0,0.0,0.413552230084139
4355,50.0,0.32,0.0,0.0,0.0,2.0,0.47010578466836644
7521,80.0,0.32,0.02,0.2,0.0,0.02,0.43774943617976436
5515,60.0,0.32,0.2,0.0,0.2,2.0,0.38387447316250894
1688,20.0,0.64,0.2,0.02,0.2,0.0,0.44707544450308634
7964,80.0,1.28,0.0,0.02,2.0,0.0,0.44580976275695905
2264,30.0,0.16,2.0,0.02,0.2,0.0,0.4533637128177
1574,20.0,0.64,0.0,0.2,0.02,0.2,0.47389627226742614
1559,20.0,0.64,0.0,0.02,0.02,2.0,0.4330868043608097
10,10.0,0.16,0.0,0.0,0.2,0.2,0.43046140931168597
5835,60.0,0.64,2.0,0.0,0.2,2.0,0.38547958030103024
359,10.0,0.32,0.02,0.2,0.02,2.0,0.4218603660685275
426,10.0,0.32,0.2,0.2,0.2,0.2,0.43106525505973053
111,10.0,0.16,0.02,0.2,2.0,2.0,0.3398068737583308
432,10.0,0.32,0.2,2.0,0.0,0.0,0.4178971501597997
1570,20.0,0.64,0.0,0.2,0.0,0.2,0.4237717610564842
6248,70.0,0.16,0.02,0.2,0.2,0.0,0.4513471594614312
5736,60.0,0.64,0.02,0.2,0.2,0.0,0.455014243512235
8554,90.0,0.32,0.02,0.2,0.2,0.2,0.4444304047398736
6792,70.0,0.64,0.2,0.0,0.2,0.0,0.44950359417801095
7227,80.0,0.16,0.0,2.0,0.2,2.0,0.359530075469313
7273,80.0,0.16,0.02,0.2,0.2,0.02,0.4502211556668101
4454,50.0,0.32,0.02,0.2,0.02,0.2,0.4629517036012086
6154,70.0,0.16,0.0,0.0,0.2,0.2,0.4455713944763702
8849,90.0,0.64,0.2,0.02,0.0,0.02,0.4437710497188513
592,10.0,0.64,0.02,0.02,0.0,0.0,0.41974058796579244
2284,30.0,0.16,2.0,0.2,2.0,0.0,0.4237627787778463
9187,90.0,1.28,2.0,0.2,0.0,2.0,0.42819176034700523
3876,40.0,1.28,0.0,0.2,0.02,0.0,0.4391717071033209
6856,70.0,0.64,2.0,0.0,0.2,0.0,0.4588284511380977
525,10.0,0.64,0.0,0.0,2.0,0.02,0.44333798234448235
3309,40.0,0.16,2.0,0.2,2.0,0.02,0.40867710807414226
7410,80.0,0.16,2.0,2.0,0.0,0.2,0.4515586305390279
350,10.0,0.32,0.02,0.02,2.0,0.2,0.4199886962028705
98,10.0,0.16,0.02,0.2,0.0,0.2,0.4478715516249128
2474,30.0,0.32,0.2,0.2,0.2,0.2,0.4404208005358747
8371,90.0,0.16,0.2,2.0,0.0,2.0,0.4495419723029205
529,10.0,0.64,0.0,0.02,0.0,0.02,0.4466912230696362
6536,70.0,0.32,0.2,0.0,0.2,0.0,0.4618901702980311
8645,90.0,0.32,2.0,0.0,0.02,0.02,0.4624891228154898
6117,60.0,1.28,2.0,0.2,0.02,0.02,0.46007173599675866
8633,90.0,0.32,0.2,2.0,0.2,0.02,0.46374740319110364
4537,50.0,0.32,0.2,2.0,0.2,0.02,0.46291126676823
8151,80.0,1.28,2.0,0.02,0.02,2.0,0.413913104808119
3688,40.0,0.64,0.02,0.2,0.2,0.0,0.4262411109247878
4008,40.0,1.28,0.2,0.2,0.2,0.0,0.4304246059607246
2943,30.0,1.28,0.02,2.0,2.0,2.0,0.3734521947664253
1116,20.0,0.16,0.02,0.02,2.0,0.0,0.42787455174818534
7204,80.0,0.16,0.0,0.2,0.02,0.0,0.45979276657422824
4578,50.0,0.32,2.0,0.2,0.0,0.2,0.46038121705282137
4605,50.0,0.32,2.0,2.0,2.0,0.02,0.41945361898929306
4571,50.0,0.32,2.0,0.02,0.2,2.0,0.36356359561232177
7119,70.0,1.28,2.0,0.0,2.0,2.0,0.3435508499103766
2198,30.0,0.16,0.2,0.02,0.02,0.2,0.4513907066253996
4548,50.0,0.32,2.0,0.0,0.02,0.0,0.4559815027122685
7798,80.0,0.64,0.02,2.0,0.02,0.2,0.464924126450409
2704,30.0,0.64,0.2,0.02,0.0,0.0,0.42329079142397885
6070,60.0,1.28,0.2,2.0,0.02,0.2,0.4658066058473163
5415,60.0,0.32,0.0,0.2,0.02,2.0,0.4061471498998868
6106,60.0,1.28,2.0,0.02,0.2,0.2,0.41805033580079176
1849,20.0,1.28,0.0,2.0,0.2,0.02,0.4239289442065219
1029,20.0,0.16,0.0,0.0,0.02,0.02,0.4571588121581534
2271,30.0,0.16,2.0,0.02,2.0,2.0,0.31259061761141094
3181,40.0,0.16,0.02,0.2,2.0,0.02,0.44006671573075196
2225,30.0,0.16,0.2,2.0,0.0,0.02,0.46306626403569234
5672,60.0,0.64,0.0,0.2,0.2,0.0,0.4515686652856367
7987,80.0,1.28,0.0,2.0,0.0,2.0,0.39612092434889395
3473,40.0,0.32,0.2,0.02,0.0,0.02,0.4585723889747003
7148,70.0,1.28,2.0,0.2,2.0,0.0,0.428384540803107
4010,40.0,1.28,0.2,0.2,0.2,0.2,0.4463731838057508
7037,70.0,1.28,0.02,2.0,2.0,0.02,0.4586089293890321
6408,70.0,0.32,0.0,0.0,0.2,0.0,0.4726743209046207
8685,90.0,0.32,2.0,0.2,2.0,0.02,0.42240672612005276
6961,70.0,1.28,0.0,2.0,0.0,0.02,0.4586697481052498
3770,40.0,0.64,0.2,2.0,0.2,0.2,0.449392674189208
5954,60.0,1.28,0.02,0.0,0.0,0.2,0.4341064003808615
3135,40.0,0.16,0.0,2.0,2.0,2.0,0.32105634225122676
3661,40.0,0.64,0.02,0.0,2.0,0.02,0.45711285803021623
4309,50.0,0.16,2.0,0.02,0.02,0.02,0.45303957435004966
451,10.0,0.32,2.0,0.0,0.0,2.0,0.4689663264672866
1646,20.0,0.64,0.02,0.2,2.0,0.2,0.4351074892048879
8922,90.0,0.64,2.0,0.02,0.2,0.2,0.44931017839970716
775,10.0,1.28,0.0,0.0,0.02,2.0,0.3820372518810888
4748,50.0,0.64,0.2,0.0,2.0,0.0,0.4576065045388319
5409,60.0,0.32,0.0,0.2,0.0,0.02,0.4550849019046706
8211,90.0,0.16,0.0,0.02,0.0,2.0,0.4693110813483443
1372,20.0,0.32,0.02,0.02,2.0,0.0,0.4646563155100927
656,10.0,0.64,0.2,0.02,0.0,0.0,0.41947203883729695
7469,80.0,0.32,0.0,0.2,2.0,0.02,0.46820763741109006
2441,30.0,0.32,0.2,0.0,0.2,0.02,0.4624977496668272
90,10.0,0.16,0.02,0.02,0.2,0.2,0.3872922618728783
4228,50.0,0.16,0.2,0.0,0.02,0.0,0.4594537570600974
7644,80.0,0.32,2.0,0.02,2.0,0.0,0.4271480530583706
93,10.0,0.16,0.02,0.02,2.0,0.02,0.4036031104173538
3390,40.0,0.32,0.0,2.0,2.0,0.2,0.4196769719228307
5373,60.0,0.16,2.0,2.0,2.0,0.02,0.4065302316437957
5808,60.0,0.64,0.2,2.0,0.0,0.0,0.43526625563540244
4551,50.0,0.32,2.0,0.0,0.02,2.0,0.42573604147647
3009,30.0,1.28,2.0,0.0,0.0,0.02,0.3951348205535432
8987,90.0,1.28,0.0,0.02,0.2,2.0,0.38850227369745494
8107,80.0,1.28,0.2,0.2,0.2,2.0,0.3858975718636853
4104,50.0,0.16,0.0,0.0,0.2,0.0,0.4603147077527806
8437,90.0,0.16,2.0,2.0,0.02,0.02,0.4566854580387229
2519,30.0,0.32,2.0,0.02,0.02,2.0,0.4118096975453704
3997,40.0,1.28,0.2,0.02,2.0,0.02,0.46644578737972386
7757,80.0,0.64,0.02,0.0,2.0,0.02,0.45914868700050493
5819,60.0,0.64,0.2,2.0,0.2,2.0,0.3722933875435546
8387,90.0,0.16,2.0,0.0,0.0,2.0,0.4619365886831312
6260,70.0,0.16,0.02,2.0,0.02,0.0,0.46163131697886073
5478,60.0,0.32,0.02,0.2,0.02,0.2,0.4438984819123632
8051,80.0,1.28,0.02,2.0,0.0,2.0,0.39462456826890935
2639,30.0,0.64,0.02,0.0,2.0,2.0,0.3887263642495713
3030,30.0,1.28,2.0,0.02,0.02,0.2,0.43285874688523873
8324,90.0,0.16,0.2,0.0,0.02,0.0,0.4543276745605992
5218,60.0,0.16,0.02,0.2,0.0,0.2,0.4673241934931319
8733,90.0,0.64,0.0,0.02,2.0,0.02,0.46851619201534755
8518,90.0,0.32,0.02,0.0,0.02,0.2,0.4546943033441092
1497,20.0,0.32,2.0,0.02,0.2,0.02,0.4492576825543604
6182,70.0,0.16,0.0,0.2,0.02,0.2,0.4647449124295829
2579,30.0,0.64,0.0,0.02,0.0,2.0,0.4276080787311375
3751,40.0,0.64,0.2,0.2,0.02,2.0,0.4292767582577104
6119,60.0,1.28,2.0,0.2,0.02,2.0,0.40081521184326385
5816,60.0,0.64,0.2,2.0,0.2,0.0,0.45707398575791025
632,10.0,0.64,0.02,2.0,0.2,0.0,0.45487295266122396
5241,60.0,0.16,0.02,2.0,0.2,0.02,0.46161037857683174
5909,60.0,1.28,0.0,0.02,0.02,0.02,0.46115915704034693
7622,80.0,0.32,2.0,0.0,0.02,0.2,0.4500516355849511
3630,40.0,0.64,0.0,0.2,2.0,0.2,0.4369329657591551
837,10.0,1.28,0.02,0.0,0.02,0.02,0.3916247079221866
7611,80.0,0.32,0.2,2.0,0.2,2.0,0.36071166236590513
8335,90.0,0.16,0.2,0.0,2.0,2.0,0.31082891450729194
1612,20.0,0.64,0.02,0.0,2.0,0.0,0.4464910316632329
3671,40.0,0.64,0.02,0.02,0.02,2.0,0.39988583867256894
3642,40.0,0.64,0.0,2.0,0.2,0.2,0.44238095620521317
3070,30.0,1.28,2.0,2.0,2.0,0.2,0.4125486064318394
3875,40.0,1.28,0.0,0.2,0.0,2.0,0.4526927941097438
2604,30.0,0.64,0.0,0.2,2.0,0.0,0.44983535423664733
1862,20.0,1.28,0.02,0.0,0.02,0.2,0.4436901501463656
905,10.0,1.28,0.2,0.0,0.2,0.02,0.42994637191089385
8724,90.0,0.64,0.0,0.02,0.02,0.0,0.42268793112913
5552,60.0,0.32,0.2,2.0,0.0,0.0,0.4490135397337965
6049,60.0,1.28,0.2,0.2,0.0,0.02,0.4357806272326266
2697,30.0,0.64,0.2,0.0,0.2,0.02,0.4595721945082801
3444,40.0,0.32,0.02,2.0,0.02,0.0,0.44461399561312687
2678,30.0,0.64,0.02,2.0,0.02,0.2,0.47053286333813005
3545,40.0,0.32,2.0,0.02,0.2,0.02,0.46274958755926976
1150,20.0,0.16,0.02,2.0,2.0,0.2,0.4089287629730898
879,10.0,1.28,0.02,0.2,2.0,2.0,0.3497244144993377
2890,30.0,1.28,0.02,0.0,0.2,0.2,0.44663694961124656
1512,20.0,0.32,2.0,0.2,0.2,0.0,0.4555091782365345
6558,70.0,0.32,0.2,0.02,2.0,0.2,0.3988577486031356
4560,50.0,0.32,2.0,0.02,0.0,0.0,0.4513913394220469
7732,80.0,0.64,0.0,2.0,0.02,0.0,0.46021893094315225
1752,20.0,0.64,2.0,0.02,0.2,0.0,0.4520421134216987
7604,80.0,0.32,0.2,2.0,0.02,0.0,0.4620138792060456
6104,60.0,1.28,2.0,0.02,0.2,0.0,0.45433690809180155
5720,60.0,0.64,0.02,0.02,0.2,0.0,0.46539624525330997
6275,70.0,0.16,0.2,0.0,0.0,2.0,0.4604416189335767
3855,40.0,1.28,0.0,0.0,2.0,2.0,0.36168532866895625
7743,80.0,0.64,0.0,2.0,2.0,2.0,0.3604890520419714
4380,50.0,0.32,0.0,0.02,2.0,0.0,0.4295844972332887
108,10.0,0.16,0.02,0.2,2.0,0.0,0.41222584888345565
1560,20.0,0.64,0.0,0.02,0.2,0.0,0.4010528680940961
4364,50.0,0.32,0.0,0.0,2.0,0.0,0.45598154272973657
2277,30.0,0.16,2.0,0.2,0.02,0.02,0.4466389372928671
6499,70.0,0.32,0.02,0.2,0.0,2.0,0.46104481366058414
7553,80.0,0.32,0.2,0.0,0.0,0.02,0.42422724893571667
7877,80.0,0.64,2.0,0.0,0.02,0.02,0.4524949161230301
4378,50.0,0.32,0.0,0.02,0.2,0.2,0.44364351322816986
4482,50.0,0.32,0.2,0.0,0.0,0.2,0.45283362415882483
8050,80.0,1.28,0.02,2.0,0.0,0.2,0.4431204064347706
8579,90.0,0.32,0.2,0.0,0.0,2.0,0.4682516826203421
4427,50.0,0.32,0.02,0.0,0.2,2.0,0.37518627273050914
2606,30.0,0.64,0.0,0.2,2.0,0.2,0.4321616984115303
5082,50.0,1.28,2.0,0.02,0.2,0.2,0.4303774036233696
1720,20.0,0.64,0.2,2.0,0.2,0.0,0.4434049842345856
1358,20.0,0.32,0.02,0.0,2.0,0.2,0.42502477576637965
8677,90.0,0.32,2.0,0.2,0.02,0.02,0.46053068342041975
8231,90.0,0.16,0.0,0.2,0.02,2.0,0.4012223274134048
7924,80.0,0.64,2.0,2.0,0.02,0.0,0.4636367852016716
5792,60.0,0.64,0.2,0.2,0.0,0.0,0.444625183160878
898,10.0,1.28,0.2,0.0,0.0,0.2,0.4349353900910272
5758,60.0,0.64,0.02,2.0,2.0,0.2,0.4409339371247576
1575,20.0,0.64,0.0,0.2,0.02,2.0,0.4221813228248601
4334,50.0,0.16,2.0,0.2,2.0,0.2,0.347708038796751
5458,60.0,0.32,0.02,0.02,0.0,0.2,0.44251049559576355
8756,90.0,0.64,0.0,2.0,0.02,0.0,0.4488456483499006
3581,40.0,0.32,2.0,2.0,2.0,0.02,0.41124697513346936
8637,90.0,0.32,0.2,2.0,2.0,0.02,0.45444341732915033
6080,60.0,1.28,2.0,0.0,0.0,0.0,0.42718792760117785
3110,40.0,0.16,0.0,0.2,0.02,0.2,0.4716539076651534
3121,40.0,0.16,0.0,2.0,0.0,0.02,0.46537499650988623
5812,60.0,0.64,0.2,2.0,0.02,0.0,0.4516771548328452
6187,70.0,0.16,0.0,0.2,0.2,2.0,0.3507389369294154
9023,90.0,1.28,0.0,2.0,2.0,2.0,0.3503769039399866
8375,90.0,0.16,0.2,2.0,0.02,2.0,0.39361966624955924
3044,30.0,1.28,2.0,0.2,0.02,0.0,0.4382548525102076
4663,50.0,0.64,0.0,2.0,0.02,2.0,0.40896164422020653
5858,60.0,0.64,2.0,0.2,0.0,0.2,0.4478474838394159
2050,30.0,0.16,0.0,0.0,0.0,0.2,0.4600351205350146
8109,80.0,1.28,0.2,0.2,2.0,0.02,0.4608110194782759
