,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
1343,20.0,0.32,0.0,2.0,2.0,2.0,0.37752720087156644
6211,70.0,0.16,0.02,0.0,0.0,2.0,0.4536275453553137
8137,80.0,1.28,2.0,0.0,0.2,0.02,0.4238906765527679
3096,40.0,0.16,0.0,0.02,0.2,0.0,0.4475105409708636
743,10.0,0.64,2.0,0.2,0.02,2.0,0.42753151964381164
8769,90.0,0.64,0.02,0.0,0.0,0.02,0.4420337737143163
668,10.0,0.64,0.2,0.02,2.0,0.0,0.42733693310466647
2552,30.0,0.32,2.0,2.0,0.2,0.0,0.4418838161864514
4540,50.0,0.32,0.2,2.0,2.0,0.0,0.4448933396093555
2641,30.0,0.64,0.02,0.02,0.0,0.02,0.42352252297626386
8878,90.0,0.64,0.2,0.2,2.0,0.2,0.4106816592401884
435,10.0,0.32,0.2,2.0,0.0,2.0,0.4267197062703548
8872,90.0,0.64,0.2,0.2,0.2,0.0,0.43867238231142835
3772,40.0,0.64,0.2,2.0,2.0,0.0,0.4327516865779397
5696,60.0,0.64,0.02,0.0,0.0,0.0,0.40769475987802084
3990,40.0,1.28,0.2,0.02,0.02,0.2,0.43958801555523974
1805,20.0,1.28,0.0,0.0,2.0,0.02,0.44325443979317786
5631,60.0,0.32,2.0,2.0,2.0,2.0,0.35584876315032277
8207,90.0,0.16,0.0,0.0,2.0,2.0,0.3339418436193608
6421,70.0,0.32,0.0,0.02,0.02,0.02,0.4544722950818764
4259,50.0,0.16,0.2,0.2,0.0,2.0,0.4572846993369252
2643,30.0,0.64,0.02,0.02,0.0,2.0,0.42441554111090485
5285,60.0,0.16,0.2,0.2,0.02,0.02,0.44898638426151805
7228,80.0,0.16,0.0,2.0,2.0,0.0,0.4465734391089727
8618,90.0,0.32,0.2,0.2,0.2,0.2,0.43239234050733216
2830,30.0,1.28,0.0,0.0,2.0,0.2,0.4256615431699303
8026,80.0,1.28,0.02,0.02,0.2,0.2,0.4387272106994843
7772,80.0,0.64,0.02,0.02,2.0,0.0,0.4377605992515926
577,10.0,0.64,0.02,0.0,0.0,0.02,0.44421337848875053
3496,40.0,0.32,0.2,0.2,0.2,0.0,0.42293271869346094
7840,80.0,0.64,0.2,0.2,0.0,0.0,0.44332571362979895
7412,80.0,0.16,2.0,2.0,0.02,0.0,0.446919737095729
707,10.0,0.64,2.0,0.0,0.0,2.0,0.45194727862069817
3361,40.0,0.32,0.0,0.2,0.0,0.02,0.4434246972603639
5013,50.0,1.28,0.2,0.02,0.02,0.02,0.4335564235712745
6379,70.0,0.16,2.0,0.2,0.2,2.0,0.3624502829120056
7996,80.0,1.28,0.0,2.0,2.0,0.0,0.44919124351009687
4926,50.0,1.28,0.0,2.0,2.0,0.2,0.42882940770572225
3988,40.0,1.28,0.2,0.02,0.02,0.0,0.42669582367220565
8456,90.0,0.32,0.0,0.0,0.2,0.0,0.43943931458353996
4436,50.0,0.32,0.02,0.02,0.02,0.0,0.41532457383025306
8286,90.0,0.16,0.02,0.02,2.0,0.2,0.3978774678599222
8996,90.0,1.28,0.0,0.2,0.02,0.0,0.4392380908267336
5061,50.0,1.28,2.0,0.0,0.02,0.02,0.42898795194499884
346,10.0,0.32,0.02,0.02,0.2,0.2,0.425425077273876
2632,30.0,0.64,0.02,0.0,0.2,0.0,0.43857436672782196
1812,20.0,1.28,0.0,0.02,0.02,0.0,0.4456359449882966
1150,20.0,0.16,0.02,2.0,2.0,0.2,0.40598061952494263
9003,90.0,1.28,0.0,0.2,0.2,2.0,0.4043402618593593
7363,80.0,0.16,2.0,0.0,0.0,2.0,0.44165735276838836
5853,60.0,0.64,2.0,0.02,2.0,0.02,0.417912793217097
7986,80.0,1.28,0.0,2.0,0.0,0.2,0.45386787208897705
7342,80.0,0.16,0.2,0.2,2.0,0.2,0.3906642653353891
8404,90.0,0.16,2.0,0.02,0.02,0.0,0.4468802192815953
2094,30.0,0.16,0.0,0.2,2.0,0.2,0.3923010503949114
8004,80.0,1.28,0.02,0.0,0.02,0.0,0.4348235593703041
5974,60.0,1.28,0.02,0.02,0.02,0.2,0.4483837749784684
3110,40.0,0.16,0.0,0.2,0.02,0.2,0.45759903963271253
7237,80.0,0.16,0.02,0.0,0.02,0.02,0.46486100835256516
3741,40.0,0.64,0.2,0.02,2.0,0.02,0.4540805886237535
8720,90.0,0.64,0.0,0.02,0.0,0.0,0.43395268354870326
1016,10.0,1.28,2.0,2.0,0.2,0.0,0.4310800130916265
536,10.0,0.64,0.0,0.02,0.2,0.0,0.40835685172851427
7156,70.0,1.28,2.0,2.0,0.02,0.0,0.4534289775023413
4202,50.0,0.16,0.02,0.2,0.2,0.2,0.4354597362875361
4541,50.0,0.32,0.2,2.0,2.0,0.02,0.44623928846585553
6686,70.0,0.64,0.0,0.02,2.0,0.2,0.41722074304199747
3037,30.0,1.28,2.0,0.02,2.0,0.02,0.4166883057475738
5529,60.0,0.32,0.2,0.02,0.2,0.02,0.44797682740354083
2143,30.0,0.16,0.02,0.02,2.0,2.0,0.3448837103930967
8086,80.0,1.28,0.2,0.02,0.02,0.2,0.45317621131020325
8420,90.0,0.16,2.0,0.2,0.02,0.0,0.44076148877395716
2873,30.0,1.28,0.0,2.0,0.2,0.02,0.45014354750228674
4500,50.0,0.32,0.2,0.02,0.02,0.0,0.4294803216047886
1850,20.0,1.28,0.0,2.0,0.2,0.2,0.40289626421603164
6688,70.0,0.64,0.0,0.2,0.0,0.0,0.4471905115885169
4057,40.0,1.28,2.0,0.02,0.2,0.02,0.4305516408010075
1507,20.0,0.32,2.0,0.2,0.0,2.0,0.4699977926799459
629,10.0,0.64,0.02,2.0,0.02,0.02,0.4375843911189077
6439,70.0,0.32,0.0,0.2,0.02,2.0,0.425380877775101
8506,90.0,0.32,0.0,2.0,0.2,0.2,0.4415539451008577
4462,50.0,0.32,0.02,0.2,2.0,0.2,0.42334333480287084
3336,40.0,0.32,0.0,0.0,0.2,0.0,0.4300491322916975
230,10.0,0.16,2.0,0.2,0.02,0.2,0.4284596240125567
189,10.0,0.16,0.2,2.0,2.0,0.02,0.42123700584188417
4834,50.0,0.64,2.0,0.2,0.0,0.2,0.45229288201898415
2890,30.0,1.28,0.02,0.0,0.2,0.2,0.4398032931918727
5518,60.0,0.32,0.2,0.0,2.0,0.2,0.4033787932314322
6983,70.0,1.28,0.02,0.0,0.02,2.0,0.41935273864944717
6294,70.0,0.16,0.2,0.02,0.02,0.2,0.45765854543768264
3503,40.0,0.32,0.2,0.2,2.0,2.0,0.35618011818239675
5325,60.0,0.16,2.0,0.0,2.0,0.02,0.4130323313585393
5954,60.0,1.28,0.02,0.0,0.0,0.2,0.41264084197505585
8833,90.0,0.64,0.2,0.0,0.0,0.02,0.42843186193291705
534,10.0,0.64,0.0,0.02,0.02,0.2,0.43833398185724165
8262,90.0,0.16,0.02,0.0,0.02,0.2,0.4516106441154406
2069,30.0,0.16,0.0,0.02,0.02,0.02,0.4416805489469628
7655,80.0,0.32,2.0,0.2,0.02,2.0,0.4128150325630523
9023,90.0,1.28,0.0,2.0,2.0,2.0,0.3798781046503255
3843,40.0,1.28,0.0,0.0,0.0,2.0,0.4370836692750971
3690,40.0,0.64,0.02,0.2,0.2,0.2,0.434870500022336
