,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
2097,30.0,0.16,0.0,2.0,0.0,0.02,0.3917886306699615
8027,80.0,1.28,0.02,0.02,0.2,2.0,0.28994152910770626
3136,40.0,0.16,0.02,0.0,0.0,0.0,0.4015836765195567
1171,20.0,0.16,0.2,0.02,0.0,2.0,0.3763530123078334
7256,80.0,0.16,0.02,0.02,0.2,0.0,0.394245994595744
3348,40.0,0.32,0.0,0.02,0.02,0.0,0.39197400472148264
5721,60.0,0.64,0.02,0.02,0.2,0.02,0.38799746802776813
5115,50.0,1.28,2.0,2.0,0.2,2.0,0.27875692652855955
4147,50.0,0.16,0.0,2.0,0.0,2.0,0.36645410192751365
2827,30.0,1.28,0.0,0.0,0.2,2.0,0.2786618859627743
3373,40.0,0.32,0.0,0.2,2.0,0.02,0.3725103016798189
3749,40.0,0.64,0.2,0.2,0.02,0.02,0.3897096597746626
3162,40.0,0.16,0.02,0.02,0.2,0.2,0.33870947057072076
4047,40.0,1.28,2.0,0.0,2.0,2.0,0.2682123704601077
8636,90.0,0.32,0.2,2.0,2.0,0.0,0.37359996667635376
4859,50.0,0.64,2.0,2.0,0.2,2.0,0.29563359151591334
6153,70.0,0.16,0.0,0.0,0.2,0.02,0.37055766119712297
6801,70.0,0.64,0.2,0.02,0.0,0.02,0.3498871209058025
6378,70.0,0.16,2.0,0.2,0.2,0.2,0.3117528937218575
4956,50.0,1.28,0.02,0.02,2.0,0.0,0.38722169644760335
4705,50.0,0.64,0.02,0.2,0.0,0.02,0.3630793422917449
2764,30.0,0.64,2.0,0.0,2.0,0.0,0.3173896894702902
6343,70.0,0.16,2.0,0.0,0.02,2.0,0.30453671726039044
7152,70.0,1.28,2.0,2.0,0.0,0.0,0.38635427711197706
2104,30.0,0.16,0.0,2.0,0.2,0.0,0.3688995127465177
6293,70.0,0.16,0.2,0.02,0.02,0.02,0.3831710259218415
8524,90.0,0.32,0.02,0.0,2.0,0.0,0.376603170860606
7234,80.0,0.16,0.02,0.0,0.0,0.2,0.3847881424114043
719,10.0,0.64,2.0,0.0,2.0,2.0,0.2885573012484794
8405,90.0,0.16,2.0,0.02,0.02,0.02,0.3694940949806913
1983,20.0,1.28,0.2,2.0,2.0,2.0,0.2852141888238387
7030,70.0,1.28,0.02,2.0,0.02,0.2,0.36628937057850697
7517,80.0,0.32,0.02,0.02,2.0,0.02,0.3818064407922241
1930,20.0,1.28,0.2,0.0,0.2,0.2,0.33887602999827315
