,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
6951,70.0,1.28,0.0,0.2,0.02,2.0,0.4584163824433645
1706,20.0,0.64,0.2,0.2,0.2,0.2,0.4864499010532459
3284,40.0,0.16,2.0,0.02,0.02,0.0,0.48482568877446663
6245,70.0,0.16,0.02,0.2,0.02,0.02,0.48183895768391155
3903,40.0,1.28,0.0,2.0,2.0,2.0,0.4223702448752369
6038,60.0,1.28,0.2,0.02,0.02,0.2,0.46219043415983996
7236,80.0,0.16,0.02,0.0,0.02,0.0,0.4519936785573176
5449,60.0,0.32,0.02,0.0,0.2,0.02,0.49273198682517744
7753,80.0,0.64,0.02,0.0,0.2,0.02,0.48619529274696394
377,10.0,0.32,0.02,2.0,0.2,0.02,0.43937574297014276
3116,40.0,0.16,0.0,0.2,2.0,0.0,0.4551520664582524
5125,60.0,0.16,0.0,0.0,0.02,0.02,0.48703039337966286
1266,20.0,0.16,2.0,2.0,0.0,0.2,0.48399244771619154
1,10.0,0.16,0.0,0.0,0.0,0.02,0.4447108598275281
822,10.0,1.28,0.0,2.0,0.02,0.2,0.4617955204669553
4396,50.0,0.32,0.0,0.2,2.0,0.0,0.4733524343881493
7898,80.0,0.64,2.0,0.02,0.2,0.2,0.46949887540071833
2679,30.0,0.64,0.02,2.0,0.02,2.0,0.4562000730637141
3301,40.0,0.16,2.0,0.2,0.02,0.02,0.49078512356246073
6497,70.0,0.32,0.02,0.2,0.0,0.02,0.46443766460271463
8376,90.0,0.16,0.2,2.0,0.2,0.0,0.46931603512337655
4017,40.0,1.28,0.2,2.0,0.0,0.02,0.4816879592258071
7722,80.0,0.64,0.0,0.2,0.2,0.2,0.49666007812257323
2207,30.0,0.16,0.2,0.02,2.0,2.0,0.3777073629544057
1875,20.0,1.28,0.02,0.02,0.0,2.0,0.40934576076333695
7600,80.0,0.32,0.2,2.0,0.0,0.0,0.46639481645275577
2609,30.0,0.64,0.0,2.0,0.0,0.02,0.4715877609516395
6455,70.0,0.32,0.0,2.0,0.02,2.0,0.46561795337480283
6845,70.0,0.64,0.2,2.0,2.0,0.02,0.5016234548804859
6008,60.0,1.28,0.02,2.0,0.2,0.0,0.4645358909823392
6434,70.0,0.32,0.0,0.2,0.0,0.2,0.4699241342529174
7455,80.0,0.32,0.0,0.02,2.0,2.0,0.4244699164088916
9002,90.0,1.28,0.0,0.2,0.2,0.2,0.4828216809570105
1446,20.0,0.32,0.2,0.2,0.02,0.2,0.48264559110292926
2555,30.0,0.32,2.0,2.0,0.2,2.0,0.4030399887753129
2579,30.0,0.64,0.0,0.02,0.0,2.0,0.4394983311910011
3443,40.0,0.32,0.02,2.0,0.0,2.0,0.4844430045741344
467,10.0,0.32,2.0,0.02,0.0,2.0,0.4810017714123752
720,10.0,0.64,2.0,0.02,0.0,0.0,0.4564276862862875
172,10.0,0.16,0.2,0.2,2.0,0.0,0.4490995200004042
6693,70.0,0.64,0.0,0.2,0.02,0.02,0.49176633972717293
3528,40.0,0.32,2.0,0.0,0.2,0.0,0.4974974153251095
8782,90.0,0.64,0.02,0.0,2.0,0.2,0.468278595746648
6699,70.0,0.64,0.0,0.2,0.2,2.0,0.4395032896131553
2162,30.0,0.16,0.02,2.0,0.0,0.2,0.4821615183977414
1496,20.0,0.32,2.0,0.02,0.2,0.0,0.4630651788365924
7612,80.0,0.32,0.2,2.0,2.0,0.0,0.4726808494472245
2754,30.0,0.64,2.0,0.0,0.0,0.2,0.47077454483826287
1829,20.0,1.28,0.0,0.2,0.02,0.02,0.471148865222104
7262,80.0,0.16,0.02,0.02,2.0,0.2,0.46188649739080156
6446,70.0,0.32,0.0,0.2,2.0,0.2,0.4688484791631368
4237,50.0,0.16,0.2,0.0,2.0,0.02,0.4706706000877306
9214,90.0,1.28,2.0,2.0,2.0,0.2,0.44595128213545043
5425,60.0,0.32,0.0,2.0,0.0,0.02,0.4845914469348535
6281,70.0,0.16,0.2,0.0,0.2,0.02,0.4885806367095795
4830,50.0,0.64,2.0,0.02,2.0,0.2,0.4560369266842398
2246,30.0,0.16,2.0,0.0,0.02,0.2,0.4963407245978847
8263,90.0,0.16,0.02,0.0,0.02,2.0,0.44513049554992357
3548,40.0,0.32,2.0,0.02,2.0,0.0,0.45056245473217
4627,50.0,0.64,0.0,0.02,0.0,2.0,0.44884772299926834
7079,70.0,1.28,0.2,0.2,0.02,2.0,0.4632278396236411
2739,30.0,0.64,0.2,2.0,0.0,2.0,0.45825851820751473
4350,50.0,0.16,2.0,2.0,2.0,0.2,0.4495182448536084
8919,90.0,0.64,2.0,0.02,0.02,2.0,0.4596975827139529
5411,60.0,0.32,0.0,0.2,0.0,2.0,0.4914171213609865
7990,80.0,1.28,0.0,2.0,0.02,0.2,0.4926747677449687
8497,90.0,0.32,0.0,2.0,0.0,0.02,0.4742637088278216
2636,30.0,0.64,0.02,0.0,2.0,0.0,0.47272775887379664
2733,30.0,0.64,0.2,0.2,2.0,0.02,0.4849808726154592
7014,70.0,1.28,0.02,0.2,0.02,0.2,0.47641843819045304
7104,70.0,1.28,2.0,0.0,0.0,0.0,0.46387407935061503
5997,60.0,1.28,0.02,0.2,2.0,0.02,0.48425012382911
8170,80.0,1.28,2.0,0.2,0.2,0.2,0.4673420945138691
2267,30.0,0.16,2.0,0.02,0.2,2.0,0.4206466432597549
2138,30.0,0.16,0.02,0.02,0.2,0.2,0.48075914090755634
6890,70.0,0.64,2.0,0.2,0.2,0.2,0.464173847610428
66,10.0,0.16,0.02,0.0,0.0,0.2,0.46101841539510613
