,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
4825,50.0,0.64,2.0,0.02,0.2,0.02,0.35664012088676966
1948,20.0,1.28,0.2,0.02,2.0,0.0,0.3672443104901204
7071,70.0,1.28,0.2,0.02,2.0,2.0,0.28214326504349646
7968,80.0,1.28,0.0,0.2,0.0,0.0,0.4185143469983927
3873,40.0,1.28,0.0,0.2,0.0,0.02,0.4134738921329285
2981,30.0,1.28,0.2,0.2,0.02,0.02,0.40426484320425987
177,10.0,0.16,0.2,2.0,0.0,0.02,0.3602752163064983
2165,30.0,0.16,0.02,2.0,0.02,0.02,0.4036698135462365
5687,60.0,0.64,0.0,2.0,0.02,2.0,0.3151485015431294
8563,90.0,0.32,0.02,2.0,0.0,2.0,0.34778303965793617
2254,30.0,0.16,2.0,0.0,2.0,0.2,0.2992595573969969
4103,50.0,0.16,0.0,0.0,0.02,2.0,0.34253800831067477
7262,80.0,0.16,0.02,0.02,2.0,0.2,0.2912005542816382
3105,40.0,0.16,0.0,0.2,0.0,0.02,0.3957622102154489
7878,80.0,0.64,2.0,0.0,0.02,0.2,0.3903613638187201
6367,70.0,0.16,2.0,0.02,2.0,2.0,0.2690801465094371
4679,50.0,0.64,0.02,0.0,0.02,2.0,0.33059820430799314
1015,10.0,1.28,2.0,2.0,0.02,2.0,0.31270505756874556
6887,70.0,0.64,2.0,0.2,0.02,2.0,0.3070853490000379
2836,30.0,1.28,0.0,0.02,0.02,0.0,0.3896651720581856
4123,50.0,0.16,0.0,0.02,0.2,2.0,0.3122618216715065
1400,20.0,0.32,0.02,2.0,0.2,0.0,0.39028224652560195
7553,80.0,0.32,0.2,0.0,0.0,0.02,0.38503120137379665
2149,30.0,0.16,0.02,0.2,0.02,0.02,0.40974681909960425
164,10.0,0.16,0.2,0.2,0.02,0.0,0.352399456977311
8117,80.0,1.28,0.2,2.0,0.02,0.02,0.3920746633727417
5975,60.0,1.28,0.02,0.02,0.02,2.0,0.323825296087207
3660,40.0,0.64,0.02,0.0,2.0,0.0,0.3996441163521501
1064,20.0,0.16,0.0,0.2,0.2,0.0,0.36728915063819567
6692,70.0,0.64,0.0,0.2,0.02,0.0,0.40210395908212276
5781,60.0,0.64,0.2,0.02,0.02,0.02,0.4014224824683569
1924,20.0,1.28,0.2,0.0,0.02,0.0,0.4103907206552167
3163,40.0,0.16,0.02,0.02,0.2,2.0,0.2978037832543542
2978,30.0,1.28,0.2,0.2,0.0,0.2,0.4156479855929662
4820,50.0,0.64,2.0,0.02,0.02,0.0,0.39502394933452617
2001,20.0,1.28,2.0,0.02,0.0,0.02,0.3992468503079041
5533,60.0,0.32,0.2,0.02,2.0,0.02,0.38614726781691217
1994,20.0,1.28,2.0,0.0,0.2,0.2,0.3760157817699431
1208,20.0,0.16,0.2,2.0,0.2,0.0,0.38118369843228134
717,10.0,0.64,2.0,0.0,2.0,0.02,0.35957457338506743
5201,60.0,0.16,0.02,0.02,0.0,0.02,0.4009850862533374
3261,40.0,0.16,0.2,2.0,2.0,0.02,0.3792987649001163
6545,70.0,0.32,0.2,0.02,0.0,0.02,0.40221887786566224
8600,90.0,0.32,0.2,0.02,0.2,0.0,0.40309615870971105
2911,30.0,1.28,0.02,0.02,2.0,2.0,0.30508959348430287
3522,40.0,0.32,2.0,0.0,0.0,0.2,0.4130232148982787
1417,20.0,0.32,0.2,0.0,0.2,0.02,0.3885347999251917
6009,60.0,1.28,0.02,2.0,0.2,0.02,0.40307807913694027
9059,90.0,1.28,0.02,0.2,0.0,2.0,0.35475953583218417
252,10.0,0.16,2.0,2.0,2.0,0.0,0.3070096090891806
7266,80.0,0.16,0.02,0.2,0.0,0.2,0.42014957303505607
