,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
6058,60.0,1.28,0.2,0.2,0.2,0.2,0.449137789412155
6094,60.0,1.28,2.0,0.0,2.0,0.2,0.39849021093590437
8771,90.0,0.64,0.02,0.0,0.0,2.0,0.4437131826854544
2288,30.0,0.16,2.0,2.0,0.0,0.0,0.46408072716266824
6999,70.0,1.28,0.02,0.02,0.02,2.0,0.38864720187210633
2305,30.0,0.32,0.0,0.0,0.0,0.02,0.45644253868740653
3031,30.0,1.28,2.0,0.02,0.02,2.0,0.4096239941728201
7582,80.0,0.32,0.2,0.02,2.0,0.2,0.41419495830327846
3316,40.0,0.16,2.0,2.0,0.02,0.0,0.45742093771804837
7675,80.0,0.32,2.0,2.0,0.2,2.0,0.34554640913490914
7237,80.0,0.16,0.02,0.0,0.02,0.02,0.4544182443871353
4368,50.0,0.32,0.0,0.02,0.0,0.0,0.45918780043525675
8475,90.0,0.32,0.0,0.02,0.2,2.0,0.3779546732116398
1603,20.0,0.64,0.02,0.0,0.0,2.0,0.46772681670667804
5940,60.0,1.28,0.0,2.0,0.02,0.0,0.4528420073010676
1458,20.0,0.32,0.2,2.0,0.0,0.2,0.4734670790821827
846,10.0,1.28,0.02,0.0,2.0,0.2,0.44129841976095513
1027,20.0,0.16,0.0,0.0,0.0,2.0,0.4682561359479071
6104,60.0,1.28,2.0,0.02,0.2,0.0,0.46304442803650603
6666,70.0,0.64,0.0,0.0,0.2,0.2,0.45242393960353616
7839,80.0,0.64,0.2,0.02,2.0,2.0,0.35981399350336507
5262,60.0,0.16,0.2,0.0,2.0,0.2,0.3721496918133446
6420,70.0,0.32,0.0,0.02,0.02,0.0,0.4611009782383534
6903,70.0,0.64,2.0,2.0,0.02,2.0,0.3807578744359839
2242,30.0,0.16,2.0,0.0,0.0,0.2,0.4780486112877921
5404,60.0,0.32,0.0,0.02,2.0,0.0,0.45529968331693466
3335,40.0,0.32,0.0,0.0,0.02,2.0,0.4205250405310161
370,10.0,0.32,0.02,2.0,0.0,0.2,0.46581972178643866
2840,30.0,1.28,0.0,0.02,0.2,0.0,0.4607223102930373
6683,70.0,0.64,0.0,0.02,0.2,2.0,0.3782336536562126
7981,80.0,1.28,0.0,0.2,2.0,0.02,0.4653001974350972
1356,20.0,0.32,0.02,0.0,2.0,0.0,0.46328311722620197
