,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
7175,80.0,0.16,0.0,0.0,0.02,2.0,0.4064042244692871
6778,70.0,0.64,0.02,2.0,0.2,0.2,0.45235705534840304
1525,20.0,0.32,2.0,2.0,0.02,0.02,0.4737656975085638
4494,50.0,0.32,0.2,0.0,2.0,0.2,0.4189364346194585
7136,70.0,1.28,2.0,0.2,0.0,0.0,0.47110218360601624
6267,70.0,0.16,0.02,2.0,0.2,2.0,0.37125070699707996
6382,70.0,0.16,2.0,0.2,2.0,0.2,0.3452420941294654
7391,80.0,0.16,2.0,0.02,2.0,2.0,0.30704923946460944
8217,90.0,0.16,0.0,0.02,0.2,0.02,0.47507513423243586
3734,40.0,0.64,0.2,0.02,0.02,0.2,0.4704242455582678
4992,50.0,1.28,0.2,0.0,0.0,0.0,0.45779977862386395
1315,20.0,0.32,0.0,0.2,0.0,2.0,0.4874660731436832
1568,20.0,0.64,0.0,0.2,0.0,0.0,0.4556666458703658
7921,80.0,0.64,2.0,2.0,0.0,0.02,0.4731902373674162
4652,50.0,0.64,0.0,0.2,2.0,0.0,0.4779998995612094
592,10.0,0.64,0.02,0.02,0.0,0.0,0.45887228685627723
173,10.0,0.16,0.2,0.2,2.0,0.02,0.43338308734385184
8089,80.0,1.28,0.2,0.02,0.2,0.02,0.48173407633200127
7694,80.0,0.64,0.0,0.0,2.0,0.2,0.44467175265193304
6562,70.0,0.32,0.2,0.2,0.0,0.2,0.49076456420028297
7100,70.0,1.28,0.2,2.0,2.0,0.0,0.4703687391065535
5874,60.0,0.64,2.0,2.0,0.0,0.2,0.4638292396741512
5603,60.0,0.32,2.0,0.2,0.0,2.0,0.47794140408106517
5542,60.0,0.32,0.2,0.2,0.02,0.2,0.45826590001213346
343,10.0,0.32,0.02,0.02,0.02,2.0,0.4539199943325978
1341,20.0,0.32,0.0,2.0,2.0,0.02,0.47089084622581456
967,10.0,1.28,2.0,0.0,0.02,2.0,0.41234219840888553
8196,90.0,0.16,0.0,0.0,0.02,0.0,0.45871181223582247
7040,70.0,1.28,0.2,0.0,0.0,0.0,0.46201078558282743
6521,70.0,0.32,0.02,2.0,0.2,0.02,0.4694945998564182
5260,60.0,0.16,0.2,0.0,2.0,0.0,0.4666276797241481
5717,60.0,0.64,0.02,0.02,0.02,0.02,0.47921338705567773
2719,30.0,0.64,0.2,0.02,2.0,2.0,0.4005404186479281
7328,80.0,0.16,0.2,0.2,0.0,0.0,0.46994798500474017
3119,40.0,0.16,0.0,0.2,2.0,2.0,0.31369271124006
8993,90.0,1.28,0.0,0.2,0.0,0.02,0.4631032270931109
5285,60.0,0.16,0.2,0.2,0.02,0.02,0.4894812003022281
1353,20.0,0.32,0.02,0.0,0.2,0.02,0.47418470824962616
586,10.0,0.64,0.02,0.0,0.2,0.2,0.4686037094331057
3087,40.0,0.16,0.0,0.0,2.0,2.0,0.31888739711504954
4899,50.0,1.28,0.0,0.2,0.0,2.0,0.4554596747604501
8675,90.0,0.32,2.0,0.2,0.0,2.0,0.48308156123737606
6605,70.0,0.32,2.0,0.0,2.0,0.02,0.39002998248300347
2901,30.0,1.28,0.02,0.02,0.02,0.02,0.47075691575217304
8683,90.0,0.32,2.0,0.2,0.2,2.0,0.350053399088601
384,10.0,0.32,0.2,0.0,0.0,0.0,0.4818094675142735
928,10.0,1.28,0.2,0.2,0.0,0.0,0.47650819626339364
2656,30.0,0.64,0.02,0.2,0.0,0.0,0.48533410485058864
3594,40.0,0.64,0.0,0.0,0.2,0.2,0.4679936796219893
5043,50.0,1.28,0.2,2.0,0.0,2.0,0.3896809574299683
6410,70.0,0.32,0.0,0.0,0.2,0.2,0.45052431078817917
9064,90.0,1.28,0.02,0.2,0.2,0.0,0.44313646990073463
6250,70.0,0.16,0.02,0.2,0.2,0.2,0.44208141533296474
956,10.0,1.28,0.2,2.0,2.0,0.0,0.4232690833945103
7870,80.0,0.64,0.2,2.0,2.0,0.2,0.44565859020110876
3230,40.0,0.16,0.2,0.02,2.0,0.2,0.3840532362821145
3691,40.0,0.64,0.02,0.2,0.2,2.0,0.3866069361023742
9162,90.0,1.28,2.0,0.0,0.2,0.2,0.44926636253774316
3288,40.0,0.16,2.0,0.02,0.2,0.0,0.47297293914726357
1331,20.0,0.32,0.0,2.0,0.0,2.0,0.46649061818342547
7919,80.0,0.64,2.0,0.2,2.0,2.0,0.35384579626964635
147,10.0,0.16,0.2,0.02,0.0,2.0,0.4745828389689291
2212,30.0,0.16,0.2,0.2,0.02,0.0,0.4774008121310103
6774,70.0,0.64,0.02,2.0,0.02,0.2,0.48730430863453295
5076,50.0,1.28,2.0,0.02,0.02,0.0,0.4833990316175792
2566,30.0,0.64,0.0,0.0,0.02,0.2,0.4804774278511968
7405,80.0,0.16,2.0,0.2,2.0,0.02,0.37851904691807925
8249,90.0,0.16,0.0,2.0,0.2,0.02,0.47269673111302674
2941,30.0,1.28,0.02,2.0,2.0,0.02,0.48320905900346717
923,10.0,1.28,0.2,0.02,0.2,2.0,0.40198392849614656
6644,70.0,0.32,2.0,2.0,0.02,0.0,0.48313179965620556
1084,20.0,0.16,0.0,2.0,2.0,0.0,0.43624363966140023
4995,50.0,1.28,0.2,0.0,0.0,2.0,0.4601636869683133
2492,30.0,0.32,0.2,2.0,2.0,0.0,0.4834005626954327
4249,50.0,0.16,0.2,0.02,0.2,0.02,0.4685420136383709
5430,60.0,0.32,0.0,2.0,0.02,0.2,0.4654269358664375
1514,20.0,0.32,2.0,0.2,0.2,0.2,0.431699783330278
1689,20.0,0.64,0.2,0.02,0.2,0.02,0.47514475006421397
6523,70.0,0.32,0.02,2.0,0.2,2.0,0.3676926140200405
2870,30.0,1.28,0.0,2.0,0.02,0.2,0.4652692539119483
7003,70.0,1.28,0.02,0.02,0.2,2.0,0.3889909486385908
2618,30.0,0.64,0.0,2.0,0.2,0.2,0.4664603565768735
8854,90.0,0.64,0.2,0.02,0.02,0.2,0.4829118488544393
683,10.0,0.64,0.2,0.2,0.2,2.0,0.41512507576215824
1998,20.0,1.28,2.0,0.0,2.0,0.2,0.4049787999529625
7274,80.0,0.16,0.02,0.2,0.2,0.2,0.4299137177116462
2583,30.0,0.64,0.0,0.02,0.02,2.0,0.45015451940043066
5377,60.0,0.32,0.0,0.0,0.0,0.02,0.4551991274184123
8414,90.0,0.16,2.0,0.02,2.0,0.2,0.33865035581898156
8964,90.0,1.28,0.0,0.0,0.02,0.0,0.4610576278473685
2140,30.0,0.16,0.02,0.02,2.0,0.0,0.4563637525724108
1609,20.0,0.64,0.02,0.0,0.2,0.02,0.4829996004001827
6429,70.0,0.32,0.0,0.02,2.0,0.02,0.47662824494099654
690,10.0,0.64,0.2,2.0,0.0,0.2,0.4620688595490764
7416,80.0,0.16,2.0,2.0,0.2,0.0,0.465547466447375
6000,60.0,1.28,0.02,2.0,0.0,0.0,0.467437363014151
3306,40.0,0.16,2.0,0.2,0.2,0.2,0.4043109593957209
5565,60.0,0.32,0.2,2.0,2.0,0.02,0.47361538244790596
1204,20.0,0.16,0.2,2.0,0.02,0.0,0.46405442780072376
6004,60.0,1.28,0.02,2.0,0.02,0.0,0.4852169432435547
1037,20.0,0.16,0.0,0.0,2.0,0.02,0.4522488225589427
3676,40.0,0.64,0.02,0.02,2.0,0.0,0.45932527612145896
5807,60.0,0.64,0.2,0.2,2.0,2.0,0.36337068700716424
5532,60.0,0.32,0.2,0.02,2.0,0.0,0.4797654417274469
743,10.0,0.64,2.0,0.2,0.02,2.0,0.4423799874679675
2768,30.0,0.64,2.0,0.02,0.0,0.0,0.46193873123930507
6085,60.0,1.28,2.0,0.0,0.02,0.02,0.46551497586791674
2145,30.0,0.16,0.02,0.2,0.0,0.02,0.47697696137908524
4778,50.0,0.64,0.2,0.2,0.2,0.2,0.4776249237439041
1617,20.0,0.64,0.02,0.02,0.0,0.02,0.45579258535492984
2808,30.0,0.64,2.0,2.0,0.2,0.0,0.47455827647953747
1854,20.0,1.28,0.0,2.0,2.0,0.2,0.43784936812532466
3621,40.0,0.64,0.0,0.2,0.02,0.02,0.4690576656187238
8709,90.0,0.64,0.0,0.0,0.02,0.02,0.47576403003237616
3783,40.0,0.64,2.0,0.0,0.02,2.0,0.4268182072215103
6841,70.0,0.64,0.2,2.0,0.2,0.02,0.4834218682241149
7339,80.0,0.16,0.2,0.2,0.2,2.0,0.35233076466622465
5196,60.0,0.16,0.02,0.0,2.0,0.0,0.46881352049126784
1080,20.0,0.16,0.0,2.0,0.2,0.0,0.4706233022132661
3150,40.0,0.16,0.02,0.0,2.0,0.2,0.4131416599377337
4567,50.0,0.32,2.0,0.02,0.02,2.0,0.4175639756981824
4947,50.0,1.28,0.02,0.02,0.0,2.0,0.4525168488936322
7511,80.0,0.32,0.02,0.02,0.02,2.0,0.43585825830320735
6500,70.0,0.32,0.02,0.2,0.02,0.0,0.4656755943737848
5981,60.0,1.28,0.02,0.02,2.0,0.02,0.4733615211714573
3601,40.0,0.64,0.0,0.02,0.0,0.02,0.478064908463411
6205,70.0,0.16,0.0,2.0,2.0,0.02,0.4549274914069667
1323,20.0,0.32,0.0,0.2,0.2,2.0,0.39276568142745294
210,10.0,0.16,2.0,0.02,0.0,0.2,0.4765191731199808
7273,80.0,0.16,0.02,0.2,0.2,0.02,0.47881673004289943
2397,30.0,0.32,0.02,0.02,2.0,0.02,0.4768681890184733
8918,90.0,0.64,2.0,0.02,0.02,0.2,0.45782854997173694
7703,80.0,0.64,0.0,0.02,0.02,2.0,0.44097316664475394
7174,80.0,0.16,0.0,0.0,0.02,0.2,0.47231418127336044
4715,50.0,0.64,0.02,0.2,0.2,2.0,0.3991263592552651
6721,70.0,0.64,0.02,0.0,0.0,0.02,0.4702525667926008
8238,90.0,0.16,0.0,0.2,2.0,0.2,0.3735180311043266
8051,80.0,1.28,0.02,2.0,0.0,2.0,0.39211144832706046
8996,90.0,1.28,0.0,0.2,0.02,0.0,0.4671691376223656
7643,80.0,0.32,2.0,0.02,0.2,2.0,0.3604144932115852
5668,60.0,0.64,0.0,0.2,0.02,0.0,0.4865059055012526
4047,40.0,1.28,2.0,0.0,2.0,2.0,0.345997518713842
8549,90.0,0.32,0.02,0.2,0.02,0.02,0.4800264603095954
5990,60.0,1.28,0.02,0.2,0.02,0.2,0.47242909243124703
4631,50.0,0.64,0.0,0.02,0.02,2.0,0.4408726161325574
