,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
6807,70.0,0.64,0.2,0.02,0.02,2.0,0.38746733615545037
5579,60.0,0.32,2.0,0.0,0.2,2.0,0.3451765322388402
6706,70.0,0.64,0.0,2.0,0.0,0.2,0.46728141354289154
5889,60.0,1.28,0.0,0.0,0.0,0.02,0.4456872594875463
6129,60.0,1.28,2.0,2.0,0.0,0.02,0.4630557998863486
8828,90.0,0.64,0.02,2.0,2.0,0.0,0.4670232980862423
1263,20.0,0.16,2.0,0.2,2.0,2.0,0.2906200217109285
6040,60.0,1.28,0.2,0.02,0.2,0.0,0.4681527411543194
6241,70.0,0.16,0.02,0.2,0.0,0.02,0.4711639120069354
8335,90.0,0.16,0.2,0.0,2.0,2.0,0.2893832497861958
3177,40.0,0.16,0.02,0.2,0.2,0.02,0.4622846474459039
2311,30.0,0.32,0.0,0.0,0.02,2.0,0.3666913772698022
8874,90.0,0.64,0.2,0.2,0.2,0.2,0.4418930737703412
6406,70.0,0.32,0.0,0.0,0.02,0.2,0.438642444209549
7954,80.0,1.28,0.0,0.02,0.0,0.2,0.4258988300813199
6069,60.0,1.28,0.2,2.0,0.02,0.02,0.46908630611154595
8583,90.0,0.32,0.2,0.0,0.02,2.0,0.3858638838931784
7658,80.0,0.32,2.0,0.2,0.2,0.2,0.3917240688398143
4145,50.0,0.16,0.0,2.0,0.0,0.02,0.47485063742047756
2173,30.0,0.16,0.02,2.0,2.0,0.02,0.42558547471634584
28,10.0,0.16,0.0,0.02,2.0,0.0,0.4136241985760181
4141,50.0,0.16,0.0,0.2,2.0,0.02,0.40442453574700954
325,10.0,0.32,0.02,0.0,0.02,0.02,0.4426420529520454
4085,40.0,1.28,2.0,2.0,0.02,0.02,0.4234030959691951
1647,20.0,0.64,0.02,0.2,2.0,2.0,0.36701910106504765
9125,90.0,1.28,0.2,0.2,0.02,0.02,0.46129054339942016
3256,40.0,0.16,0.2,2.0,0.2,0.0,0.46451769337376075
2041,20.0,1.28,2.0,2.0,0.2,0.02,0.41757265165761426
541,10.0,0.64,0.0,0.02,2.0,0.02,0.4171649965706521
7338,80.0,0.16,0.2,0.2,0.2,0.2,0.40937235173673153
4242,50.0,0.16,0.2,0.02,0.0,0.2,0.48264963010248907
3715,40.0,0.64,0.2,0.0,0.0,2.0,0.4354187090224105
6537,70.0,0.32,0.2,0.0,0.2,0.02,0.467570960077592
6924,70.0,1.28,0.0,0.0,2.0,0.0,0.46532803488078356
151,10.0,0.16,0.2,0.02,0.02,2.0,0.4227838219854343
5671,60.0,0.64,0.0,0.2,0.02,2.0,0.39663882223172237
3940,40.0,1.28,0.02,0.2,0.02,0.0,0.44868380979980393
5782,60.0,0.64,0.2,0.02,0.02,0.2,0.46008882326932876
3498,40.0,0.32,0.2,0.2,0.2,0.2,0.40341926634335873
556,10.0,0.64,0.0,0.2,2.0,0.0,0.42196945671507347
2794,30.0,0.64,2.0,0.2,0.2,0.2,0.41209296665359735
730,10.0,0.64,2.0,0.02,0.2,0.2,0.3852598970352358
2988,30.0,1.28,0.2,0.2,2.0,0.0,0.437493013706966
4844,50.0,0.64,2.0,0.2,2.0,0.0,0.395553979992739
3143,40.0,0.16,0.02,0.0,0.02,2.0,0.39837301330404923
2646,30.0,0.64,0.02,0.02,0.02,0.2,0.4389912650179439
7502,80.0,0.32,0.02,0.0,2.0,0.2,0.3850834834979711
2911,30.0,1.28,0.02,0.02,2.0,2.0,0.3590492161130558
2042,20.0,1.28,2.0,2.0,0.2,0.2,0.3565665717433848
6586,70.0,0.32,0.2,2.0,0.2,0.2,0.4204475228596144
3597,40.0,0.64,0.0,0.0,2.0,0.02,0.4487029168041871
4408,50.0,0.32,0.0,2.0,0.2,0.0,0.4705319104393427
1562,20.0,0.64,0.0,0.02,0.2,0.2,0.433837965261178
6172,70.0,0.16,0.0,0.02,2.0,0.0,0.4595450020367272
3200,40.0,0.16,0.2,0.0,0.0,0.0,0.4698899129918481
5910,60.0,1.28,0.0,0.02,0.02,0.2,0.45003146115910125
5893,60.0,1.28,0.0,0.0,0.02,0.02,0.463259763979731
1590,20.0,0.64,0.0,2.0,0.02,0.2,0.45167476511359483
4675,50.0,0.64,0.02,0.0,0.0,2.0,0.3697054618202658
8232,90.0,0.16,0.0,0.2,0.2,0.0,0.4612615039295493
8738,90.0,0.64,0.0,0.2,0.0,0.2,0.46697881730604246
4600,50.0,0.32,2.0,2.0,0.2,0.0,0.4564111008064224
3300,40.0,0.16,2.0,0.2,0.02,0.0,0.4600106287559214
2834,30.0,1.28,0.0,0.02,0.0,0.2,0.4086112566246485
2963,30.0,1.28,0.2,0.02,0.0,2.0,0.3812899350262376
4936,50.0,1.28,0.02,0.0,0.2,0.0,0.46805188883081134
5867,60.0,0.64,2.0,0.2,0.2,2.0,0.36450388309528053
1958,20.0,1.28,0.2,0.2,0.02,0.2,0.39481298472621856
6203,70.0,0.16,0.0,2.0,0.2,2.0,0.3373755687415186
5812,60.0,0.64,0.2,2.0,0.02,0.0,0.4866940670031996
1132,20.0,0.16,0.02,0.2,2.0,0.0,0.40918090841737975
1770,20.0,0.64,2.0,0.2,0.2,0.2,0.41113285715596753
2131,30.0,0.16,0.02,0.02,0.0,2.0,0.4525269768190516
4243,50.0,0.16,0.2,0.02,0.0,2.0,0.4602112535154513
8271,90.0,0.16,0.02,0.0,2.0,2.0,0.28681798884047516
4455,50.0,0.32,0.02,0.2,0.02,2.0,0.38560803999648463
