,num_factors,theta,lambda_d,lambda_t,lambda_st,lambda_sd,AUPR
861,10.0,1.28,0.02,0.02,2.0,0.02,0.42325910493957675
487,10.0,0.32,2.0,0.2,0.02,2.0,0.39488587573173334
4728,50.0,0.64,0.02,2.0,0.2,0.0,0.452498899818404
7135,70.0,1.28,2.0,0.02,2.0,2.0,0.34382683969905814
7149,70.0,1.28,2.0,0.2,2.0,0.02,0.40160662375884476
3311,40.0,0.16,2.0,0.2,2.0,2.0,0.2987791972938066
5432,60.0,0.32,0.0,2.0,0.2,0.0,0.44310363054931956
6169,70.0,0.16,0.0,0.02,0.2,0.02,0.44819272481131317
4051,40.0,1.28,2.0,0.02,0.0,2.0,0.41258328768915
6272,70.0,0.16,0.2,0.0,0.0,0.0,0.4664470022507941
8665,90.0,0.32,2.0,0.02,0.2,0.02,0.4377738110104379
6,10.0,0.16,0.0,0.0,0.02,0.2,0.40667926211198974
8174,80.0,1.28,2.0,0.2,2.0,0.2,0.3798038707885811
7462,80.0,0.32,0.0,0.2,0.02,0.2,0.44792985731149376
7660,80.0,0.32,2.0,0.2,2.0,0.0,0.38676098828650646
6887,70.0,0.64,2.0,0.2,0.02,2.0,0.36054659953044627
5759,60.0,0.64,0.02,2.0,2.0,2.0,0.353713776538503
2366,30.0,0.32,0.0,2.0,2.0,0.2,0.3839413241945159
3089,40.0,0.16,0.0,0.02,0.0,0.02,0.4608907326534597
7066,70.0,1.28,0.2,0.02,0.2,0.2,0.4062937571206303
4053,40.0,1.28,2.0,0.02,0.02,0.02,0.452184966253202
4666,50.0,0.64,0.0,2.0,0.2,0.2,0.4285171406066393
8217,90.0,0.16,0.0,0.02,0.2,0.02,0.440591814025901
1630,20.0,0.64,0.02,0.02,2.0,0.2,0.41017837828073905
818,10.0,1.28,0.0,2.0,0.0,0.2,0.39904921233103385
4986,50.0,1.28,0.02,2.0,0.2,0.2,0.40799766100191837
6214,70.0,0.16,0.02,0.0,0.02,0.2,0.4478881976350503
665,10.0,0.64,0.2,0.02,0.2,0.02,0.4044787103285701
3029,30.0,1.28,2.0,0.02,0.02,0.02,0.44612786285658473
6615,70.0,0.32,2.0,0.02,0.02,2.0,0.39449495538808876
7300,80.0,0.16,0.2,0.0,0.02,0.0,0.4447614961829117
3162,40.0,0.16,0.02,0.02,0.2,0.2,0.40162625737225927
4850,50.0,0.64,2.0,2.0,0.0,0.2,0.4300306540915303
7545,80.0,0.32,0.02,2.0,0.2,0.02,0.44796795270271567
8172,80.0,1.28,2.0,0.2,2.0,0.0,0.39476373335501325
4748,50.0,0.64,0.2,0.0,2.0,0.0,0.4396483040535498
4073,40.0,1.28,2.0,0.2,0.2,0.02,0.4057059095408698
4444,50.0,0.32,0.02,0.02,2.0,0.0,0.44436963616835384
8516,90.0,0.32,0.02,0.0,0.02,0.0,0.4423902781642424
3712,40.0,0.64,0.2,0.0,0.0,0.0,0.45276412533128924
6747,70.0,0.64,0.02,0.02,0.2,2.0,0.3561030967427689
6452,70.0,0.32,0.0,2.0,0.02,0.0,0.44312857078759926
7016,70.0,1.28,0.02,0.2,0.2,0.0,0.42878368467448136
717,10.0,0.64,2.0,0.0,2.0,0.02,0.38142169088080724
3831,40.0,0.64,2.0,2.0,0.02,2.0,0.38582248428563304
4121,50.0,0.16,0.0,0.02,0.2,0.02,0.44439959594658845
6484,70.0,0.32,0.02,0.02,0.02,0.0,0.44156431025529674
6295,70.0,0.16,0.2,0.02,0.02,2.0,0.40674371018717476
1372,20.0,0.32,0.02,0.02,2.0,0.0,0.4368706432636558
6897,70.0,0.64,2.0,2.0,0.0,0.02,0.4560928556973466
7776,80.0,0.64,0.02,0.2,0.0,0.0,0.44237965706626603
7486,80.0,0.32,0.0,2.0,2.0,0.2,0.3937032380557777
4859,50.0,0.64,2.0,2.0,0.2,2.0,0.3398082892758396
7936,80.0,1.28,0.0,0.0,0.0,0.0,0.4398140402337496
